Spanish	Bellunese	probability
f	f	1.0
r	r	1.0
ŋ	ŋ	1.0
ʧ	t	1.0
ˈa	ˈa	1.0
e	o	0.101
n	n	0.611
o	o	0.371
u	o	0.281
ð	d	0.461
ɟ͡ʝ	p	0.231
ɾ	r	0.851
ʝ	θ	0.111
ˈi	ˈɛ	0.051
ˈu	u	0.071
b	b	0.272
b	v	0.642
e	i	0.072
x	s	0.052
ð	t	0.2
ð	-	0.292
ʝ	l	0.82
ˈe	-	0.462
ˈi	ˈa	0.052
ˈo	ˈo	0.502
θ	f	0.062
b	-	0.073
d	t	0.153
e	-	0.173
j	-	0.223
s	s	0.873
u	u	0.543
ɟ͡ʝ	ʧ	0.393
ˈe	ˈe	0.433
θ	-	0.093
j	ˈi	0.054
j	j	0.334
k	k	0.884
n	ŋ	0.364
p	p	0.914
w	w	0.174
x	z	0.114
x	-	0.334
ˈu	ˈu	0.634
i	ˈi	0.065
k	-	0.075
m	-	0.065
p	-	0.05
ɣ	k	0.075
ɣ	ɡ	0.925
ɲ	n	0.305
ˈi	e	0.055
e	e	0.466
j	ˈɛ	0.376
l	θ	0.136
u	i	0.176
x	ð	0.246
ˈe	e	0.066
ˈi	ˈi	0.676
d	d	0.847
w	ˈɔ	0.387
x	ʧ	0.117
x	j	0.137
ɲ	ŋ	0.067
ɲ	-	0.07
ɾ	-	0.107
ˈo	o	0.067
ˈo	ˈɔ	0.217
ˈu	ˈo	0.257
β	v	0.747
a	-	0.18
a	a	0.8
i	i	0.418
i	e	0.48
l	l	0.78
m	m	0.808
o	-	0.598
t	t	0.878
w	ˈo	0.398
ɟ͡ʝ	f	0.078
ɲ	ɲ	0.518
ˈi	f_ˈi	0.08
ˈo	ˈu	0.168
β	-	0.078
β	f	0.098
θ	θ	0.398
m	ŋ	0.079
s	z	0.079
t	-	0.089
ɟ͡ʝ	ð	0.259
ɡ	ɡ	0.979
ʝ	j	0.069
θ	z	0.159
θ	s	0.259
