Phone1	Phone2	Surprisal
b	b	0.397
b	-	2.055
d	t	1.094
d	d	1.289
d	ð	3.03
e	-	0.921
e	i	1.083
f	f	0.33
f	β	2.717
f	ɛ	4.252
f_l	f_ɾ	0.0
i	i	1.0
i	u	1.0
j	ɛ	0.469
j	-	1.85
j_ˈɛ	ˈo	0.0
k	k	0.238
k	-	2.719
l	l	0.729
l	ɾ	2.129
l	ɖː	2.572
l_ə	l_a	0.0
m	m	0.265
m	ɛ_n	2.574
n	n	0.54
n	nː	2.231
n	-	3.857
n	u	5.056
n_ə	n_a	0.0
o	ɔ	0.0
p	p	0.0
p_l	p_ɾ	0.0
r	ɾ	0.584
r	r	2.119
r	ɛ_ɾ	4.054
r	-	5.422
r	u	5.697
r_ə	ɾ_a	0.0
r_ʨ	ɾ_k	0.0
s	s	0.296
s	z_ɛ̆	3.324
s	z	3.55
t	t	0.175
t	-	3.768
t	d	4.624
t_ˈaː	t_ˈa	0.0
u	-	1.113
u	o	1.884
u	ˈɔ	1.906
v	b	0.486
v	β	1.807
w	β	0.805
w	k_u	1.225
w_n	n	0.0
z	-	0.0
ŋ	ŋ	0.784
ŋ	m	1.254
ə	a	0.523
ə	e	3.071
ə	ɛ	3.152
ə	i	4.735
ə	-	4.832
ə_m	a_m	0.0
ə_s	a_z	0.0
ɡ	ɡ	0.469
ɡ	-	2.848
ɡ	ɣ	2.848
ɲ	nː	1.275
ɲ	n_ʣ	1.298
ɲ	ɲ	2.472
ʃ	i_s	1.285
ʃ	s	2.229
ʃ	ɡ	2.391
ʃ	ɛ	2.429
ʎ	k_ɾ	0.834
ʎ	ʣ	1.188
ʒ	b	0.0
ʥ	-	0.632
ʥ	i_k	1.496
ʦ	-	0.994
ʦ	t_u	1.006
ʧ	k	0.627
ʧ	-	1.504
ʧ_ˈiə̯	k_ˈe	0.0
ʨ	ɛ	0.912
ʨ	t	1.094
ʨ_ə	k_a	0.0
ˈa	ˈa	0.291
ˈa	-	2.454
ˈa_j	ˈɛ	0.973
ˈa_j	ˈi	1.478
ˈa_j	ˈe	2.925
ˈa_w	ˈa	0.0
ˈaː	ˈa	0.468
ˈaː	j_ˈa	2.582
ˈaː	ˈa_k	3.182
ˈe	ˈi	1.383
ˈe	-	1.698
ˈe	ˈɛ	1.698
ˈeː	ˈi	0.0
ˈi	ˈi	0.483
ˈi	ˈu	1.813
ˈiː	ˈi	0.838
ˈiː	ˈu	1.704
ˈiː	ɛ	2.902
ˈo	ˈɔ	0.0
ˈu	ˈu	1.175
ˈu	ˈɔ	1.689
ˈu	ˈo	2.882
ˈu	ˈu_m	3.7
ˈu	ˈɔ_j	4.864
ˈuː	ˈɔ	0.635
ˈuː	-	1.49
ˈɔ	ˈa	1.029
ˈɔ	ˈo	2.31
ˈɔ	ˈɔ	2.352
ˈɔ	-	3.152
ˈɔː	ˈo	0.899
ˈɔː	ˈɔ	1.108
ˈɛ	ˈɛ	1.119
ˈɛ	ˈe	1.164
ˈɛ	-	3.422
ˈɛː	ˈɛ	1.305
ˈɛː	ˈe	1.644
ˈɛː	ˈe_ɖː	1.861
