Romansch	Nuorese	probability
ˈo	ˈɔ	1.0
ˈeː	ˈi	1.0
ˈa_w	ˈa	1.0
ʨ_ə	k_a	1.0
ʧ_ˈiə̯	k_ˈe	1.0
ʒ	b	1.0
ə_s	a_z	1.0
ə_m	a_m	1.0
z	-	1.0
w_n	n	1.0
t_ˈaː	t_ˈa	1.0
r_ʨ	ɾ_k	1.0
r_ə	ɾ_a	1.0
p_l	p_ɾ	1.0
p	p	1.0
o	ɔ	1.0
n_ə	n_a	1.0
l_ə	l_a	1.0
j_ˈɛ	ˈo	1.0
f_l	f_ɾ	1.0
t	t	0.886
k	k	0.848
m	m	0.832
ˈa	ˈa	0.817
s	s	0.815
f	f	0.795
b	b	0.759
ˈaː	ˈa	0.723
j	ɛ	0.723
ɡ	ɡ	0.722
ˈi	ˈi	0.715
v	b	0.714
ə	a	0.696
n	n	0.688
r	ɾ	0.667
ʧ	k	0.647
ʥ	-	0.645
ˈuː	ˈɔ	0.644
l	l	0.603
ŋ	ŋ	0.581
w	β	0.572
ʎ	k_ɾ	0.561
ˈiː	ˈi	0.559
ˈɔː	ˈo	0.536
ʨ	ɛ	0.532
e	-	0.528
ˈa_j	ˈɛ	0.509
ʦ	-	0.502
i	u	0.5
i	i	0.5
ʦ	t_u	0.498
ˈɔ	ˈa	0.49
e	i	0.472
ʨ	t	0.468
d	t	0.468
ˈɔː	ˈɔ	0.464
u	-	0.462
ˈɛ	ˈɛ	0.461
ˈɛ	ˈe	0.446
ˈu	ˈu	0.443
ʎ	ʣ	0.439
w	k_u	0.428
ŋ	m	0.419
ɲ	nː	0.413
ʃ	i_s	0.41
d	d	0.409
ɲ	n_ʣ	0.407
ˈɛː	ˈɛ	0.405
ˈe	ˈi	0.383
ˈa_j	ˈi	0.359
ˈuː	-	0.356
ʥ	i_k	0.355
ʧ	-	0.353
ˈɛː	ˈe	0.32
ˈu	ˈɔ	0.31
ˈe	ˈɛ	0.308
ˈe	-	0.308
ˈiː	ˈu	0.307
v	β	0.286
ˈi	ˈu	0.285
j	-	0.277
ˈɛː	ˈe_ɖː	0.275
u	o	0.271
u	ˈɔ	0.267
b	-	0.241
r	r	0.23
l	ɾ	0.229
ʃ	s	0.213
n	nː	0.213
ˈɔ	ˈo	0.202
ˈɔ	ˈɔ	0.196
ʃ	ɡ	0.191
ʃ	ɛ	0.186
ˈa	-	0.183
ɲ	ɲ	0.18
m	ɛ_n	0.168
l	ɖː	0.168
ˈaː	j_ˈa	0.167
k	-	0.152
f	β	0.152
ɡ	ɣ	0.139
ɡ	-	0.139
ˈu	ˈo	0.136
ˈiː	ɛ	0.134
ˈa_j	ˈe	0.132
d	ð	0.122
ə	e	0.119
ˈɔ	-	0.112
ə	ɛ	0.112
ˈaː	ˈa_k	0.11
s	z_ɛ̆	0.1
ˈɛ	-	0.093
s	z	0.085
ˈu	ˈu_m	0.077
t	-	0.073
n	-	0.069
r	ɛ_ɾ	0.06
f	ɛ	0.052
