American English	American English	probability
ˈʊ	-	1.0
ˈɛə̯_n	n	1.0
ˈɛə̯	ˈœ	1.0
ˈi_ɚ_#>	ˈɔa̯_#>	1.0
ʤ	ç	1.0
ʃ	s_k	1.0
ɾ	d	1.0
ɹ_n	ɐ_n	1.0
ɫ_d	lʲ	1.0
ɡ_ɚ	ɐ	1.0
ɡ	ɡ	1.0
ɚ	ɐ	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	ɾ	1.0
z	z	1.0
v_#>	f_#>	1.0
tʰ	tʰ	1.0
t_t_i	aɪ̯	1.0
t	t	1.0
s_l	s_l	1.0
pʰ	pʰ	1.0
p	p	1.0
oʊ̯	ɪ_ç	1.0
n_d	nʲ	1.0
m_ˈʌ	m	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ɪ_ç	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ˈʌ	<#	1.0
s	s	0.957
n	n	0.951
ʔ	t	0.84
w	v	0.815
k	k	0.765
ɫ	l	0.76
ˈaʊ̯	ˈʏ	0.75
ˈu	-	0.7
ɹ	r	0.667
ˈɔ	ˈuː	0.6
ʧ	k	0.6
ˈɑ	-	0.533
ˈaɪ̯	ˈɪ	0.529
ˈʌɪ̯	ˈɪ	0.5
ˈɝ	ɐ_x	0.5
ˈɝ	r	0.5
v	v	0.5
v	-	0.5
ˈæ	-	0.455
θ	tʰ	0.444
ˈoʊ̯	-	0.4
ʧ	-	0.4
ˈɪ	ˈɛ	0.37
ˈæ	ˈa	0.364
ˈeɪ̯	ˈɔː	0.333
ˈeɪ̯	-	0.333
#>	ˈiː_#>	0.333
#>	ŋ_#>	0.333
#>	t_#>	0.333
d	ɾ	0.304
ˈu	ˈuː	0.3
ˈɪ	ˈɪ	0.296
ˈʌ	ˈʏ	0.286
ˈʌ	ˈœ	0.286
d	d	0.283
θ	d	0.278
ˈɑ	ˈɔː	0.267
ˈoʊ̯	ˈiː	0.267
d	-	0.261
ˈʌɪ̯	ˈa_x	0.25
ˈʌɪ̯	ç	0.25
ˈaʊ̯	ˈyː	0.25
ˈi	ˈiː	0.242
ˈʌ	ˈʊ	0.238
ˈaɪ̯	ˈiː	0.235
k	-	0.235
θ	ɾ	0.222
ˈi	ˈeː	0.212
ˈɛ	ˈɛ	0.208
ˈɛ	ˈɔa̯	0.208
ˈɛ	ˈeː	0.208
ˈɔ	r	0.2
ˈɔ	-	0.2
ˈɑ	ˈa	0.2
ˈoʊ̯	ˈɔa̯	0.2
ˈeɪ̯	ˈaɪ̯	0.2
ˈʌ	-	0.19
ˈæ	ˈɔa̯_l	0.182
ˈi	ˈɛ	0.182
ɹ	ɐ	0.179
ʔ	x_t	0.16
ɫ	ə_l	0.16
ˈɪ	ˈʊ	0.148
ˈoʊ̯	ˈʊ	0.133
ˈeɪ̯	ˈa	0.133
ˈɛ	-	0.125
ˈi	ˈɔː	0.121
ˈaɪ̯	ˈʏ_ç	0.118
ˈaɪ̯	ˈoː_x	0.118
ˈɪ	ˈœ	0.111
w	v_ˈʏ	0.111
d	t	0.109
ɹ	-	0.103
ˈi	ˈɪ	0.091
ˈi	ˈoː	0.091
ˈɛ	ˈɪ	0.083
ˈɛ	ˈiː	0.083
ˈɛ	ˈa	0.083
ɫ	ˈøː_l	0.08
ˈɪ	ˈɔ	0.074
w	-	0.074
ˈi	ˈʊ	0.061
θ	tʲ	0.056
ɹ	ə	0.051
