Čakavian	Bulgarian	probability
#>	ɫ_#>	1.0
<#	<#_p	1.0
<#_d	<#_d	1.0
<#_j	<#	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_ô	<#_ˈɔ	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʋ	<#_v	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʧ	<#_ʧ	1.0
a_n	ɛ_m	1.0
aː	ɐ	1.0
â_#>	ˈa_#>	1.0
âː	ˈa	1.0
b	b	1.0
d	d	1.0
e	ɛ	1.0
e_#>	ˈɛ_#>	1.0
êː	ˈɛ	1.0
i	ˈi	1.0
i_#>	ɐ_#>	1.0
iː	i	1.0
îː	ˈa	1.0
îː_s	ˈi_s	1.0
k	k	1.0
k_#>	k_#>	1.0
l_#>	ɫ_#>	1.0
l_â	ɫ_ˈa	1.0
l_âː	ɫ_ˈa	1.0
l_î	lʲ_ˈa	1.0
n	n	1.0
n_#>	n_#>	1.0
o	o	1.0
ôː	ˈɔ	1.0
p	p	1.0
p_#>	p_#>	1.0
r	r	1.0
r_#>	r_#>	1.0
r_ǎː	r_ˈa	1.0
r̩̂	r_ˈɤ	1.0
s	s	1.0
s_#>	s_#>	1.0
t_#>	t_#>	1.0
uː	ɐ	1.0
ǔː	ɛ	1.0
x_#>	x_#>	1.0
z	z	1.0
ɡ	ɡ	1.0
ɲ_#>	n_#>	1.0
ʃ	ʃ	1.0
ʋ	v	1.0
ʋ_#>	f_#>	1.0
ʋ_î	v_ˈɛ	1.0
ʋ_îː	vʲ_ˈa	1.0
ʒ_a	ʒ_ɐ	1.0
l	l	0.222
t	j	0.2
a_#>	ˈa_#>	0.4
ê	ˈɛ	0.714
î	ˈi	0.714
m	mʲ	0.4
ô	ˈɔ	0.444
ʦ	ʦ	0.714
a	ɛ	0.25
a	ɐ	0.75
o_#>	ˈɔ_#>	0.5
o_#>	o_#>	0.5
a_#>	ɐ_#>	0.6
ê	ɛ	0.286
î	ˈa	0.286
m	m	0.6
ô	o	0.556
ûː	ˈɤ_ɫ	0.286
ûː	ˈu	0.286
ʦ	ʦʲ	0.286
l	ɫ	0.778
t	t	0.8
ûː	ˈɤ	0.429
