Galician	Neapolitan	probability
a	a	0.501
a	ˈa	0.213
a	-	0.178
a	ə	0.107
b	v	0.631
b	v_j	0.091
b	v_ə	0.077
b	b	0.057
b	p	0.057
d	d	0.824
d	-	0.12
d	n	0.057
e	e	0.332
e	-	0.233
e	i	0.217
e	ə	0.081
e	a	0.064
f	f	1.0
i	i	0.577
i	-	0.247
i	e	0.093
i	ˈi	0.053
j	t	0.343
j	-	0.217
j	ə	0.157
j	ˈa	0.122
j	u	0.081
j	j	0.08
k	k	0.854
k	k_w	0.062
k	-	0.051
l	l	0.902
l	ɾ	0.084
m	m	0.88
m	-	0.112
n	n	0.908
o	u	0.515
o	-	0.154
o	o	0.119
o	w	0.086
o	ə	0.072
p	p	0.972
r	r	0.721
r	-	0.161
r	ɾ	0.118
s	s	0.586
s	-	0.249
s	ʃ	0.15
t	t	0.918
t	-	0.066
u	o	0.471
u	u	0.281
u	-	0.248
v	v	1.0
w	w	0.528
w	ə	0.286
w	j	0.124
ð	t	0.779
ð	-	0.197
ŋ	n_ə	0.548
ŋ	ŋ	0.223
ŋ	-	0.165
ɐ	ə	0.921
ɐ	ɲ_ə	0.06
ɑ	a	1.0
ɡ	ɡ	0.971
ɣ	k	0.627
ɣ	-	0.197
ɣ	ɡ	0.176
ɪ	ə	0.778
ɪ	m_ə	0.075
ɪ	-	0.065
ɲ	n	0.529
ɲ	ɲ	0.471
ɾ	ɾ	0.493
ɾ	-	0.355
ɾ	r	0.139
ʃ	ʃ	0.349
ʃ	ʤ	0.263
ʃ	-	0.16
ʃ	s	0.114
ʃ	d	0.099
ʊ	ə	0.915
ʎ	ʎ	0.339
ʎ	k	0.338
ʎ	-	0.196
ʎ	u	0.099
ʧ	j	0.668
ʧ	ʃ	0.332
ˈa	ˈa	0.944
ˈa	ˈa_m	0.056
ˈe	ˈe	0.265
ˈe	ˈi	0.232
ˈe	-	0.205
ˈe	ˈɛ	0.188
ˈe	ˈa	0.06
ˈi	ˈi	0.716
ˈi	i	0.092
ˈi	ˈe	0.078
ˈi	ˈɛ	0.068
ˈo	ˈu	0.401
ˈo	ˈo	0.227
ˈo	ˈɔ	0.178
ˈo	ˈɔ_n	0.11
ˈu	ˈu	0.825
ˈu	ˈo	0.16
ˈɑ	ˈa	1.0
ˈɔ	ˈɔ	0.735
ˈɔ	w_ˈɔ	0.101
ˈɔ	ˈo	0.088
ˈɔ	ˈu	0.076
ˈɛ	ˈɛ	0.609
ˈɛ	ˈɛ_r	0.118
ˈɛ	ˈe	0.092
ˈɛ	ˈa	0.088
ˈɛ	ˈɛ_l	0.053
β	v	0.384
β	p	0.369
β	-	0.145
β	b	0.071
θ	ʃ	0.498
θ	-	0.217
θ	ʃ_ə	0.167
θ	ʦ	0.074
