Bellunese	Bellunese	probability
θ_a	θ_ɐ	1.0
θ	θ	1.0
ˈo_n	ˈo	1.0
ˈi_o	ˈe_w	1.0
ˈi	ˈi	1.0
ˈe_d	ˈe	1.0
ˈa_l	ˈa_l	1.0
ʤ	-	1.0
ɲ	ɲ	1.0
ð	ʃ	1.0
u	u	1.0
s_e	θ_ˈe	1.0
s_#>	θ_#>	1.0
r_o	ɾ_ʊ	1.0
r_n	ɾ_n	1.0
r_b	ɾ_β	1.0
r_a	ɾ_ɐ	1.0
r_#>	ɾ_#>	1.0
p_j	ʧ	1.0
p	p	1.0
o_l	o	1.0
n_ˈa	n_a	1.0
n_a	ɐ	1.0
m	m	1.0
l_#>	#>	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
f_j	ʧ	1.0
e_r	ɾ	1.0
e_#>	#>	1.0
b	b	1.0
<#_θ	<#_θ	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
f	f	0.895
l	l	0.778
ˈe	ˈe	0.774
ɡ	ɣ	0.769
r	ɾ	0.735
ˈu	ˈu	0.727
ˈɛ	ˈɛ	0.722
ʧ	ɟ	0.714
ˈɔ	ˈɔ	0.692
a	ɐ	0.691
j	-	0.667
#>	ʊ_#>	0.655
t	t	0.649
ˈo	ˈo	0.629
ˈa	ˈa	0.622
<#	<#_a	0.6
w	w	0.571
d	d	0.545
o	ʊ	0.529
n	n	0.5
v	b	0.483
ŋ	ŋ	0.455
z	θ	0.429
w	-	0.429
s	s	0.421
v	β	0.414
<#	<#_ɡ	0.4
i	i	0.375
i	-	0.375
ŋ	n	0.364
n	-	0.333
j	ɟ	0.333
d	ð	0.318
s	e_s	0.316
e	e	0.316
ˈo	ˈɔ	0.286
ʧ	ʧ	0.286
z	ʃ	0.286
z	s	0.286
#>	ɪ_#>	0.276
ˈu	ˈo	0.273
e	ɪ	0.263
e	-	0.263
i	e	0.25
ɡ	ɡ	0.231
l	-	0.222
a	a	0.218
o	o	0.206
ˈa	ˈɑ	0.2
ˈɛ	ˈe_j	0.167
n	ɲ	0.167
s	j_ʃ	0.158
e	j	0.158
ˈɔ	ˈo_w	0.154
ˈɔ	ˈo	0.154
r	r	0.147
d	-	0.136
t	j_t	0.135
ˈe	ˈi	0.129
ŋ	ɲ	0.121
o	ɪ	0.118
ˈɛ	ˈe	0.111
ˈa	-	0.111
t	ð	0.108
s	ʃ	0.105
f	-	0.105
ˈe	ˈɛ	0.097
o	-	0.088
ˈo	-	0.086
v	-	0.069
#>	ɐ_#>	0.069
ˈa	a	0.067
ŋ	m_ɪ	0.061
r	ˈe	0.059
r	-	0.059
o	u	0.059
a	-	0.055
t	d	0.054
t	-	0.054
