Neapolitan	Logudorese	probability
a	a	1.0
f	f	1.0
kː	k	1.0
l	l	1.0
m	m	1.0
r	r	1.0
rː	rː	1.0
s	s	1.0
sː	sː	1.0
tː	t	1.0
ŋ	m	1.0
ʃː	s	1.0
ʎː	ʣ	1.0
ʤ	ɡ	1.0
ʤː	-	1.0
ʦ	t	1.0
ˈɛ	ˈe	1.0
k	p	0.081
o	o	0.571
d	d	0.832
e	e	0.832
lː	ɖː	0.822
v	β	0.072
v	-	0.132
ʃ	i_s	0.182
ˈu	ˈu	0.722
j	j	0.093
t	ð	0.463
ɲː	ɲː	0.493
ʃ	k	0.453
ˈe	ˈi	0.403
i	e	0.354
j	z	0.074
j	r	0.664
u	u	0.354
ɾ	-	0.104
ˈɔ	ˈo	0.964
mː	m_i	0.105
mː	m	0.895
p	b	0.065
ə	u	0.385
ɡ	b	0.15
ɡ	ɡ	0.85
ˈi	ˈi	0.745
ˈo	ˈu	0.115
ˈo	ˈo	0.885
i	i	0.646
nː	n	0.256
p	p	0.816
u	o	0.646
ɾ	r	0.896
ˈa	ˈa_r	0.116
ˈa	ˈa	0.856
ˈi	ˈe	0.196
j	-	0.17
k	k	0.667
nː	nː	0.337
nː	n_ɖ	0.407
t	t	0.537
ɲː	ŋ_ɡ	0.507
ˈe	ˈe	0.597
d	-	0.168
e	-	0.168
k	ɣ	0.218
lː	-	0.178
v	b	0.78
ə	e	0.288
ə	a	0.298
ʃ	ɣ	0.358
ˈu	ˈo	0.278
n	n	0.979
o	u	0.429
p	β	0.119
ˈi	e	0.059
