Eastern Lombard	Megleno-Romanian	probability
b	b	1.0
i	i	1.0
n	n	1.0
w	-	1.0
ʤ	-	1.0
ˈy	ˈu	1.0
f	-	0.1
j	l	0.231
m	m	0.91
o	u	0.681
ŋ	-	0.761
ʧ	t	0.151
ˈe	ˈi	0.221
ˈu	o̯ˈa	0.311
ˈø	ˈo	0.711
ˈɛ	e̯ˈa	0.231
k	p	0.082
l	r	0.092
s	s	0.662
t	t	0.862
z	ʒ	0.432
ˈe	e̯ˈa	0.122
ˈø	ˈi	0.112
ˈɛ	ˈa	0.322
d	-	0.203
p	p	0.923
ɡ	ɡ	0.463
ʧ	ʦ	0.333
ˈa	ˈa	0.773
ˈi	ˈi	0.843
j	-	0.584
r	r_i	0.14
s	ʃ	0.084
s	ʦ	0.214
ˈɔ	ˈu	0.754
ˈɛ	ˈi	0.164
ˈɛ	ˈe	0.284
d	t	0.35
e	ə	0.095
e	i	0.825
j	ʎ	0.185
l	l	0.605
ˈo	ˈu	0.565
k	k	0.86
r	r	0.836
t	t_i	0.06
ʧ	-	0.516
ˈɔ	w_ˈo	0.246
d	d	0.357
p	t	0.077
ˈe	ˈi_n	0.267
ˈi	e̯ˈa	0.157
ˈo	ˈo	0.207
ˈo	ˈa	0.227
ˈø	u	0.177
e	-	0.08
l	ʎ	0.28
z	z	0.568
ɡ	k	0.468
ˈa	ˈɔ	0.198
a	-	0.099
a	ə	0.839
d	z	0.089
f	f	0.9
m	m_i	0.09
o	-	0.319
t	p_t	0.079
ŋ	n	0.239
ɡ	p	0.069
ˈe	ˈe	0.39
ˈu	ˈu	0.689
