East Low German	English	probability
b	b	0.912
d	d	0.611
d	θ	0.362
f	f	0.884
f	kʰ	0.053
h	h	1.0
j	ɡ	0.647
j	j	0.353
k	k	0.602
k	ʧ	0.167
k	k_ɪ	0.135
k	ʤ	0.096
kʰ	ʧ	0.486
kʰ	kʰ	0.459
kʰ	-	0.055
l	l	0.522
l	ɫ	0.471
m	m	0.786
m	-	0.11
m	v	0.104
n	n	0.825
n	-	0.073
p	p	0.985
r	ɹ	0.982
s	s	0.678
s	z	0.187
s	k_s	0.106
t	t	0.642
t	d	0.323
tʰ	tʰ	1.0
v	w	0.956
w	w	1.0
x	t	0.646
x	f	0.197
x	-	0.156
z	s	0.967
æ	ə	0.753
æ	ˈɜː	0.128
ç	t	0.368
ç	ʤ	0.32
ç	-	0.176
ç	ʧ	0.137
ŋ	ŋ	0.877
ŋ	n	0.123
ɡ	ɡ	0.748
ɡ	-	0.252
ɣ	-	1.0
ɪ	ɪ	0.82
ɪ	ŋ	0.18
ɾ	ð	0.828
ɾ	t	0.138
ʃ	ʃ	0.558
ʃ	s	0.442
ˈa	ˈæ	0.568
ˈa	ˈɒ	0.097
ˈa	ˈɑː	0.081
ˈa	ˈeɪ̯	0.079
ˈa	ˈaɪ̯	0.068
ˈa	ˈɔː	0.054
ˈa	ˈɐ	0.053
ˈae̯	ˈəʊ̯	0.361
ˈae̯	ˈiː	0.22
ˈae̯	ˈe	0.129
ˈae̯	ˈaɪ̯	0.1
ˈae̯	w	0.082
ˈae̯	ˈɪ	0.061
ˈaɪ̯	ˈiː	1.0
ˈaʊ̯	ˈiː	0.243
ˈaʊ̯	ˈuː	0.19
ˈaʊ̯	ˈɐ	0.183
ˈaʊ̯	ˈe	0.099
ˈaʊ̯	ˈʊ	0.091
ˈaʊ̯	ˈəʊ̯	0.067
ˈaʊ̯	ˈaɪ̯	0.061
ˈaː	ˈɑː	0.683
ˈaː	ˈɔː	0.225
ˈaː	ˈæ	0.092
ˈeː	ˈiː	0.785
ˈeː	ˈəʊ̯	0.215
ˈiː	ˈaɪ̯	0.379
ˈiː	ˈɪ	0.224
ˈiː	-	0.215
ˈiː	ˈiː	0.143
ˈoː	ˈɛ	0.413
ˈoː	ˈɪ	0.325
ˈoː	ˈɜː	0.195
ˈoː	ˈiː	0.067
ˈuː	ˈaʊ̯	0.524
ˈuː	-	0.324
ˈuː	ˈiː	0.07
ˈuː	ˈaɪ̯	0.05
ˈyː	ˈɪ	0.698
ˈyː	ˈaɪ̯	0.302
ˈøː	ˈɪ	0.57
ˈøː	ˈaɪ̯	0.43
ˈœ	ˈe	0.781
ˈœ	ˈɪ	0.219
ˈœː	ˈe	0.431
ˈœː	ˈɐ	0.223
ˈœː	ˈəʊ̯	0.177
ˈœː	ˈaʊ̯	0.17
ˈɒː	ˈeɪ̯	0.37
ˈɒː	ˈiː	0.218
ˈɒː	ˈuː	0.127
ˈɒː	ˈɐ	0.117
ˈɒː	ˈaʊ̯	0.067
ˈɒː	ˈɔː	0.05
ˈɒː	ˈɛ	0.05
ˈɔ	ˈɒ	0.441
ˈɔ	ˈɐ	0.243
ˈɔ	ˈəʊ̯	0.148
ˈɔ	ˈe	0.106
ˈɔ	ˈɔː	0.062
ˈɔʏ̯	ˈiː	1.0
ˈɛ	ˈe	0.449
ˈɛ	ˈeɪ̯	0.243
ˈɛ	ˈɪ	0.177
ˈɛ	ɪ	0.065
ˈɛɪ̯	ˈiː	1.0
ˈɛː	ˈe	0.555
ˈɛː	ˈuː	0.175
ˈɛː	ˈaɪ̯	0.116
ˈɛː	ˈəʊ̯	0.091
ˈɛː	ˈiː	0.062
ˈɪ	ˈɪ	0.519
ˈɪ	ˈaɪ̯	0.251
ˈɪ	ˈəʊ̯	0.09
ˈɪ	ˈe	0.084
ˈɪ	ˈiː	0.055
ˈʊ	ˈɐ	0.755
ˈʊ	ˈaʊ̯	0.155
ˈʊ	ˈʊ	0.09
ˈʏ	ˈɪ	0.744
ˈʏ	ˈe	0.256
