Afrikaans	West Flemish	probability
b	b	1.0
d	d	1.0
f	v	0.849
f	f	0.149
j	j	1.0
k	k	0.823
k	h	0.136
k	-	0.046
l	l	1.0
m	m	1.0
n	n	0.951
n	-	0.048
p	p	1.0
r	ɾ	0.989
s	s	0.583
s	z	0.352
s	ʃ	0.063
t	t	0.952
v	ʋ	0.822
v	v	0.161
w	ʋ	0.846
w	w	0.133
ŋ	ŋ	0.736
ŋ	n	0.165
ŋ	m	0.072
ə	-	0.562
ə	ə	0.271
ə	n	0.108
ə	ɪ	0.048
ɦ	-	0.838
ɦ	ɦ	0.083
ɦ	z	0.08
ɦ_ˈɔ	ˈu	1.0
ɫ	l	0.9
ɫ	w	0.093
ˈa	ˈɑ	0.849
ˈa	ˈæ	0.077
ˈa	ˈɒː	0.042
ˈa	ˈɔ	0.042
ˈi	ˈiə̯	0.935
ˈi	ˈɛː	0.068
ˈoːi̯	ˈoː	1.0
ˈu	ˈuə̯	1.0
ˈuː	ˈuə̯	0.512
ˈuːi̯	ˈuə̯	1.0
ˈyː	ˈiə̯	1.0
ˈæ	ˈæ	0.5
ˈæ	ə	0.5
ˈæː	ˈæ	1.0
ˈœ	ˈœ	0.53
ˈœ	ˈɪ	0.206
ˈœ	ˈʏ	0.121
ˈœi̯	ˈi	1.0
ˈœu̯	ˈu	1.0
ˈœɪ̯	ˈyː	1.0
ˈɑː	ˈɒː	0.869
ˈɑː	ˈɛː	0.065
ˈɑː	ˈɔ	0.065
ˈɔ	ˈɔ	0.524
ˈɔ	ˈu	0.203
ˈɔ	ˈœ	0.139
ˈɔ	ˈuə̯	0.08
ˈɔ	-	0.056
ˈɔː	ˈɒː	0.574
ˈɔː	ˈɔ	0.294
ˈə	ˈɪ	0.571
ˈə	ˈɛ	0.306
ˈə	ˈœ	0.099
ˈəɪ̯	ˈi	0.419
ˈəɪ̯	ˈeː	0.152
ˈəɪ̯	ˈyː	0.087
ˈəɪ̯	ˈɛː	0.073
ˈəɪ̯	j	0.073
ˈɛ	ˈæ	0.652
ˈɛ	ˈɛ	0.241
ˈɛ	ˈɪ	0.087
ˈɛː	ˈɛ	0.263
ˈɪ	ˈiə̯	0.135
ˈɪø̯	ˈøː	0.683
ˈɪø̯	ˈɛː	0.231
ˈɪə̯	ˈeː	0.577
ˈɪə̯	ˈɛː	0.418
ˈʊə̯	ˈoː	0.844
ˈʊə̯	ˈoː_v	0.103
ˈʊə̯	ˈøː	0.053
χ	ɦ	0.595
χ	h	0.226
χ	h_t	0.133
χ	ç	0.037
