Galician	Campidanese	probability
d	d	1.0
f	f	1.0
i	i	1.0
j	j	1.0
n	n	1.0
p	p	1.0
r	r	1.0
ð	ð	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɲ	n	1.0
ʃ	-	1.0
ʧ	p	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
ˈɑ	ˈa	1.0
ˈɔ	ˈo	1.0
k	k	0.921
l	ɖː	0.201
o	ˈo	0.301
o	-	0.321
s	z	0.171
w	-	0.451
ŋ	-	0.101
ɾ	r_e	0.061
ˈe	ˈi	0.361
ˈe	ˈe	0.51
β	β	0.361
m	-	0.062
t	t	0.932
w	w	0.442
ŋ	ŋ	0.262
ŋ	n_i	0.562
ɐ	n_a	0.112
ɾ	r_i	0.152
ʊ	u	0.952
a	a	0.53
s	s	0.763
ɐ	a	0.823
ɪ	e	0.163
ɾ	r	0.563
ˈa	-	0.073
a	-	0.144
e	i	0.434
l	l	0.694
θ	-	0.44
ŋ	n_u	0.075
ɐ	-	0.065
ʎ	ʣ	0.135
ˈo	ˈu	0.285
ˈɛ	ˈe	0.955
a	ˈa	0.16
a	e	0.166
e	e	0.566
ɪ	u	0.076
ɪ	i	0.76
b	b	0.967
w	u	0.107
ɾ	-	0.107
ʎ	j	0.357
ʎ	-	0.507
θ	ʧ	0.27
l	-	0.058
m	m	0.938
o	o	0.378
t	-	0.068
ɾ	e_r	0.068
ˈo	ˈo	0.678
k	-	0.079
ˈa	ˈa	0.89
ˈe	i	0.129
β	-	0.639
θ	ʒ_i	0.289
