Corsican	Lombard	probability
a	a	0.855
a	-	0.08
b	b	0.9
b	-	0.082
c	ʧ	0.691
c	ʤ	0.309
d	d	0.73
d	-	0.256
e	-	0.294
e	e	0.233
e	a	0.159
e	ˈi	0.159
e	u	0.075
e	ˈˈi	0.059
f	f	1.0
i	-	0.332
i	e	0.312
i	i	0.221
i	ĩ	0.092
j	j	0.701
j	ˈeː	0.172
j	-	0.126
k	k	0.831
k	-	0.124
l	l	0.703
l	-	0.275
m	m	0.922
m	-	0.069
n	n	0.681
n	-	0.217
n	ɲ	0.064
o	u	1.0
p	p	0.823
p	f	0.081
p	-	0.069
r	r	0.926
r	-	0.074
s	s	0.844
s	-	0.132
t	t	0.463
t	-	0.335
t	d	0.162
u	-	0.849
u	u	0.056
v	ʋ	0.884
w	w	0.659
w	-	0.341
z	-	0.898
z	z	0.102
ŋ	-	0.223
ŋ	ã	0.215
ŋ	n	0.215
ŋ	ˈẽː	0.215
ŋ	ˈãː	0.133
ɟ	ʤ	0.694
ɟ	ʧ	0.208
ɡ	ɡ	0.684
ɡ	k	0.316
ɲ	ɲ	1.0
ʃ	-	0.475
ʃ	ʃ	0.312
ʃ	s	0.212
ʎ	j	1.0
ʒ	z	0.619
ʒ	ʃ	0.381
ʣ	ʦ	1.0
ʤ	ʤ	0.844
ʤ	-	0.156
ʦ	-	0.422
ʦ	s	0.304
ʦ	ʦ	0.274
ʧ	-	0.271
ʧ	ʧ	0.23
ʧ	s	0.173
ʧ	z	0.173
ʧ	ʃ	0.078
ʧ	ʦ	0.059
ˈa	ˈa	0.858
ˈa	ˈaː	0.077
ˈe	ˈɛ	0.555
ˈe	ˈe	0.33
ˈe	ˈeː	0.074
ˈi	ˈi	0.502
ˈi	ˈĩː	0.249
ˈi	-	0.143
ˈi	ˈa	0.058
ˈo	ˈɔ	0.312
ˈo	ˈø	0.201
ˈo	ˈyː	0.179
ˈo	ˈu	0.148
ˈo	ˈũː	0.1
ˈo	ˈøː	0.06
ˈu	ˈy	0.715
ˈu	ˈũː	0.088
ˈu	ˈu	0.067
ˈu	ˈyː	0.062
ˈɔ	ˈɔ	0.382
ˈɔ	ˈu	0.187
ˈɔ	u	0.084
ˈɔ	ˈøː	0.079
ˈɔ	ˈyː	0.073
ˈɔ	ˈo	0.056
ˈɛ	ˈe	0.273
ˈɛ	ˈɛ	0.218
ˈɛ	ˈɛ̃ː	0.092
ˈɛ	-	0.088
ˈɛ	ˈe_j	0.072
ˈɛ	ˈeː	0.053
