Limburgish	Luxembourgish	probability
b	b	0.995
d	d	0.822
d	-	0.178
f	f	0.937
f	v	0.063
i	e	1.0
j	-	0.551
j	l	0.2
j	j	0.14
j	t	0.077
k	k	0.384
k	kʰ	0.336
k	ɕ	0.18
k	χ	0.073
l	l	0.994
m	m	0.961
n	n	0.901
n	ŋ	0.08
p	f	0.809
p	p	0.191
s	ʃ	0.581
s	s	0.419
t	t	0.435
t	s	0.306
t	ʦ	0.186
v	f	0.779
v	v	0.146
v	-	0.076
w	l	1.0
x	ɕ	0.735
x	χ	0.192
x	k	0.062
z	z	0.845
z	ʃ	0.155
ŋ	ŋ	0.873
ŋ	ɕ	0.082
ə	ə	0.76
ə	-	0.216
ɡ	-	1.0
ɣ	ɡ	0.71
ɣ	-	0.2
ɣ	ŋ	0.078
ɦ	h	0.954
ɪ	ə	0.671
ɪ	e	0.329
ɪː	ˈɑ	1.0
ʀ	ʀ	0.496
ʀ	ɐ	0.426
ʀ	-	0.078
ʃ	ʃ	1.0
ʦ	ʃ	1.0
ˈaː	ˈaː	0.441
ˈaː	ˈɑ	0.301
ˈaː	ˈɛː	0.101
ˈaː	-	0.091
ˈeː	ˈɜɪ̯	0.274
ˈeː	ˈiː	0.173
ˈeː	ˈiə̯	0.145
ˈeː	ˈɛː	0.09
ˈeː	ˈi	0.073
ˈeː	-	0.052
ˈi	ˈɜɪ̯	0.561
ˈi	ˈe	0.209
ˈi	ˈi	0.098
ˈi	ˈiː	0.064
ˈiː	ˈæːɪ̯	0.364
ˈiː	ˈɜɪ̯	0.204
ˈiː	ˈæɪ̯	0.203
ˈiː	ˈi	0.086
ˈiː	ˈɑɪ̯	0.072
ˈiː	ˈə	0.07
ˈoː	ˈəʊ̯	0.451
ˈoː	ˈu	0.373
ˈoː	ˈuə̯	0.175
ˈu	ˈəʊ̯	0.657
ˈu	ˈɜɪ̯	0.343
ˈuː	ˈæːʊ̯	0.781
ˈuː	ˈu	0.089
ˈuː	ˈəʊ̯	0.073
ˈuː	ˈɔ	0.056
ˈv	f	1.0
ˈyː	ˈɜɪ̯	0.58
ˈyː	-	0.23
ˈyː	ˈɑɪ̯	0.19
ˈæ	ˈaː	0.312
ˈæ	ˈiə̯	0.254
ˈæ	ˈiː	0.254
ˈæ	ˈæ	0.179
ˈæː	ˈɛ	0.477
ˈæː	ˈiː	0.449
ˈæː	ˈə	0.074
ˈøː	ˈʊ	0.24
ˈøː	ˈe	0.207
ˈøː	ˈi	0.204
ˈøː	ˈiː	0.178
ˈøː	ˈɜɪ̯	0.141
ˈœ	ˈe	0.877
ˈœ	ˈu	0.062
ˈœ	ˈɑ	0.062
ˈœi̯	ˈɑɪ̯	0.593
ˈœi̯	ˈeː	0.32
ˈœi̯	ˈæːɪ̯	0.087
ˈœː	ˈuː	1.0
ˈɑ	ˈaː	0.72
ˈɑ	ˈæ	0.128
ˈɑ	ˈuə̯	0.115
ˈɑː	ˈɑ	0.928
ˈɑː	ˈaː	0.072
ˈɒː	ˈoː	0.433
ˈɒː	ˈəʊ̯	0.238
ˈɒː	ˈu	0.105
ˈɒː	ˈɜɪ̯	0.104
ˈɒː	ˈuə̯	0.069
ˈɒː	ˈɑ	0.052
ˈɔ	ˈo	0.527
ˈɔ	ˈu	0.251
ˈɔ	ˈuː	0.109
ˈɔ	ˈʊɪ̯	0.058
ˈɔ	ˈɑ	0.055
ˈɔu̯	ˈaː	0.502
ˈɔu̯	ˈæːʊ̯	0.498
ˈɔː	ˈaː	0.672
ˈɔː	ˈo	0.328
ˈɛ	ˈæːɪ̯	0.283
ˈɛ	ˈə	0.271
ˈɛ	ˈɛ	0.165
ˈɛ	ˈɑɪ̯	0.155
ˈɛ	ˈoː	0.093
ˈɛi̯	ˈæːɪ̯	1.0
ˈɛː	ˈeː	0.667
ˈɛː	ˈə	0.158
ˈɛː	ˈɛ	0.072
ˈɛː	ˈiː	0.06
ˈɛːi̯	ˈeː	0.573
ˈɛːi̯	ˈæːɪ̯	0.427
ˈɪ	ˈə	0.841
ˈɪ	ˈe	0.112
ˈɪː	ˈɑ	0.731
ˈɪː	ˈe	0.176
ˈɪː	ˈə	0.093
ˈʊ	ˈɔ	1.0
ˈʊː	ˈo	0.256
ˈʊː	ˈaː	0.186
ˈʊː	ˈʊ	0.175
ˈʊː	ˈoː	0.141
ˈʊː	ˈuː	0.059
ˈʊː	ˈɔ	0.057
ˈʊː	ˈu	0.056
ˈʏ	ˈɑ	0.5
ˈʏ	ˈə	0.5
ˈʏː	ˈə	0.513
ˈʏː	ˈɑɪ̯	0.487
β	v	0.692
β	w	0.292
