German	Alsatian	probability
a	ə	1.0
b	b̥	0.87
b	v	0.106
b̥	b̥	0.82
b̥	-	0.18
d	d̥	0.966
d̥	d̥	0.778
d̥	t	0.081
d̥	ʃ	0.075
d̥	-	0.066
eː	eː	1.0
f	f	1.0
h	h	0.952
j	j	1.0
k	k	1.0
kʰ	kʰ	0.859
kʰ	ɡ̊	0.141
l	l	1.0
m	m	0.977
n	n	0.625
n	ə	0.298
n	-	0.075
p	p͡f	0.5
p	p	0.5
p͡f	p͡f	1.0
s	s	0.875
s	ʃ	0.125
t	t	0.995
tʰ	d̥	0.563
tʰ	t	0.437
v	ʋ	0.832
v	w	0.125
x	x	0.828
x	ʃ	0.172
z	s	1.0
ç	ʃ	1.0
ŋ	ŋ	1.0
ɐ	-	0.594
ɐ	ə	0.318
ɐ	ʁ_i	0.088
ə	ə	0.512
ə	ʋ	0.421
ə	-	0.067
ɡ	ɡ̊	0.551
ɡ	j	0.365
ɡ	v	0.057
ɡ̊	ɡ̊	0.666
ɡ̊	j	0.334
ɪ	i	1.0
ʁ	ʁ	1.0
ʃ	ʃ	1.0
ʦ	ʦ	1.0
ˈa	ˈɒ	0.904
ˈa	ˈɒː	0.096
ˈaɪ̯	ˈəi̯	0.487
ˈaɪ̯	ˈiː	0.243
ˈaɪ̯	ˈei̯	0.14
ˈaɪ̯	ˈi	0.129
ˈaʊ̯	ˈyː	0.496
ˈaʊ̯	ˈʊː	0.294
ˈaː	ˈɒː	0.412
ˈaː	ˈoː	0.314
ˈaː	ˈɒ	0.185
ˈaː	ˈaː	0.089
ˈeː	ˈeː	0.588
ˈeː	ˈæ	0.215
ˈeː	ˈæː	0.161
ˈiː	ˈiː	0.694
ˈiː	ˈeː	0.128
ˈiː	ˈi	0.114
ˈiː	ˈei̯	0.065
ˈoː	ˈoː	0.76
ˈoː	ˈu	0.152
ˈoː	ˈo	0.063
ˈuː	ˈʊː	0.893
ˈuː	ˈøː	0.107
ˈyː	ˈiː	0.761
ˈyː	ˈaː	0.124
ˈyː	ˈe	0.115
ˈøː	ˈeː	0.724
ˈøː	ˈi	0.276
ˈœ	ˈe	1.0
ˈɔ	ˈo	0.63
ˈɔ	ˈu	0.318
ˈɔ	ˈoː	0.051
ˈɔʏ̯	ˈiː	0.402
ˈɔʏ̯	ˈi	0.309
ˈɔʏ̯	ˈai̯	0.208
ˈɔʏ̯	ˈei̯	0.08
ˈɛ	ˈe	0.631
ˈɛ	ˈɛ	0.138
ˈɛ	ˈæ	0.128
ˈɛ	ˈeː	0.069
ˈɛː	ˈæː	1.0
ˈɪ	ˈi	0.916
ˈɪ	ˈiː	0.059
ˈʊ	ˈu	0.917
ˈʊ	ˈyː	0.059
ˈʏ	ˈi	0.586
ˈʏ	ˈu	0.414
