Old Frisian	Old West Norse	probability
ˈɔː_n	n	1.0
ˈoː_s	ʦ	1.0
ˈa_x	ˈɑː	1.0
ʦ	cʰ_ˈy	1.0
ʣ	ʝː	1.0
ɡː	ɡː	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
ð	ð	1.0
w_ˈe	ˈo	1.0
v	v	1.0
tː	-	1.0
t_ə	t	1.0
r_ə	r̥ː	1.0
pː	p	1.0
nː	nː	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
l_ə	l	1.0
l_d	lː	1.0
kː	cː	1.0
iː	ɑː	1.0
i	u	1.0
h_l	l̥	1.0
f	f	1.0
dː	ð_j	1.0
bː	v	1.0
b	b	1.0
a	ɑ	1.0
s	s	0.958
l	l	0.901
r	r	0.875
t	t	0.872
ˈu	ˈu	0.853
ɡ	ɡ	0.827
p	p	0.822
h	h	0.809
ˈɛː	ˈɛi̯	0.766
ˈa	ˈɑ	0.732
ˈiː	ˈiː	0.729
ˈeː_r	ˈɑ_r	0.715
θ	θ	0.702
ˈoː	ˈoː	0.699
ˈuː	ˈuː	0.652
k	k	0.628
ˈi	ˈi	0.625
e	-	0.615
n	n	0.605
z	-	0.564
ə_r	r̥	0.558
d	d	0.466
ə	ɑ	0.454
w	v	0.451
x	tː	0.449
ˈo	-	0.443
ə_r	i_r̥	0.442
z	s	0.436
j	-	0.422
d	ð	0.415
ˈi̯uː	-	0.405
ˈɔː	ˈo	0.392
e	ɾ	0.385
ˈi̯uː	ˈyː	0.38
ˈaː	ˈɑː	0.366
ɣ	ɣ	0.363
ɣ	-	0.353
ˈaː	ˈɑu̯	0.324
j	ɟ	0.309
ˈo	ˈo	0.306
ˈe	ˈɑ	0.301
ˈɔː	ˈɑ	0.288
ˈeː_r	r	0.285
ˈeː	ˈɑː	0.283
ɣ	ˈuː_ɣ	0.283
ˈe	ˈe	0.282
x	ɣ	0.279
x	r̥	0.272
ˈiː	-	0.271
k	c	0.271
j	ɣ	0.269
ˈeː	ˈøː	0.267
ˈi̯aː	j_ˈoː	0.252
ˈo	ˈy	0.251
ˈi̯aː	j	0.25
ˈeː	-	0.239
ˈuː	ˈu	0.232
ˈaː	-	0.231
θ	-	0.227
n	-	0.223
ˈi̯uː	j	0.215
ə	i	0.214
ˈeː	ˈeː	0.211
w	w	0.193
ˈɔː	ˈɑː	0.192
ˈi̯aː	j_ˈuː	0.189
w	-	0.189
ˈi̯aː	-	0.183
ˈa	ˈe	0.174
ɡ	ɟ	0.173
w	ˈu	0.167
n	nː	0.16
ˈoː	-	0.155
ˈu	ˈo	0.147
ˈoː	ˈɔː	0.145
ˈe	-	0.142
ˈɛː	ˈøy̯	0.137
ˈi	ˈe	0.133
ˈɔː	-	0.128
t	tː	0.128
ˈi̯aː	ˈoː	0.126
d	-	0.119
ˈuː	-	0.116
ˈi	ˈiː	0.109
ə	r̥	0.107
p	pʰ	0.105
h	ç	0.104
k	cʰ	0.101
l	lː	0.099
ˈe	ˈɛ	0.098
ˈɛː	-	0.097
ˈa	ˈɛ	0.094
ə	-	0.094
h	x	0.087
ˈi	-	0.08
ˈaː	ˈɒu̯	0.079
p	pː	0.073
r	-	0.072
θ	nː	0.071
ə	a	0.067
ˈe	j_ˈɔ	0.066
ˈe	ˈu	0.064
ˈi	ˈy	0.053
r	r̥	0.053
