Saterland Frisian	Old English	probability
ˈʊ_k	kː	1.0
ˈɛː_r	r	1.0
ˈɛɪ̯_d	ˈæɑ̯	1.0
ˈɔːɪ̯	ˈæː_j	1.0
ˈœː	ˈy	1.0
ˈyː	ˈeːo̯	1.0
ˈu	ˈuː	1.0
ˈoːu̯_d	ˈo	1.0
ˈiːu̯	ˈi	1.0
ˈiː_r	r	1.0
ˈiː_n	ˈi_n	1.0
ˈiː_d	ˈiː_d	1.0
ˈeːu̯	ˈiy̯	1.0
ˈaːi̯	ˈæ_j	1.0
ˈaː	-	1.0
ə_n	n	1.0
x_j	xː	1.0
w	-	1.0
v_ˈoː	w_ˈɑː	1.0
s_k	ʃ	1.0
n_t	n_t	1.0
l_v	ɫ_f	1.0
j_ˈuː	ˈi	1.0
j_ˈoː	ˈeːo̯	1.0
i	iːy̯	1.0
h	h	1.0
f	f	1.0
r	r	0.952
s	s	0.946
m	m	0.937
b	b	0.931
v	w	0.878
ˈɪ	ˈi	0.862
t	t	0.861
ɣ	ɣ	0.802
p	p	0.798
ŋ	ŋ	0.767
n	n	0.749
d	d	0.731
ˈɛ	-	0.724
ɪ	i	0.6
l	l	0.575
z	-	0.567
k	k	0.554
ˈa	ˈe	0.545
ˈʊ	ˈu	0.541
ˈoːu̯	ˈoː	0.505
ˈi	ˈiː	0.487
ˈeː	ˈɑː	0.482
ˈoː	ˈæːɑ̯	0.479
ˈa	-	0.455
ˈiː	ˈeo̯	0.451
ˈɛɪ̯	ˈeː	0.443
z	z	0.433
ɪ	-	0.4
ˈʊ	-	0.391
ˈɛː	ˈy	0.384
ˈɛː	ˈi	0.377
l	ɫ	0.359
ˈoː	-	0.358
k	ʧ	0.344
ˈuː	ˈu	0.333
ˈiː	ˈi	0.33
ˈuː	ˈuː	0.306
ˈi	ˈeː	0.305
ə	ɑ_n	0.302
ˈɔ	ˈɑ	0.297
ˈɔ	ˈu	0.297
ˈɔː	ˈɑ	0.293
ˈoːu̯	ˈɑ	0.272
ə	e	0.259
ˈuː	ˈyː	0.252
ˈɛɪ̯	-	0.245
ˈɛː	ˈæ	0.239
ˈɔ	-	0.234
ŋ	ŋ_ɡ	0.233
d	θ	0.231
j	ˈi	0.224
j	ɑ	0.224
j	i	0.224
ˈiː	ˈiː	0.22
ˈeː	ˈiːy̯	0.217
x	x	0.212
ˈi	-	0.208
x	ç	0.206
x	j	0.206
p	pː	0.202
ˈɔː	-	0.2
ɣ	-	0.198
ˈɔː	ˈo	0.195
ˈɛɪ̯	ˈæː	0.193
ˈɛ	ˈæ	0.184
j	ˈeːo̯	0.18
ˈɔ	ˈo	0.171
ˈoː	ˈæɑ̯	0.163
ˈoːu̯	ˈo	0.15
j	-	0.149
x	ɣ̊	0.139
ˈɪ	-	0.138
ə	o	0.137
x	ʤ	0.133
v	v	0.122
ˈɛɪ̯	r	0.12
ˈɔː	ˈæ	0.117
ˈɔː	ˈe	0.117
ˈeː	ˈe	0.116
ˈuː	ˈoː_ð	0.109
ˈeː	-	0.109
ə	-	0.106
x	f	0.103
k	-	0.102
ˈɛ	ˈɛ	0.091
n	nː	0.089
n	-	0.083
n	n_e	0.079
ˈɔː	ˈæɑ̯	0.077
ˈeː	ˈɑː_w	0.076
ˈoːu̯	ˈo_r	0.074
t	tː	0.072
ə	ɑ	0.07
b	bː	0.069
ˈʊ	ˈeːo̯	0.068
l	ɫː	0.066
m	mː	0.063
ə	r	0.059
s	ʧ	0.054
