Eastern Lombard	Friulian	probability
b	b	1.0
d	d	1.0
i	i	1.0
u	o	1.0
w	w	1.0
ø	u	1.0
ɲ	ɲ	1.0
ʋ	v	1.0
k	k	0.501
ˈe	v_ˈi	0.081
ˈe	ˈi	0.221
ˈe	ˈe	0.351
l	l	0.982
r	r	0.972
s	ʧ	0.312
s	s	0.632
z	z	0.322
ˈe	ˈiː	0.152
ˈi	ˈe	0.062
ˈu	ˈo	0.292
ˈy	ˈuː	0.412
ˈø	j_ˈu	0.062
ˈø	ˈu	0.442
ˈɔ	w_ˈɛ	0.302
e	e	0.313
m	m	0.963
p	p_j	0.073
t	t	0.873
z	ʤ	0.653
ŋ	ŋ	0.93
ˈa	ˈa	0.633
ˈu	ˈoː	0.333
e	i	0.174
k	c	0.464
o	u	0.334
ɡ	-	0.454
ʤ	ɟ	0.34
ʧ	t	0.344
ˈo	w_ˈa	0.394
ˈɔ	ˈo	0.294
ˈɛ	i	0.054
ˈɛ	ˈi	0.074
f	f	0.985
t	d	0.095
ˈe	ˈɛ	0.195
ˈi	ˈiː	0.175
ˈø	ˈuː	0.35
j	l	0.536
n	ɲ	0.056
ɡ	ɡ	0.546
ʤ	-	0.66
ʧ	-	0.656
ˈo	ˈo	0.516
ˈu	w_ˈi	0.116
ˈɔ	w_ˈa	0.246
e	a	0.407
n	n	0.937
o	w	0.07
p	p	0.927
ŋ	n	0.07
ˈi	-	0.057
ˈi	ˈi_ŋ	0.157
ˈø	ˈɔ	0.147
ˈɔ	ˈɔ	0.157
ˈɛ	ˈɛ	0.187
ˈɛ	ˈe	0.267
ˈɛ	j_ˈɛ	0.337
j	j	0.418
o	o	0.558
ˈa	ˈaː	0.308
ˈi	ˈi	0.468
ˈu	ˈo_ŋ	0.258
ˈy	ˈu	0.588
a	a	0.09
a	e	0.839
e	v_i	0.069
ˈa	ˈa_ŋ	0.059
