Nuorese	Nuorese	probability
β_u	f	1.0
ˈɔ_j	ˈu	1.0
ˈe_ɖː	ˈɛː	1.0
ˈa_k	ˈaː	1.0
ʦ	-	1.0
ʣ_u	ʎ	1.0
ɾ_ɛ_#>	r_#>	1.0
ɾ_k	r_ʨ	1.0
ɾ_a	r_ə	1.0
ɲ	ɲ	1.0
ɛ̆	-	1.0
ɛ_ɾ	j	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ̆_#>	#>	1.0
ɔ_z	s	1.0
ŋ	ŋ	1.0
u_z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t_ˈa	t_ˈaː	1.0
t_ɛ_#>	ʨ_#>	1.0
t_u_#>	ʨ_#>	1.0
t_u	ʦ	1.0
t_a	d_ə	1.0
s_ˈɛ	s	1.0
r	r	1.0
p_ɾ	p_l	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_ɛ	w_n	1.0
n_a	n_ə	1.0
l_u_#>	l_#>	1.0
l_a	l_ə	1.0
l	l	1.0
k_ˈe	ʧ_ˈiə̯	1.0
k_ˈa	ʨ_ˈa	1.0
k_ɛ_#>	ʃ_#>	1.0
k_u	w	1.0
k_a	ʨ_ə	1.0
j_ˈa	ˈaː	1.0
i_ð	l	1.0
i_s	ʃ	1.0
i_k	ʥ	1.0
f_ɾ	f_l	1.0
f	f	1.0
e	ə	1.0
ă_#>	#>	1.0
a_z	ə_s	1.0
a_m	ə_m	1.0
a_#>	#>	1.0
<#_ʣ	<#_ʥ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_a	<#	1.0
a	ə	0.949
n	n	0.946
p	p	0.857
<#_l	<#_l	0.857
d	d	0.846
s	s	0.833
m	m	0.833
nː	n	0.818
k_ɾ	ʎ	0.75
i	-	0.737
ɾ	r	0.725
<#_ˈa	<#_ˈa	0.714
ɣ	-	0.667
ɔ	-	0.667
ð	-	0.667
t	t	0.656
ɡ	ɡ	0.615
ˈu	ˈu	0.562
z	s	0.545
ˈe	ˈɛ	0.529
b	v	0.528
ʣ	ʎ	0.5
ʣ	-	0.5
o	u	0.5
o	-	0.5
#>	ə_#>	0.5
#>	f_#>	0.5
ˈa	ˈa	0.476
k	k	0.471
β	v	0.455
z	-	0.455
b	b	0.389
ˈɛ	ˈɛ	0.348
ˈi	ˈiː	0.342
ɣ	ˈa	0.333
ɔ	o	0.333
ð	d	0.333
u	r	0.3
u	i	0.3
ɛ	r	0.296
ɛ	-	0.296
ˈi	ˈi	0.289
ˈa	ˈaː	0.286
<#_ˈa	<#_ˈɔ	0.286
ˈo	ˈɔ	0.278
ˈɛ	ˈa_j	0.261
ɛ	ə	0.259
ˈɔ	ˈu	0.258
k_ɾ	k_l	0.25
ˈe	-	0.235
k	ʨ	0.235
ɡ	ʃ	0.231
ˈo	ˈɔː	0.222
ˈo	ˈu	0.222
u	n	0.2
u	-	0.2
ˈɔ	ˈuː	0.194
β	w	0.182
β	v_ə	0.182
β	f	0.182
nː	-	0.182
k	ʧ	0.176
ˈɛ	ˈɛː	0.174
ˈo	j_ˈɛ	0.167
s	ʃ	0.167
m	-	0.167
i	i	0.158
ˈu	ˈiː	0.156
ˈu	ˈi	0.156
t	d	0.156
ɡ	-	0.154
d	t	0.154
p	-	0.143
<#_l	<#_ʎ	0.143
ˈi	ˈa_j	0.132
ˈɛ	-	0.13
ˈɔ	ˈɔː	0.129
ˈɔ	ˈɔ	0.129
ˈu	-	0.125
ˈa	ˈɔ	0.119
ˈa	ˈa_w	0.119
ˈe	ˈɛː	0.118
ˈe	ˈa_j	0.118
ˈo	-	0.111
ˈi	ˈeː	0.105
i	e	0.105
ɾ	l	0.1
ˈɔ	ˈo	0.097
ˈɔ	u	0.097
ˈɔ	-	0.097
ˈɛ	j	0.087
b	-	0.083
ˈi	ˈe	0.079
ɾ	-	0.075
ɛ	n	0.074
ɛ	j	0.074
t	ʨ	0.062
t	ə_d	0.062
t	-	0.062
k	ə	0.059
k	-	0.059
n	-	0.054
ˈi	ˈa	0.053
a	-	0.051
