Danish	Danish	probability
ˈɔː	ˈɔu̯	1.0
ˈɔˀ_l	l	1.0
ˈɒː	ˈuː	1.0
ˈɒˀ	-	1.0
ˈɑˀ	-	1.0
ˈœː	ˈɒ	1.0
ˈœ	-	1.0
ˈæˀ	-	1.0
ˈyː	ˈiː	1.0
ˈy	-	1.0
ˈoː	ˈɔː	1.0
ˈoˀ_#>	#>	1.0
ˈi	-	1.0
ˈeː	-	1.0
ʨ	t	1.0
ʋ_#>	v̥_#>	1.0
ʋ	v	1.0
ʁ_ˈœ	ʀ	1.0
ʁ	ʀ	1.0
ɕ	s	1.0
ɐ_#>	#>	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
s_ɡ̊	ʃ	1.0
pʰ	p	1.0
mˀ	-	1.0
m	m	1.0
kʰ	k	1.0
j_#>	#>	1.0
i	i	1.0
h	h	1.0
f	f	1.0
e	i	1.0
b̥_#>	p_#>	1.0
<#_ˈɔ	<#	1.0
<#_ʦʰ	<#_tʲ	1.0
<#_ʁ	<#_ʀ	1.0
s	s	0.913
b̥	b	0.852
l	l	0.839
n	n	0.837
ˈiˀ	ˈi	0.8
ʦʰ	t	0.786
ˈoˀ	ˈœ	0.75
ˈø	-	0.714
nˀ	n	0.7
ˈɔˀ	-	0.667
ˈœˀ	-	0.667
ˈu	ˈʊ	0.667
ˈeˀ	ˈiː	0.667
ə	ə	0.645
ˈʌ	-	0.625
<#	<#_j	0.625
ɐ	ʀ	0.607
ˈuː	-	0.6
ˈuˀ	ˈʏ	0.6
ɐˀ	ʀ	0.6
ˈɛˀ	ˈiː	0.5
ˈɛˀ	-	0.5
ˈøˀ	ˈyː	0.5
ˈøˀ	-	0.5
ˈyˀ	ˈiː	0.5
ˈyˀ	-	0.5
ˈiː	ˈi	0.5
ˈiː	-	0.5
lˀ	l	0.5
d̥	t	0.486
ˈo	ˈɔ	0.444
ˈuː	ˈœː	0.4
ɐˀ	ʀ_d̥	0.4
d̥	d	0.4
ɐ	ə_ʀ	0.393
ˈʌ	ˈœ	0.375
ˈe	-	0.375
<#	<#_v	0.375
ˈɑ	-	0.364
ə	-	0.339
ˈɔˀ	ˈyː	0.333
ˈœˀ	ˈyː	0.333
ˈøː	ˈɛ	0.333
ˈøː	ˈuː	0.333
ˈøː	-	0.333
ˈo	-	0.333
ɡ̊	ɡ	0.32
ˈe	ˈa	0.312
nˀ	nʲ	0.3
ˈɛ	ˈa	0.286
ˈø	ˈʏ	0.286
ˈæ	ˈɒ	0.286
ˈæ	-	0.286
lˀ	l_ə	0.286
j	-	0.286
ˈɑ	ˈʊ	0.273
#>	t_#>	0.263
ˈoˀ	-	0.25
ð̞ˠ	tʲ	0.25
w	ə	0.231
w	-	0.231
ˈo	ˈuː	0.222
ð̞ˠ	dʲ	0.222
ʦʰ	d	0.214
lˀ	lʲ	0.214
j	k	0.214
j	h	0.214
#>	v̥_#>	0.211
ˈuˀ	ˈœː	0.2
ˈuˀ	-	0.2
ˈiˀ	-	0.2
ð̞ˠ	t	0.194
ˈe	ˈi	0.188
ˈɑ	ˈɒ	0.182
ˈɑ	ˈa	0.182
ˈu	ˈɔː	0.167
ˈu	-	0.167
ˈeˀ	d_ə	0.167
ˈeˀ	-	0.167
ɡ̊	k	0.16
#>	ʀ_#>	0.158
#>	k_#>	0.158
w	v̥	0.154
w	v_ə	0.154
w	v	0.154
b̥	p	0.148
ˈɛ	ˈɛ	0.143
ˈɛ	ˈi	0.143
ˈɛ	ˈeː	0.143
ˈɛ	ˈai̯	0.143
ˈɛ	-	0.143
ˈæ	ˈɔː	0.143
ˈæ	ˈœ	0.143
ˈæ	ˈuː	0.143
j	ˈi	0.143
j	j	0.143
ð̞ˠ	d̥	0.139
ˈe	ˈeː	0.125
ɡ̊	ˈa	0.12
ɡ̊	x	0.12
ɡ̊	-	0.12
d̥	x	0.114
#>	nʲ_#>	0.105
#>	d̥_#>	0.105
l	ə_l	0.097
ð̞ˠ	z	0.083
ɡ̊	ʃ	0.08
ɡ̊	ŋ_k	0.08
w	w	0.077
n	-	0.07
l	-	0.065
ð̞ˠ	z̥	0.056
ð̞ˠ	-	0.056
