Swiss German	Bavarian	probability
b̥	b̥	0.967
d̥	d̥	0.927
d̥	d	0.073
f	f	1.0
fː	f	1.0
h	h	0.907
h	-	0.093
i	i	0.32
i	-	0.291
i	ŋ	0.243
i	ɪ	0.146
j	j	1.0
k	k	0.504
k	-	0.496
l	l	0.595
l	j	0.321
l	-	0.055
m	m	1.0
mː	m	1.0
n	n	0.974
nː	n	1.0
p	p	0.819
p	p͡f	0.181
p͡f	p͡f	0.532
p͡f	f	0.468
r	r	0.545
r	ɐ	0.346
r	a	0.103
rː	ɐ	1.0
s	s	0.945
s	-	0.055
sː	s	1.0
t	t	0.505
t	d̥	0.491
tː	d̥	0.549
tː	t	0.451
w	j	1.0
ŋ	ŋ	0.75
ŋ	n_d̥	0.2
ŋ	n	0.05
ə	a	0.488
ə	n	0.413
ə	ə	0.056
ɡ̊	ɡ̊	0.94
ɡ̊	ŋ	0.06
ɡ̊ː	ɡ̊	1.0
ʃ	ʃ	0.85
ʃ	s	0.15
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.853
ˈa	ˈo	0.147
ˈau̯	ˈaː	0.599
ˈau̯	ˈau̯	0.207
ˈau̯	ˈa	0.195
ˈe	ˈɛ	0.709
ˈe	ˈa	0.238
ˈe	ˈe	0.053
ˈei̯	ˈoɐ̯	0.513
ˈei̯	ˈai̯	0.487
ˈeː	ˈɛː	0.897
ˈeː	ˈeː	0.103
ˈi	ˈi	0.932
ˈiə̯	ˈi	0.594
ˈiə̯	ˈiɐ̯	0.216
ˈiə̯	ˈe	0.189
ˈiː	ˈai̯	0.901
ˈiː	ˈoɐ̯	0.099
ˈo	ˈo	0.329
ˈo	ˈɔ	0.294
ˈo	ˈɛ	0.248
ˈo	ˈoː	0.129
ˈou̯	ˈaː	0.761
ˈou̯	ˈau̯	0.178
ˈou̯	ˈɔ	0.061
ˈoː	ˈou̯	0.497
ˈoː	ˈoɐ̯	0.197
ˈoː	ˈoː	0.137
ˈoː	ˈu	0.098
ˈoː	ˈɒː	0.071
ˈu	ˈu	0.952
ˈuə̯	ˈuɐ̯	0.815
ˈuə̯	ˈeɐ̯	0.185
ˈuː	ˈau̯	1.0
ˈy	ˈai̯	0.378
ˈy	ˈi	0.366
ˈy	ˈʏ	0.118
ˈy	ˈy	0.07
ˈy	ˈiɐ̯	0.068
ˈyə̯	ˈeɐ̯	0.494
ˈyə̯	ˈiɐ̯	0.425
ˈyə̯	ˈuɐ̯	0.081
ˈyː	ˈai̯	0.596
ˈyː	ˈiː	0.119
ˈyː	ˈu	0.118
ˈyː	ˈiɐ̯	0.089
ˈyː	ˈi	0.078
ˈæ	ˈe	0.433
ˈæ	ˈɛ	0.34
ˈæ	ˈɒ	0.108
ˈæ	ˈeː	0.063
ˈæ	ˈo	0.055
ˈæi̯	ˈoɐ̯	1.0
ˈæː	ˈeː	0.62
ˈæː	ˈe	0.209
ˈæː	ˈɑː	0.17
ˈø	ˈɛ	0.659
ˈø	ˈo	0.341
ˈøi̯	ˈu	0.477
ˈøi̯	ˈoɐ̯	0.346
ˈøi̯	ˈai̯	0.178
ˈøː	ˈe	0.679
ˈøː	ˈeː	0.213
ˈøː	ˈi	0.108
ˈɒ	ˈa	0.275
ˈɒ	ˈo	0.234
ˈɒ	ˈɒ	0.199
ˈɒ	ˈɔ	0.158
ˈɒ	ˈoɐ̯	0.099
ˈɒː	ˈɒː	0.29
ˈɒː	ˈoɐ̯	0.235
ˈɒː	ˈoː	0.233
ˈɒː	ˈɔ	0.185
ˈɒː	ˈaː	0.057
ˈɛi̯	ˈai̯	0.396
ˈɛi̯	ˈi	0.396
ˈɛi̯	ˈoɐ̯	0.209
χ	kʰ	0.438
χ	x	0.335
χ	ç	0.162
χ	ɡ̊	0.06
