Pennsylvania German	Pennsylvania German	probability
ˈɛː_ɑ	r	1.0
ˈɛ_d	ˈɪə̯	1.0
ˈɔː_ɑ	ˈɑː_r	1.0
ˈuː	ˈu	1.0
ˈeː_#>	ˈɪə̯_#>	1.0
ˈa_s	ˈɑː_t	1.0
ˈa_l	ˈœu̯	1.0
ʦ	t	1.0
ɾ	r	1.0
ɡ̊	χ	1.0
ɡ	χ	1.0
ə_#>	#>	1.0
ɑ_#>	#>	1.0
ŋ	ŋ	1.0
ç_t	χ	1.0
x_#>	k_#>	1.0
x	χ	1.0
t_#>	#>	1.0
t	t	1.0
s_ˈeː	s_ˈi	1.0
p	p	1.0
n_ə	n_d̥	1.0
m	m	1.0
l	ɫ	1.0
k_s	s	1.0
k_#>	χ_#>	1.0
k	k	1.0
j_ə	χ	1.0
j	j	1.0
h	ɦ	1.0
f_#>	p_#>	1.0
eː	i_n	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_ə	d̥	1.0
b̥_#>	v̥_#>	1.0
b	b	1.0
<#_ˈʊ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
ʋ	v	0.909
f	v̥	0.9
d	d	0.868
l_#>	ɫ_#>	0.846
ʃ	s	0.8
ˈiː	ˈi	0.769
n	n	0.718
ˈa	ˈa	0.708
ˈaʊ̯	ˈœɪ̯	0.7
ˈɔ	ˈɔ	0.667
#>	n_#>	0.667
ˈʊ	ˈɔ	0.647
ə	n	0.6
ç	k	0.583
ˈɪ	ˈə	0.581
ɑ	r	0.552
s	s	0.55
ˈoː	ˈɑː	0.538
ˈaɪ̯	ˈəɪ̯	0.524
ˈɛː	ˈɑː	0.5
ɪ	ə	0.5
ɪ	-	0.5
ˈoː	ˈʊə̯	0.462
ɑ	ə_r	0.448
ˈaː	-	0.429
ˈɔː	ˈʊə̯	0.4
ˈɔː	ˈa	0.4
ə	-	0.4
s	t	0.4
#>	t_#>	0.333
ˈaʊ̯	-	0.3
ˈaː	ˈʊə̯_r	0.286
ˈaː	ˈa_r	0.286
ˈɛ	ˈɪə̯	0.278
ˈeː	ˈʊə̯	0.263
ˈeː	ˈɪə̯	0.263
ˈeː	ˈəɪ̯	0.263
ˈɛː	ˈæː	0.25
ˈɛː	-	0.25
ç	χ	0.25
ˈiː	ˈu	0.231
ˈɔː	ˈɑː	0.2
ʃ	s_k	0.2
ˈɛ	ˈɛ	0.167
ˈɛ	ˈæ	0.167
ˈɛ	ˈa	0.167
ˈɔ	ˈʊə̯	0.167
ˈɔ	-	0.167
ç	ŋ	0.167
ˈɪ	ˈœ	0.161
ˈeː	ˈɪə̯_n	0.158
l_#>	#>	0.154
ˈaɪ̯	ˈœɪ̯	0.143
ˈaɪ̯	ˈi	0.143
n	n_d	0.128
ˈa	ˈɑː	0.125
ˈʊ	ˈʊə̯	0.118
ˈʊ	ˈɪø̯	0.118
ˈʊ	-	0.118
ˈɛ	ˈɑː	0.111
ˈɛ	-	0.111
n	ə_ŋ	0.103
f	p	0.1
ˈaɪ̯	ˈə	0.095
ˈaɪ̯	ˈyː	0.095
ʋ	-	0.091
ˈa	ˈʊə̯_r	0.083
ˈa	ˈə	0.083
d	t_ə	0.079
ˈɪ	ˈɪə̯	0.065
ˈɪ	ˈɛ	0.065
ˈɪ	ˈæ	0.065
ˈɪ	-	0.065
ˈeː	w	0.053
d	-	0.053
n	-	0.051
