Emilian	Aromanian	probability
b	b	1.0
ʤ	-	1.0
ʧ	-	1.0
ˈi	ˈi	1.0
ˈæ	ˈi	1.0
e	i	0.651
l	-	0.111
s	ʃ	0.151
ŋ	m	0.151
ɡ	ɡ	0.391
ˈaː	ˈɨ	0.301
ˈaː	ˈa	0.581
ˈuː	ˈo	0.361
ˈɛ	-	0.051
a	-	0.102
f	f	0.552
m	ɲ	0.252
m	m	0.742
s	ʃ_t	0.072
u	a	0.542
v	j	0.222
ˈa	ˈe	0.082
ˈa	ˈɨ	0.422
ˈe	ˈi	0.972
a	ə	0.703
d	-	0.113
l	r	0.323
t	t_i	0.053
ˈa	i	0.073
ˈo	ˈo	0.113
ˈɛ	ˈɨ	0.063
i	-	0.14
j	-	0.424
k	-	0.084
t	t	0.534
ɲ	n	0.534
ˈo	ˈu	0.74
ˈɔ	o̯ˈa	0.244
ˈɔː	o̯ˈa	0.144
ˈɔː	ˈo	0.314
ˈɔː	ˈa	0.434
ˈɛː	ˈa	0.434
ˈʌu̯	ˈu	0.444
θ	ʦ	0.874
d	t	0.265
d	d	0.435
r	r	0.445
v	v	0.355
z	ʦ_i	0.475
ð	ʤ	0.215
ð	ʣ	0.785
ŋ	-	0.065
ŋ	n	0.705
ˈa	e̯ˈa	0.205
ˈiː	i	0.075
ˈiː	u_#>	0.125
ˈɛ	ˈe	0.125
ˈʌ	ˈo	0.065
ˈʌ	ˈu	0.345
d	ʣ	0.186
i	i	0.86
k	k	0.916
t	p_t_i	0.186
v	p	0.096
ɲ	ɲ	0.466
ˈɛ	ˈa	0.726
ˈɛː	ˈe	0.566
ˈʌu̯	o̯ˈa	0.556
θ	<#_a	0.126
j	ʎ	0.157
l	e	0.067
n	-	0.107
n	n	0.877
r	-	0.147
s	s	0.777
v	-	0.297
z	-	0.287
ˈiː	ˈe	0.07
ˈiː	ə_#>	0.097
ˈiː	i_#>	0.117
ˈiː	e̯ˈa	0.187
ˈiː	ˈi	0.307
ˈo	-	0.147
ˈɔ	ˈu	0.127
a	i	0.168
f	ç	0.448
p	p	0.98
r	r_i	0.408
u	u	0.458
z	ʃ	0.238
ˈaː	ˈi	0.118
ˈɔː	-	0.108
e	r_i	0.349
j	l	0.419
l	l	0.499
t	t_u	0.179
ɡ	-	0.19
ɡ	k	0.419
ˈa	ˈi	0.219
ˈuː	ˈu	0.639
ˈɔ	ˈo	0.629
ˈʌ	-	0.59
