Nuorese	Nuorese	probability
ˈɔ_ɾ	ˈɔə̯_r	1.0
ˈɔ_n	ˈõũ̯	1.0
ˈu_ɾ	ˈu_r	1.0
ˈo_n	ˈõũ̯	1.0
ˈa_ɾ	ˈeə̯	1.0
ˈa_n	ˈʌ̃	1.0
ʣ_u	j	1.0
ɾ_ɛ_#>	#>	1.0
ɡ_e	ð	1.0
ɡ	ʤ	1.0
ɛ̆	-	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ŋ	n	1.0
z_ˈa	ˈeː	1.0
u_z_ŭ_#>	#>	1.0
u_z	o	1.0
u_#>	#>	1.0
t_ˈu	w	1.0
t_u_#>	t_#>	1.0
t_u	θ	1.0
t_a	d_ɐ	1.0
s_u_#>	s_#>	1.0
s_i	z	1.0
s	s	1.0
r	r	1.0
nː_u	n_d	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_ɛ	j̃	1.0
n_a	n_ɐ	1.0
l_a	l_ɐ	1.0
l	l	1.0
k_ɾ	ʧ	1.0
k_ɛ	z	1.0
k_i	θ	1.0
k_e	θ	1.0
k_a	k_ɐ	1.0
f	f	1.0
e	e	1.0
d	d	1.0
ă	-	1.0
a_n	ɐ_n	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈʌ̃	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
<#	<#_k	1.0
t	t	0.875
p	p	0.839
n	n	0.833
a	ɐ	0.827
ð	d	0.778
ɔ	-	0.733
i	-	0.733
m	m	0.727
ɾ	r	0.723
β	v	0.714
u	-	0.714
ɣ	-	0.667
o	u	0.667
z	-	0.647
ɛ	ɐ	0.6
p_ɾ	p_j	0.6
k	k	0.591
ɛ_ɾ	ɐ_r	0.556
b	v	0.556
ʦ	θ	0.5
ʦ	t	0.5
nː	ɲ	0.5
nː	n	0.5
ˈo	ˈɔə̯	0.462
ˈe	ˈɛə̯	0.455
ɔ̆	-	0.444
j	j	0.444
b	b	0.444
ʣ	-	0.429
ˈa	ˈeə̯	0.421
ˈu	ˈo	0.412
p_ɾ	p	0.4
ˈi	ˈɛ	0.333
ɣ	ð	0.333
ɔ̆	r	0.333
o	ɐ	0.333
j	-	0.333
ɛ	-	0.32
ˈi	ˈi	0.31
ˈɔ	ˈou̯	0.296
ˈu	ˈou̯	0.294
ʣ	ð	0.286
ʣ	j	0.286
u	ɐ_n	0.286
ˈe	ˈɛ	0.273
ɔ	u	0.267
i	i	0.267
ˈa	ˈʌ̃	0.263
ˈa	ˈa	0.263
ˈɔ	ˈɔ	0.259
z	z	0.235
ˈo	ˈu	0.231
ɛ_ɾ	ɐ	0.222
ɛ_ɾ	r	0.222
ɔ̆	i	0.222
ð	-	0.222
j	j_ˈeə̯	0.222
ˈɛ	ˈɛə̯	0.214
ˈɛ	ˈɛ	0.214
ˈɔ	ˈo	0.185
m	ŋ	0.182
k	ɡ	0.182
ˈɛ	ˈeː	0.179
n	ˈõũ̯	0.167
p	-	0.161
k	θ	0.159
ˈo	ˈou̯	0.154
ˈo	ˈo	0.154
ˈɔ	u	0.148
ˈu	ˈu	0.147
β	b	0.143
β	-	0.143
ˈɛ	ˈi	0.143
ˈi	ˈẽ	0.143
ˈe	ˈi	0.136
ˈe	-	0.136
t	d	0.125
ˈi	ˈeː	0.119
z	t_r	0.118
ˈɔ	ˈɔə̯	0.111
ˈɛ	ˈẽ	0.107
ˈɛ	-	0.107
m	m_b	0.091
ˈu	ˈɔ	0.088
ɾ	ɐ_r	0.085
ɾ	j	0.085
ɛ	ˈi	0.08
a	a	0.077
ˈi	-	0.071
k	-	0.068
ɾ	-	0.064
ˈu	-	0.059
a	-	0.058
ˈa	ˈɔə̯	0.053
