West Frisian	Danish	probability
χ	-	1.0
ˈɪə̯_n	ˈɔˀ	1.0
ˈɪ_n	n	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈɑ	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈø	1.0
ˈuə̯_r	ɐ	1.0
ˈu	ˈu	1.0
ˈeː	ˈeˀ	1.0
ʋ_ˈɔ	ˈu	1.0
ʋ	ʋ	1.0
ɪ	i	1.0
ɣ̥	j	1.0
ə_r	ɐ	1.0
ɕ	s	1.0
t_ə	ð̞ˠ	1.0
s_v	s	1.0
r_ɣ̥	ɐˀ_w	1.0
p	b̥	1.0
n_d	nˀ	1.0
j_ˈuə̯	ˈyˀ	1.0
j_ə	ə	1.0
f	f	1.0
b	b̥	1.0
s	s	0.975
m	m	0.898
d̥	ð̞ˠ	0.85
h	h	0.841
ə	ə	0.838
k	ɡ̊	0.789
l	l	0.754
v	ʋ	0.748
n	n	0.731
d	d̥	0.671
t	ð̞ˠ	0.635
ˈɔː	ˈæ	0.623
χ_t	d̥	0.606
ˈi	ˈiˀ	0.593
ŋ	ŋˀ	0.582
ɣ	-	0.581
ˈɛ	-	0.558
ˈuə̯	ˈoˀ	0.538
ˈɛː	ˈɑˀ	0.533
ʦ	ʦʰ	0.531
z_ə	ə	0.521
z_ə	s_ə	0.479
j	-	0.479
ʦ	-	0.469
ˈaː	ˈɔˀ	0.468
ˈuə̯	ˈo	0.462
r	ɐ	0.443
ˈuː	ˈuˀ	0.423
ˈɛi̯	ˈɑ_jˀ	0.42
ˈɪ	-	0.419
ɣ	w	0.419
ŋ	ŋ	0.418
ˈa	ˈæ	0.412
ˈi	-	0.407
r	ʁ	0.407
χ_t	ɡ̊_d̥	0.394
ˈɪə̯	-	0.387
ˈɔː	ˈʌ	0.377
ˈiə̯	-	0.358
ˈiː	-	0.356
ˈɛi̯	-	0.35
t	d̥	0.349
ˈɔ	-	0.345
ˈiː	ˈe	0.342
ˈoə̯	ˈœ	0.318
ˈaː	-	0.31
ˈa	ˈɑ	0.302
ˈiə̯	ˈeˀ	0.288
ˈɛ	ˈɛ	0.266
ˈoə̯	ˈo_ɐˀ	0.26
v	w	0.252
ˈɔ	ˈu	0.249
ˈuː	ˈu	0.247
ˈɪə̯	ˈœˀ	0.241
ˈɛː	ˈɛ	0.233
ˈɛː	ˈœ	0.233
d	ð̞ˠ	0.231
ˈɛi̯	ˈɛ	0.23
ˈɪ	ˈe	0.223
ˈaː	ˈɛː	0.222
n	nˀ	0.22
ˈiə̯	ˈɒˀ	0.213
l	lˀ	0.211
k	-	0.211
ˈoə̯	ˈɔː	0.201
j	ˈyˀ	0.197
ˈuː	-	0.194
ˈɪə̯	ˈøː	0.187
ˈa	-	0.187
ˈɛ	ˈe	0.177
ˈoə̯	ˈoˀ	0.169
h	j	0.159
ˈiː	ˈiː	0.155
j	j	0.153
d̥	lˀ	0.15
r	ɐˀ	0.149
ˈiː	ˈiˀ	0.146
ˈɔ	ˈʌ	0.138
ˈɔ	ˈø	0.138
ˈuː	ˈuː	0.136
ˈɔ	ˈɔ	0.131
ˈɪ	ˈɛ	0.111
ˈɪə̯	ˈøˀ	0.108
ˈɪ	ˈø	0.104
m	-	0.102
ˈa	ˈɛ	0.1
d	ʦʰ	0.098
ə	-	0.096
j	ˈi	0.085
j	ɡ̊	0.085
ˈɪə̯	ˈʌ	0.078
ˈɪ	ˈeˀ	0.077
ˈiə̯	ˈyː	0.07
ˈiə̯	ˈuˀ	0.07
ə	ɐ	0.066
ˈoə̯	ˈɒː	0.052
