Palatine German	Palatine German	probability
β_ˈɔ	ˈɔ	1.0
ˈɛ̃ː	-	1.0
ˈɑ̃ː	-	1.0
ˈɑːɪ̯	ˈɛ_ɡ̊ː	1.0
ˈɑː_ɐ	ˈa_r	1.0
ˈɑː_d̥	ˈaː_ð	1.0
ˈõː	ˈɔː_n	1.0
ˈo	ˈɑːu̯	1.0
ˈĩː	ˈai̯	1.0
ˈi	j	1.0
ˈau̯̯	ˈuː	1.0
ˈau̯	ˈuː	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	r̥_#>	1.0
ɑ	ʏ	1.0
ɐ_d̥	r_ð	1.0
ŋ_ɡ̊	ʰk	1.0
s_ɐ	ʰt͡n̥	1.0
j	ˈuː	1.0
eː	aːu̯	1.0
<#_β	<#	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
m	m	0.929
ŋ	ŋ	0.875
h	h	0.826
β	v	0.786
ə	a	0.775
b̥	b̥	0.76
ɪ	ɡ̊_ʏ	0.75
s_#>	s_#>	0.727
<#_r	<#_r	0.714
kʰ	kʰ	0.7
f	f	0.677
ˈɔ	-	0.667
r	r	0.667
n_#>	t͡n̥_#>	0.667
d̥_#>	ʏ_r̥_#>	0.625
ˈaɪ̯	ˈiː	0.619
ˈuː	ˈoːu̯	0.583
l	l	0.579
#>	ʏ_r̥_#>	0.521
ˈeː	-	0.5
ʣ̥	tʰ	0.5
s	s	0.5
ˈɛː	-	0.462
s	t	0.444
ˈoː	-	0.438
ˈu	ˈʏ	0.429
d̥	d̥	0.423
ˈɪ	ˈɪ	0.393
x	-	0.385
d̥_#>	#>	0.375
ˈɑ	ˈa	0.355
ʣ̥	t	0.333
r	ð	0.333
n_#>	#>	0.333
n	n	0.324
ˈoː	ˈɑːu̯	0.312
ˈɑː	ˈœːy̯	0.308
ˈɑː	-	0.308
x	k	0.308
kʰ	cʰ	0.3
d̥	θ	0.288
<#_r	<#_r̥	0.286
ʃ	s	0.278
s_#>	#>	0.273
ɡ̊	ɟ̊	0.267
ɡ̊	-	0.267
ˈɑ	-	0.258
ɐ	r̥	0.256
ˈɛ	ˈɛ	0.25
ˈuː	-	0.25
ˈoː	ˈœːy̯	0.25
ˈiː	j_ˈoːu̯	0.25
ˈiː	j	0.25
ˈeː	ˈɛːi̯	0.25
ˈeː	j_ˈoːu̯	0.25
ɪ	ɑu̯	0.25
d̥	ð	0.25
ˈaɪ̯	-	0.238
ˈɛː	ˈɛːi̯	0.231
ˈɑː	ˈaː	0.231
ˈɑ	ˈaː	0.226
#>	r̥_#>	0.219
n	nː	0.216
ˈu	ˈu	0.214
ˈu	-	0.214
l	t͡l̥	0.211
l	l̥	0.211
ɐ	r	0.209
ˈɔ	ˈɔ	0.2
b̥	v_ʏ	0.2
f	p	0.194
ˈiː	j_ˈuː	0.188
ˈiː	-	0.188
ˈɪ	ˈi	0.179
ˈɪ	-	0.179
h	ç	0.174
ˈuː	ˈaːi̯	0.167
ʣ̥	ʰt	0.167
ʃ	s_c	0.167
ʃ	k	0.167
ɐ	ɪ_r̥	0.163
ˈɑ	ˈɑu̯	0.161
ˈɛː	ˈɛ	0.154
ˈɛː	ˈeːi̯	0.154
ˈɑː	ˈa	0.154
x	ʰt	0.154
x	ɡ̊	0.154
#>	a_#>	0.146
ˈɪ	ˈɪː	0.143
ˈɛ	-	0.143
ˈu	ˈoːu̯	0.143
ˈaɪ̯	ˈɛ	0.143
ɐ	ʏ	0.14
ʃ	s_k	0.139
n	-	0.135
ˈɔ	ˈɪ	0.133
ɡ̊	ɣ	0.133
ɡ̊	ɡ̊ː	0.133
ɡ̊	k	0.133
ˈiː	ˈaːi̯	0.125
ŋ	ɲ	0.125
n	n_d̥	0.108
β	kʰ_v	0.107
β	-	0.107
ˈɪ	j	0.107
ˈɛ	ˈɛː	0.107
ˈɛ	ˈa	0.107
ˈɛ	j	0.107
ə	-	0.1
ʃ	x	0.083
n	t͡n̥	0.081
n	n̥	0.081
ə	j_a	0.075
ˈɛ	ˈɪː	0.071
ˈɛ	ˈɪ	0.071
ˈɛ	ˈau̯	0.071
ˈɛ	j_ˈɛ	0.071
m	-	0.071
ɐ	ˈɛː_r̥	0.07
ɐ	r_ɪ	0.07
ɡ̊	ʰc	0.067
f	ʰp	0.065
f	v_ʏ	0.065
ʃ	ʰt	0.056
ʃ	ɣ	0.056
ʃ	ɡ̊	0.056
s	s_j	0.056
n	ŋ	0.054
