Auvergnat	Auvergnat	probability
ˈɪ̃_ŋ	ŋ	1.0
ˈɪ̃	ˈe	1.0
ˈɪ_j	ˈe	1.0
ˈɔ_s	s_ʊ	1.0
ˈœ	ˈo	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈẽ	ˈe	1.0
ˈe_j	a	1.0
ˈa_n_ɔ_#>	ˈa_#>	1.0
ʒ	θ	1.0
ʃ	θ	1.0
ʀ_ˈɪ	ɾ_ˈe	1.0
ʀ_ɔ	ɾ_ɐ	1.0
ɲ	ɲ	1.0
ɥ	a_t	1.0
ɡʲ	-	1.0
ɔ_#>	#>	1.0
œ	-	1.0
z	-	1.0
y	u	1.0
w_ˈɔ̃	ˈo	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈu	1.0
vʲ	b	1.0
ũ	o	1.0
u_l	ˈo	1.0
s_#>	θ_#>	1.0
pʲ	a_β	1.0
p_l	ʧ	1.0
p	p	1.0
mʲ	m	1.0
m	m	1.0
lː	ɟ	1.0
l_#>	#>	1.0
k_ʀ	k_ɾ	1.0
k_l	ʧ	1.0
j_ˈɔ	ˈɔ	1.0
ĩ	i	1.0
i	i	1.0
fʲ	f	1.0
f_l	ʧ	1.0
f	f	1.0
e	ɾ	1.0
dʲ	d	1.0
ã	ɑ	1.0
a	-	1.0
<#_ˈã	<#_ˈa	1.0
<#_ˈa	<#_ˈo	1.0
<#_ʤ	<#_ʃ	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ɔ	ɐ	0.934
ˈi	ˈi	0.9
ʎ	ɟ	0.875
v	b	0.857
ˈɪ	ˈe	0.824
ʀ	ɾ	0.806
t	t	0.8
ˈy	ˈu	0.778
k	k	0.778
ʧ	k	0.739
ɒ	a	0.733
ɡ	ɡ	0.7
ˈũ	-	0.667
ˈa_w	ˈa_l	0.667
ɪ	e_s	0.667
n	-	0.647
ˈa	ˈa	0.64
u	o	0.625
#>	ʊ_#>	0.602
ˈɔ	-	0.6
ˈã	ˈɑ	0.6
ʤ	ʃ	0.6
ˈu	ˈo	0.591
s	θ	0.579
ˈe	ˈɛ	0.576
d	d	0.526
b	b	0.522
l	l	0.5
b	β	0.478
d	ð	0.474
j	-	0.444
ŋ	ŋ	0.405
ˈɔ	ɾ_t	0.4
ˈã	ˈa	0.4
ʤ	-	0.4
ʀ_ə	ɾ_ɪ	0.4
ˈũ	o	0.333
ˈa_w	ˈo_w	0.333
ʀ_ə	ɾ	0.333
ɪ	e	0.333
j	j	0.333
ˈe	ˈe	0.303
ɡ	ɣ	0.3
ə	ʊ	0.3
w	ˈɔ	0.286
ʀ_ə	ˈe_ɾ	0.267
ə	e	0.267
ɒ	e	0.267
u	u	0.25
ŋ	n	0.243
ˈy	ˈo_j	0.222
j	j_t	0.222
s	s	0.211
#>	ɾ_#>	0.194
ŋ	n_t	0.189
#>	ɪ_#>	0.183
ˈu	ˈu	0.182
w	β	0.179
ˈɪ	-	0.176
n	ɲ	0.176
n	n	0.176
l	ɾ	0.154
w	w	0.143
v	β	0.143
ʀ	r	0.139
ˈu	ˈɔ	0.136
ə	ɪ	0.133
ə	-	0.133
ʎ	l	0.125
u	ɔ	0.125
ˈe	-	0.121
ˈa	-	0.12
l	-	0.115
k	ɣ_ʊ	0.111
k	ɡ	0.111
w	β_ɪ	0.107
w	ˈo	0.107
w	-	0.107
s	θ_ˈe	0.105
s	-	0.105
ˈi	ɾ	0.1
ə	ɾ	0.1
t	s_t	0.1
t	s	0.1
ˈu	ˈo_ð	0.091
ʧ	t	0.087
ʧ	s_t	0.087
ʧ	-	0.087
ŋ	ɲ	0.081
ŋ	-	0.081
ˈa	a	0.08
l	ˈɛ_l	0.077
l	ˈi	0.077
l	ˈa	0.077
w	o	0.071
ə	ˈe	0.067
ɔ	ʊ	0.066
ˈa	ˈɑ	0.06
ˈa	ɾ	0.06
ʀ	ɪ	0.056
