French	French	probability
ʁ_ɛ	r_ˈa	1.0
ʁ_w	r_ˈe	1.0
ʁ_s	r_s	1.0
ɲ	ɲ_a	1.0
ɥ	-	1.0
ɡ	ɡ	1.0
ɑ̃_#>	ˈe_ŋ_t_u_#>	1.0
y_l	y	1.0
w_a	ˈe	1.0
t_ʁ	ʃ_e	1.0
t_#>	t_a_#>	1.0
p_l	ʧ	1.0
p	p	1.0
m	m	1.0
l_#>	#>	1.0
k_l	ʧ	1.0
j_ɛ	ˈeː	1.0
i_ʁ	ˈiː	1.0
i_#>	u_#>	1.0
e_p	s_p	1.0
e_k	s_k	1.0
d_ʁ	n_j	1.0
b	b	1.0
<#_ʒ	<#_z	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɛ	<#_a	1.0
<#_t	<#_t	1.0
<#_o	<#_ˈaː	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f_l	<#_ʃ	1.0
<#	<#_l	1.0
v	v	0.935
f	f	0.917
t	t	0.857
ʃ	k	0.84
d	d	0.824
k	k	0.81
e_#>	ˈaː_#>	0.786
œ	ˈøː	0.75
s	s	0.75
ə	e	0.667
z	ʒ	0.667
ɔ̃	ˈu_ŋ	0.647
ʒ	ʤ	0.6
a_ʁ	j	0.6
a_#>	ʒ_e_#>	0.6
l	l	0.588
ɔ	ˈɔː	0.533
ʁ_#>	u_#>	0.5
ʁ_#>	e_#>	0.5
ɛ_ʁ	ˈaː	0.5
ɛ_ʁ	w_ˈɛː	0.5
œ_ʁ_#>	ˈuː_#>	0.5
œ_ʁ_#>	#>	0.5
n	ŋ_a	0.5
<#_ɔ	<#_ˈɔ	0.5
<#_ɔ	<#	0.5
ʁ	r	0.469
w	-	0.45
w	ˈe	0.4
e	ˈɛː	0.4
a_ʁ	d_e	0.4
a_#>	#>	0.4
y	ˈy	0.385
ɛ̃	ˈa_ŋ	0.381
#>	u_#>	0.372
o	ˈe_l	0.357
j	-	0.35
ə	a	0.333
z	z	0.333
i	ˈi	0.324
ɑ̃	ŋ	0.312
#>	a_#>	0.31
y	ˈyː	0.308
y	-	0.308
u	ˈu	0.304
ʒ	-	0.3
ø	ˈøː	0.3
ø	u	0.3
n	n	0.3
ɛ̃	ˈi_ŋ	0.286
a	a	0.282
a	ˈa	0.256
ɑ̃	ˈe_ŋ	0.25
œ	ˈø	0.25
j	ʤ_a	0.25
l	a	0.235
a	j	0.231
#>	e_#>	0.23
u	ˈuː	0.217
o	ˈɔː	0.214
o	ˈɔ_s	0.214
o	ˈaː	0.214
e_#>	#>	0.214
ɔ	u	0.2
ø	ˈuː	0.2
ø	ʤ_u	0.2
j	ˈeː	0.2
j	ʤ_u	0.2
e	ˈaː_z	0.2
e	ˈaː	0.2
e	s	0.2
ɛ̃	ŋ	0.19
k	k_w	0.19
ɑ̃	a_ŋ	0.188
a	-	0.179
l	-	0.176
d	-	0.176
ɛ	ˈe	0.162
ɛ	ˈaː	0.162
ʃ	-	0.16
w	ˈuː	0.15
i	ˈeː	0.147
ɛ̃	ɲ_u	0.143
t	s	0.143
ɛ	ˈɛː	0.135
ɛ	ˈa	0.135
ɔ	ˈɔ	0.133
ɔ	ˈu	0.133
u	u	0.13
ɑ̃	ˈe	0.125
ɑ̃	ˈa_n	0.125
ʁ	-	0.122
ɔ̃	ˈu	0.118
ɔ̃	u_ŋ	0.118
ɔ̃	u	0.118
i	i	0.118
i	-	0.118
s	ʃ	0.111
ɛ	ˈɛ	0.108
ɛ	ˈeː	0.108
ʒ	sː	0.1
n	ŋ	0.1
n	-	0.1
i	ˈiː	0.088
i	t_u	0.088
u	ˈy_t	0.087
u	w_ˈiː	0.087
u	w	0.087
u	-	0.087
s	-	0.083
f	v_u	0.083
ʁ	r_u	0.082
ʁ	j_a	0.082
ɛ	ˈa_s	0.081
v	-	0.065
ʁ	v_e	0.061
ʁ	r_t	0.061
i	ˈiː_ɡ	0.059
i	ˈeː_ʒ	0.059
s	s_e	0.056
ɛ	ˈɛː_r	0.054
ɛ	e	0.054
#>	ɡ_u_#>	0.053
a	e	0.051
