Spanish	Spanish	probability
θ_#>	z_#>	1.0
β_o_#>	v_#>	1.0
ˈi_ɾ	e	1.0
ˈi_ɣ	ˈi	1.0
ˈe_ɾ	e	1.0
ˈe_n	ˈe_ŋ	1.0
ˈa_ɾ	ˈe	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ɾ_o_#>	r_#>	1.0
ɾ_a	a	1.0
ɾ_#>	#>	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_ɾ	r	1.0
t	t	1.0
s_e	s	1.0
r	r	1.0
p	p	1.0
o_#>	#>	1.0
m_ˈo	ˈɛ_l	1.0
l_#>	l_#>	1.0
k_o_#>	k_#>	1.0
k	k	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
d	d	1.0
b_ɾ_e_#>	#>	1.0
a_β	a_v	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
a	a	0.96
m	m	0.833
<#	<#_f	0.8
ɾ	r	0.783
ʝ	l	0.778
s	s	0.775
n	ŋ	0.756
ɲ	ɲ	0.75
j_ˈe	ˈɛ	0.737
ˈi	ˈi	0.68
<#_o	<#_u	0.667
θ	s	0.65
β	v	0.65
ɣ	ɡ	0.636
x	j	0.632
n_#>	n_#>	0.6
b	v	0.581
ˈu	ˈy	0.571
j	-	0.545
l	l	0.542
ɟ͡ʝ	p_j	0.5
w	w	0.5
w	-	0.5
u	u	0.5
u	-	0.5
i	i	0.5
i	-	0.5
#>	e_#>	0.5
#>	a_#>	0.5
ˈo	ˈu	0.487
w_ˈe	ˈɔ	0.448
ð	d	0.438
b	b	0.419
n_#>	#>	0.4
ɣ	-	0.364
β	b	0.35
o	u	0.35
ˈe	ˈɛ	0.333
e_ɾ	r	0.333
e_ɾ	e_r	0.333
e_ɾ	b	0.333
<#_o	<#	0.333
ð	t	0.312
w_ˈe	ˈø	0.276
w_ˈe	ˈu	0.276
j	ˈi	0.273
j_ˈe	ˈe	0.263
θ	z	0.25
ɲ	-	0.25
ɟ͡ʝ	ʧ	0.25
ɟ͡ʝ	ʤ	0.25
ð	-	0.25
n	n	0.244
ˈo	ˈɔ	0.231
s	-	0.225
ʝ	j	0.222
x	ʤ	0.211
e	e	0.211
e	-	0.211
l	-	0.208
<#	<#_ˈa	0.2
ˈe	ˈe	0.194
ˈu	ˈu	0.19
j	ˈɛ	0.182
m	-	0.167
l	j	0.167
x	s	0.158
e	u	0.158
e	r	0.158
e	i	0.158
ˈo	ˈø	0.154
o	ˈɔ	0.15
o	r	0.15
o	-	0.15
ˈu	-	0.143
ˈi	f_ˈi	0.12
ˈi	-	0.12
ˈe	ˈi	0.111
ˈe	-	0.111
e	ˈe	0.105
θ	ʧ	0.1
o	ŋ	0.1
o	j	0.1
ˈu	ˈi	0.095
ˈe	j	0.083
l	w	0.083
ˈi	ˈɛ	0.08
ˈo	ˈy	0.077
ɾ	ə	0.065
ɾ	e	0.065
ˈe	ˈɛ_j	0.056
ˈe	ˈə	0.056
ˈe	e	0.056
ˈo	w	0.051
