Catalan	Occitan	probability
d	d	1.0
f	f	1.0
j	j	1.0
n	n	1.0
p	p	1.0
r	r	1.0
z	z	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ʃ	j_s	1.0
ʒ	ʒ	1.0
ʤ	ʤ	1.0
ˈa	ˈa	1.0
b	v	0.591
k	k	0.941
u	w	0.091
u	a_w	0.111
ɾ	-	0.11
ˈu	ˈy	0.711
t	ʧ	0.162
ɾ	ɾ	0.802
ˈi	j_ˈɛ	0.052
ˈɛ	ˈɛ	0.392
ə	a	0.163
ə	ɔ	0.483
ʎ	l	0.863
ˈo	-	0.083
i	e	0.394
l	w	0.14
l	l	0.804
m	m	0.94
w	w	0.44
ˈe	ˈe	0.34
ˈu	ɥ_ˈɛ	0.084
ˈɔ	ˈa_w	0.094
β	β	0.934
w	-	0.255
ˈe	ˈa	0.055
ˈe	ˈɛ	0.605
ˈu	ˈu	0.205
i	i	0.606
l	-	0.056
m	-	0.06
ɲ	ɲ	0.96
β	-	0.066
s	s	0.957
ʎ	ʎ	0.137
ˈo	ˈu	0.917
ˈɔ	ˈɔ	0.727
t	t	0.838
u	u	0.798
w	ʦ	0.278
ˈi	ˈi	0.948
ˈɔ	ˈu	0.138
ˈɛ	ˈe	0.608
b	b	0.409
k	-	0.059
ə	e	0.329
