Romansch	Occitan	probability
<#	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_u	<#_a_w	1.0
<#_v	<#_v	1.0
<#_ə	<#_a	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʎ	<#_l	1.0
<#_ʧ	<#_s	1.0
<#_ʨ	<#_k	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈɔ	<#_ˈa	1.0
<#_ˈɛ	<#_ɥ_ˈɛ	1.0
d	ð	1.0
d_i	ʤ_e	1.0
d_ə	d_ɾ	1.0
e	e	1.0
f_#>	w_#>	1.0
i_#>	#>	1.0
j_n	ˈe_#>	1.0
j_ˈɛ	ɥ_ˈɔ	1.0
k	k	1.0
k_#>	k_#>	1.0
l	l	1.0
l_#>	l_#>	1.0
l_ˈa	l_ˈa	1.0
m	m	1.0
m_#>	m_#>	1.0
n_t	n_#>	1.0
o	u	1.0
p	s_p	1.0
p_#>	s_#>	1.0
r_n	r_#>	1.0
r_ə	ɾ	1.0
r_ʨ	r_k	1.0
r_ˈɔ	ɾ_ˈa	1.0
s	s	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
t_ə	t_ɾ	1.0
u	u	1.0
v_ə	w_ɾ	1.0
w_n	ˈa_#>	1.0
ŋ_#>	ŋ_k_#>	1.0
ŋ_ɡ	ŋ_ɡ	1.0
ə_#>	ɔ_#>	1.0
ɡ	ɣ	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ʃ_#>	ʦ_#>	1.0
ʃ_ə	j_s	1.0
ʎ	ʎ	1.0
ʎ_#>	l_#>	1.0
ʒ_ɡ	v	1.0
ʧ	s	1.0
ʧ_#>	s_#>	1.0
ʨ	-	1.0
ʨ_#>	ʧ_#>	1.0
ʨ_ə	k_ɔ	1.0
ˈa_j	ˈe	1.0
ˈe_ʨ	ˈe_k	1.0
ˈi_n	ˈi_#>	1.0
ˈi_ʨ	ˈe_k	1.0
ˈiə̯	ˈɛ	1.0
ˈo	ɥ_ˈɛ	1.0
ˈu_n	ˈu_#>	1.0
ˈuɔ̯	ˈu	1.0
ˈuː	ˈu	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɔː	ˈɔ	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛː	ˈɛ	1.0
ˈɛː_#>	ˈɛ_l_#>	1.0
ˈɛː_r	ˈɛ_r	1.0
n	-	0.111
ə	-	0.1
ˈe	ˈe	0.571
ˈeː	ˈe	0.571
t	s_t	0.182
v	-	0.182
ˈaː	ˈa	0.92
ˈiː	ˈi	0.762
ˈɔ	ɥ_ˈɔ	0.2
<#_ʃ	<#_ʤ	0.333
r	r	0.353
r_#>	e_#>	0.383
ə	e	0.233
ˈa	-	0.273
ˈa_w	ˈa	0.333
ˈɔ	ˈa	0.3
n	ɔ	0.074
w	w	0.4
w_#>	w_#>	0.4
ʃ	s	0.4
ˈi	ˈy	0.364
i	e	0.5
i	y	0.5
n	n	0.815
ʥ	-	0.25
ʥ	ʤ	0.75
ʦ_#>	ʧ_#>	0.5
ʦ_#>	ʦ_#>	0.5
ˈɔ	ˈɔ	0.5
ˈɛ	j_ˈɛ	0.235
j	ˈɛ	0.286
w	-	0.6
w_#>	k_#>	0.6
ə	a	0.6
ʃ	z	0.6
ˈi	ˈi	0.636
<#_ʃ	<#_e	0.667
j	j	0.357
j	-	0.357
r_#>	#>	0.617
ə	ˈi	0.067
ˈa	ˈa	0.727
ˈa_w	ˈa_w	0.667
ˈu	ˈɔ	0.077
ˈu	ˈy	0.077
ˈu	e	0.077
ˈɛ	ˈɛ	0.647
r	ɾ	0.588
t	t	0.818
v	β	0.818
ˈaː	ˈa_ɣ	0.08
ˈiː	ˈy	0.238
ˈɛ	ˈe	0.118
r	j_ɾ_e	0.059
ˈe	ˈɛ	0.429
ˈeː	ˈɛ	0.429
ˈu	ˈu	0.769
