Upper Franconian	Upper Franconian	probability
ˈɪ	ˈɪ	1.0
ˈɘ	-	1.0
ˈɔ_ɐ	ˈaː	1.0
ˈɒː	ˈa	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈa	ˈaː	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɪ	ɪ	1.0
ɣ̊	-	1.0
ɡ̊_n	k	1.0
ə	ə	1.0
ɐ_n	ɾ_ə	1.0
ɐ_d̥	ɑ_d̥	1.0
ɐ_#>	#>	1.0
z̥_n	s_ə	1.0
z̥	s	1.0
v̥_n	f_ə	1.0
v	ʋ	1.0
t	t	1.0
r	ɾ	1.0
l	l	1.0
j	j	1.0
i	-	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
d̥_ˈɪ	d_ˈɪ	1.0
b̥͡v̥	-	1.0
<#_ˈɒ	<#	1.0
s	s	0.953
ˈʊ	ˈʊ	0.889
ˈɒ	ˈa	0.885
ʦ	ʦ	0.882
m	m	0.833
ɐ	ɑ	0.825
ç	ç	0.786
b̥	b	0.739
ˈɛ	ˈɛ	0.714
n	n	0.688
ˈɛː	ˈɛː	0.667
ˈɔ	ˈɔ	0.667
a	ə	0.647
x	x	0.643
ˈeː	ˈeː	0.636
ɡ̊	k	0.59
ˈoː	ˈɔː	0.55
ˈaː	ˈeː	0.545
ˈiː	ˈiː	0.538
ŋ	ŋ	0.529
ˈuː	ˈuː	0.524
β	ʋ	0.5
β	-	0.5
d̥	d	0.418
ˈuː	ˈoː	0.381
d̥	d̥	0.38
ˈeː	ˈɛ	0.364
a	-	0.353
ˈoː	ˈoː	0.35
ˈɛː	ˈɔɪ̯	0.333
ɡ̊	ɡ	0.333
ˈaː	ˈɔː	0.318
ˈɛ	ˈɛː	0.286
b̥	b̥	0.261
ˈiː	ˈɪ	0.231
ˈiː	ˈeː	0.231
ç	-	0.214
x	ɡ̊	0.214
ˈɔ	ˈa	0.2
ŋ	ə	0.176
ŋ	j_ə	0.176
n	ə	0.172
d̥	t	0.165
x	ç	0.143
n	-	0.141
ˈaː	-	0.136
ˈɔ	-	0.133
ʦ	-	0.118
ŋ	ɣ_ə	0.118
ˈɒ	-	0.115
ˈʊ	ˈaː	0.111
m	ʋ_ə	0.111
ˈoː	-	0.1
ˈuː	-	0.095
ɡ̊	-	0.077
ɐ	ɾ_ə	0.075
m	-	0.056
