Belarusian	Latvian	probability
ˈʉ	ˈau̯	1.0
ˈɛ	-	1.0
ˈæ	-	1.0
ˈu	ˈuɔ̯	1.0
ˈo_w	ˈi_l	1.0
ˈi	-	1.0
ʦʲ_e	j	1.0
ʦʲ	t	1.0
ʦ	-	1.0
ʣʲ	d	1.0
ʐ̊	ʣ_ɛ	1.0
ʐ	ʣ	1.0
ʌ	-	1.0
ʂ	-	1.0
ɨ_v	w	1.0
ɣʲ	ɡ̊	1.0
ɣ	ɡ	1.0
æ_ʦ	e	1.0
z̥	z̥	1.0
zʲ	z	1.0
z	z	1.0
xʲ	ˈau̯_s	1.0
x	ɡ̊	1.0
vʲ	v	1.0
v	v	1.0
u	ˈuɔ̯	1.0
t	t	1.0
sʲ	s	1.0
pʲ	-	1.0
p	p	1.0
nʲ	n	1.0
mʲ	m	1.0
kʲ	d̥	1.0
i	-	1.0
e	-	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
r	r	0.849
ɫ	l	0.823
m	m	0.779
n	n	0.759
d	d	0.749
k	k	0.722
ʧ	k	0.7
s	s	0.678
d̥	d̥	0.648
ˈɵ	-	0.615
ˈo	ˈa	0.503
a	-	0.49
ˈɨ	ˈuː	0.484
ɨ	-	0.47
ˈe	ˈɛ	0.459
lʲ	-	0.431
æ	-	0.391
ˈɵ	ˈæ	0.385
ˈa	-	0.367
ˈɨ	-	0.357
d̥	d_u	0.352
lʲ	ʃ	0.325
s	s_ˈi	0.322
a	s	0.308
ˈa	a	0.303
ʧ	ʧ	0.3
æ	ˈæː	0.281
k	s	0.278
ɨ	t_s	0.265
ɨ	s	0.265
d	-	0.251
lʲ	l	0.245
n	-	0.241
ˈo	ˈæ	0.235
æ	ʎ	0.221
m	-	0.221
ˈe	ˈiɛ̯	0.214
ˈa	ɛ	0.182
ɫ	l̩	0.177
ˈo	-	0.168
ˈe	ˈɛː	0.164
ˈe	ˈa	0.164
ˈɨ	ˈiː	0.159
a	a	0.144
æ	ˈai̯	0.107
ˈa	ˈa	0.102
ˈo	ˈaː	0.094
r	r̩	0.089
r	-	0.062
a	ˈu	0.058
