Ripuarian	Ripuarian	probability
ˈʊ	-	1.0
ˈɛ_ɐ	ˈaː	1.0
ˈɔː_n	ˈaː_ʀ	1.0
ˈɔː	ˈuː_ɐ	1.0
ˈøʏ̯	ˈɑɪ̯	1.0
ˈu	-	1.0
ˈeː_n	ˈeː_n	1.0
ˈa_d̥	ˈaː_d̥	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʀ_ˈøː	ʀ	1.0
ʀ	ʀ	1.0
ɫ_d̥	l	1.0
ɫ	l	1.0
ɪ	ə	1.0
ɣ̊	-	1.0
ɣ	ʑ	1.0
ɕ_#>	#>	1.0
ɕ	ɕ	1.0
z̥	z̥	1.0
z	z	1.0
v̥	v̥	1.0
v	v	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f	f	1.0
e	e	1.0
b	b	1.0
<#_n	<#_n	1.0
#>	t_#>	1.0
d	d	0.944
t	t	0.9
s	s	0.9
ɐ	ɐ	0.886
n	n	0.867
d̥	d̥	0.824
ə	ə_n	0.735
ˈeɪ̯	ˈeː	0.714
x	χ	0.714
ʋ	v	0.704
ˈo	ˈo	0.692
j	ɡ	0.688
ˈʏ	-	0.667
ˈɔʊ̯	ˈaː	0.667
ɡ̊	d̥	0.615
ˈøː	ˈɜɪ̯	0.6
ˈœ	ˈə	0.556
ˈa	ˈɑ	0.542
ˈiː	ˈɜɪ̯	0.538
ˈaː	ˈaː	0.538
k	kʰ	0.538
ŋ	ŋ	0.519
ˈɪ	-	0.5
ˈɔ	ˈo	0.5
p	p	0.5
ŋ	n	0.481
ˈuː	ˈəʊ̯	0.462
ˈœ	ˈe	0.444
ˈyː	ˈɑɪ̯	0.444
ˈøː	ˈi	0.4
k	k	0.385
ˈa	ˈaː	0.375
ˈeː	ˈɜɪ̯	0.368
ˈe	ˈə	0.353
ˈe	ˈɑ	0.353
ˈoː	ˈoː	0.348
ˈʏ	ˈi	0.333
ˈɔʊ̯	ˈɑʊ̯	0.333
ˈɔ	-	0.333
ˈyː	-	0.333
ˈuː	ˈæːʊ̯	0.308
ˈiː	ˈæːɪ̯	0.308
ˈaː	ˈuə̯	0.308
ˈɛː	ˈɛː	0.3
ˈɛː	-	0.3
ʋ	w	0.296
ˈɛ	ˈɛ	0.294
ˈeɪ̯	ˈæːɪ̯	0.286
x	ɕ_t	0.286
ˈɪ	ˈə	0.25
ˈɪ	ˈɑ	0.25
p	pʰ	0.25
p	f	0.25
ˈɛ	ˈiə̯	0.235
ˈɛ	-	0.235
ˈuː	ˈɑʊ̯	0.231
ɡ̊	-	0.231
ˈyː	ˈɜɪ̯	0.222
ˈoː	ˈu	0.217
ˈeː	ˈiː	0.211
ˈeː	ˈeː	0.211
ˈɛː	ˈiə̯	0.2
ˈɛː	ˈeː	0.2
j	ə	0.188
ˈe	-	0.176
d̥	-	0.176
ˈɔ	ˈuə̯	0.167
ˈo	ˈɔ	0.154
ˈo	-	0.154
ˈiː	ˈɑɪ̯	0.154
ˈaː	-	0.154
ɡ̊	ɡ̊	0.154
n	-	0.133
ˈoː	ˈʊ	0.13
ˈoː	ˈəʊ̯	0.13
j	j	0.125
ə	ə	0.122
ˈɛ	ˈæ	0.118
ˈɛ	ˈiː	0.118
ˈe	ˈe	0.118
ɐ	ˈiː_ɐ	0.114
ˈeː	ˈi	0.105
ˈeː	-	0.105
t	tʰ	0.1
s	ʃ	0.1
ˈoː	ˈaː	0.087
ˈoː	-	0.087
ˈa	-	0.083
ə	n	0.082
k	-	0.077
ə	-	0.061
d	-	0.056
