Gothic	Ripuarian	probability
a	ə	0.664
a	-	0.147
a	ɐ	0.095
a	ˈeɪ̯	0.095
aː	-	0.5
aː	ə	0.5
b	b	0.841
b	f	0.106
b	-	0.053
d	d	0.468
d	-	0.283
d	t	0.142
d	k	0.107
e	ə	1.0
f	f	0.956
h	h	0.565
h	-	0.182
h	x	0.131
h	ŋ	0.08
i	-	0.565
i	ə	0.22
i	ɐ	0.215
iː	-	0.873
iː	ˈiː	0.075
iː	ɐ	0.052
j	ʀ	0.616
j	j	0.212
j	ˈøʏ̯	0.098
k	ɕ	0.382
k	k	0.356
k	-	0.262
kʷ	f	0.5
kʷ	k	0.5
l	l	0.936
l	ə_l	0.064
lː	l	1.0
m	m	0.901
m	n	0.069
n	n	0.57
n	ŋ	0.362
n	-	0.068
nː	n	1.0
oː	ɐ	0.51
oː	ˈaʊ̯	0.305
oː	ə	0.098
oː	-	0.087
p	f	0.522
p	p	0.478
r	ɐ	0.512
r	ʀ	0.369
r	-	0.119
s	-	0.698
s	ʃ	0.112
s	z	0.11
s	s	0.052
t	s	0.404
t	ʦ	0.332
t	t	0.162
t	b	0.051
u	-	0.74
u	ə	0.15
u	ɪ	0.11
w	ʋ	0.834
w	-	0.154
x	ɕ	0.757
x	x	0.243
z	-	0.502
z	ʃ	0.498
ð	d	0.708
ð	t	0.261
ŋ	ŋ	0.776
ŋ	-	0.179
ɔː	-	1.0
ɡ	j	0.426
ɡ	-	0.391
ɡ	k	0.101
ɡ	ɕ	0.082
ɡʷ	-	1.0
ɡːʷ	-	1.0
ɣ	j	0.757
ɣ	-	0.143
ɣ	x	0.099
ʍ	ʋ	0.894
ʍ	-	0.106
ˈa	ˈa	0.477
ˈa	ˈaː	0.124
ˈa	ˈɛː	0.123
ˈa	ˈɛ	0.095
ˈa	ˈoː	0.078
ˈeː	ˈoː	0.422
ˈeː	ˈeː	0.209
ˈeː	ˈɔ	0.186
ˈeː	ˈo	0.183
ˈi	ˈe	0.332
ˈi	ˈɪ	0.226
ˈi	ˈɛ	0.095
ˈi	ˈœ	0.078
ˈi	ʀ	0.06
ˈi	ˈu	0.06
ˈi	ˈa	0.051
ˈiu̯	ˈeː	0.369
ˈiu̯	ˈʏ	0.24
ˈiu̯	-	0.113
ˈiu̯	ˈoː	0.101
ˈiu̯	ˈiː	0.09
ˈiu̯	ˈɔ	0.087
ˈiː	ˈɪ	0.337
ˈiː	ˈiː	0.307
ˈiː	ˈeɪ̯	0.217
ˈiː	ˈe	0.138
ˈoː	ˈoː	0.616
ˈoː	ˈyː	0.163
ˈoː	ˈøː	0.132
ˈoː	ˈo	0.088
ˈu	ˈo	0.372
ˈu	ˈɔ	0.192
ˈu	ˈʊ	0.159
ˈu	ˈœ	0.089
ˈu	ˈoː	0.064
ˈuː	ˈuː	0.414
ˈuː	ɐ	0.224
ˈuː	ˈaʊ̯	0.157
ˈuː	ˈo	0.13
ˈuː	ˈoː	0.075
ˈɔ	ˈoː	0.419
ˈɔ	ˈɔ	0.307
ˈɔ	ˈʊ	0.148
ˈɔ	ˈuː	0.112
ˈɔː	ˈyː	0.364
ˈɔː	ˈuː	0.283
ˈɔː	ˈaʊ̯	0.146
ˈɔː	ˈɔ	0.109
ˈɔː	ˈoː	0.098
ˈɛ	ˈɛː	0.69
ˈɛ	ˈɛ	0.181
ˈɛ	ˈeː	0.129
ˈɛː	ˈeː	0.325
ˈɛː	ˈeɪ̯	0.232
ˈɛː	ˈiː	0.177
ˈɛː	ˈe	0.132
ˈɛː	ˈɛ	0.08
ˈɛː	ˈa	0.054
β	v	0.753
β	-	0.146
β	p	0.102
θ	t	0.485
θ	d	0.382
θ	-	0.128
