Czech	Štokavian	probability
<#_b	<#_b	1.0
<#_c	<#_t	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_ʋ	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɦ	<#_ɡ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʧ	<#_ʧ	1.0
a	a_#>	1.0
b	b	1.0
d	d	1.0
iː	-	1.0
iː_#>	iː_#>	1.0
j	-	1.0
k_#>	k_#>	1.0
k_iː_#>	a_k	1.0
l_#>	l_#>	1.0
l_ˈa	l_ǎː	1.0
l_ˈu	ûː	1.0
m	m	1.0
m̩	a_m	1.0
n	n	1.0
n_#>	n_#>	1.0
n_a	n_a	1.0
n_iː	n_#>	1.0
o_#>	o_#>	1.0
p	p	1.0
p_#>	b_#>	1.0
r̝̊	r	1.0
s	s	1.0
s_#>	s_#>	1.0
t_#>	d_#>	1.0
v	ʋ	1.0
v_j	ʋ_j	1.0
x_#>	ɡ_#>	1.0
x_iː	x_#>	1.0
z	z	1.0
ɛ_#>	e_#>	1.0
ɦ	ɡ	1.0
ɪ	i	1.0
ɲ	ɲ_#>	1.0
ʃ	ʒ	1.0
ˈaː	âː	1.0
ˈou̯	ûː	1.0
ˈu	ûː	1.0
ˈɛ_f	ʋ	1.0
ˈɛ_l	ě_l	1.0
ˈɛː	ê	1.0
ˈɪ	î	1.0
ˈɪ_s	îː_s	1.0
t	t	0.31
ˈɛ	ô	0.1
ˈɛ	j_êː	0.1
ˈɛ	ěː	0.1
k	ʦ	0.222
ˈɛ	ě	0.2
r	r	0.833
t	t_#>	0.483
ʦ	ʨ	0.333
ˈa	âː	0.333
<#_ˈo	<#_ǒ	0.4
l	l	0.684
r̝	r	0.714
ɛ	a	0.444
ˈiː	j_ê	0.25
ˈiː	î	0.25
ˈiː	j	0.5
ˈr̩	r̩̂	0.5
ˈr̩	r̂ː	0.5
ˈuː	ô	0.5
ˈuː	ôː	0.5
ˈɛ	ê	0.25
ˈɛ	êː	0.25
<#_ˈo	<#_ô	0.6
r̝	r̩̂	0.286
ˈo	ô	0.286
r	r̩̂ː	0.167
t	t_i	0.207
ɛ	eː	0.167
ʦ	ʦ	0.667
ˈa	â	0.667
ˈo	ǒ	0.357
ˈo	ôː	0.357
k	k	0.778
l	-	0.158
l	ʎ	0.158
ɛ	e	0.389
