Proto-Germanic	Old Norse	probability
a	r	1.0
b	b	0.984
d	d	0.964
e	i	0.575
e	ɑ	0.214
e	ɑː	0.211
i	-	0.641
i	r	0.174
i	i	0.076
i	u	0.065
iː	i	0.513
iː	-	0.487
j	-	0.715
j	a	0.15
j	j	0.135
jː	ɡː	1.0
k	k	0.368
k	c	0.244
k	cʰ	0.167
k	kʰ	0.141
kʷ	c	0.484
kʷ	kʰ	0.467
kː	cː	0.816
kː	k	0.184
l	l	0.845
l	-	0.1
l	lː	0.052
lː	lː	1.0
m	m	0.887
mː	mː	1.0
n	n	0.519
n	-	0.368
n	nː	0.076
nː	nː	0.905
nː	ð	0.095
p	p	0.777
p	v	0.172
p	-	0.051
pː	pː	1.0
r	r	0.827
r	rː	0.071
r	-	0.066
s	s	0.865
s	-	0.074
sː	sː	1.0
t	t	0.713
t	tʰ	0.166
t	tː	0.098
u	-	0.371
u	u	0.275
u	r	0.244
u	ˈɑu̯	0.075
w	v	0.575
w	-	0.378
wː	ɡ	1.0
x	h	0.536
x	-	0.177
x	r̥	0.131
x	ç	0.095
xʷ	x	0.537
xʷ	-	0.41
xʷ	ç	0.053
z	-	1.0
ð	ð	0.827
ð	-	0.087
ð	ʦ	0.061
ŋ	ŋ	1.0
ɑ	ɑ	0.458
ɑ	r	0.332
ɑ	-	0.2
ɑi̯	ˈu	1.0
ɑː	a	1.0
ɑ̃	-	1.0
ɔː	-	0.611
ɔː	ɑ	0.247
ɔː	i	0.142
ɔːu̯	a	1.0
ɔːː	i	0.433
ɔːː	ɑ	0.356
ɔːː	n	0.211
ɔ̃ː	ɑ	0.886
ɔ̃ː	a	0.114
ɛː	i	1.0
ɡ	ɡ	1.0
ɡʷ	ɟ	1.0
ɣ	ɣ	0.358
ɣ	ɡ	0.346
ɣ	ɟ	0.092
ɣ	ɡː	0.092
ɣ	ɟː	0.08
ɸ	f	0.872
ɸ	v	0.095
ˈe	ˈe	0.264
ˈe	ˈɔ	0.178
ˈe	j	0.177
ˈe	ˈɑ	0.081
ˈe	ˈeː	0.08
ˈe	ˈiː	0.05
ˈeu̯	j	0.748
ˈeu̯	ˈoː	0.085
ˈeu̯	ˈyː	0.085
ˈeu̯	ˈu	0.05
ˈeː	ˈeː	1.0
ˈi	ˈi	0.705
ˈi	ˈyː	0.07
ˈi	ˈe	0.062
ˈi	ˈy	0.057
ˈi	ˈɛ	0.052
ˈiu̯	ˈyː	0.966
ˈiː	ˈiː	0.922
ˈiː	ˈeː	0.078
ˈĩː	ˈeː	1.0
ˈu	ˈu	0.495
ˈu	ˈo	0.337
ˈu	ˈy	0.106
ˈuː	ˈuː	0.778
ˈuː	ˈyː	0.098
ˈuː	ˈeː	0.097
ˈɑ	ˈɑ	0.575
ˈɑ	ˈɛ	0.11
ˈɑ	ˈɑː	0.086
ˈɑ	ˈɔ	0.067
ˈɑ	ˈa	0.052
ˈɑi̯	ˈɛi̯	0.661
ˈɑi̯	ˈɑː	0.178
ˈɑi̯	ˈɛː	0.072
ˈɑu̯	ˈɑu̯	0.369
ˈɑu̯	ˈøy̯	0.35
ˈɑu̯	ˈɑː	0.072
ˈɑu̯	-	0.062
ˈɑu̯	ˈɑ	0.057
ˈɑu̯	ˈɒu̯	0.053
ˈɔː	ˈoː	0.448
ˈɔː	ˈøː	0.349
ˈɔː	ˈɔː	0.163
ˈɛː	ˈɑː	0.907
ˈɛː	ˈo	0.069
β	v	0.825
β	f	0.098
β	-	0.077
θ	θ	0.522
θ	ð	0.3
θ	-	0.177
