Eastern Lombard	Franco-Provençal	probability
b	b	1.0
p	p	1.0
w	w	1.0
ø	-	1.0
ŋ	-	1.0
ʋ	v	1.0
d	-	0.101
j	l	0.641
l	-	0.121
r	ð	0.091
r	ʁ	0.791
ɡ	-	0.551
ʤ	ʎ	0.781
ˈa	ˈɑː	0.071
ˈø	ˈoː	0.11
d	ð	0.462
e	ˈɛː	0.2
f	-	0.052
t	-	0.402
z	z	0.192
ɲ	ɲ	0.752
ʤ	-	0.152
ˈa	ˈɑ̃	0.182
ˈe	ˈɛ̃	0.302
ˈi	ˈɛː	0.072
ˈo	ˈu	0.052
ˈu	ˈoː	0.062
ˈy	ˈɔ̃	0.202
ˈø	w_ˈe	0.092
ˈɔ	ˈɔ	0.082
ˈɛ	ˈɛː	0.2
ˈɛ	ˈe	0.272
e	ə	0.433
m	m	0.973
o	o	0.303
o	ɔ	0.463
ˈi	ˈi	0.313
ˈo	ˈø	0.133
ˈo	ˈoː	0.43
ˈu	ˈɔ̃	0.313
ˈø	ˈo	0.23
ˈø	w	0.423
ˈɔ	ˈoː	0.223
ˈɛ	v_ˈe	0.073
j	j	0.194
k	k	0.384
n	-	0.314
o	-	0.234
s	s	0.714
ʧ	s	0.094
ˈe	ˈe	0.084
ˈɛ	ˈɛ̃	0.074
a	ə	0.215
k	e_k	0.055
z	ʒ	0.145
ˈi	ə	0.095
ˈø	ˈu	0.145
d	d	0.406
e	e	0.096
j	ʎ	0.116
k	ʃ	0.526
r	ʁ_o	0.106
z	ð	0.606
ˈa	ˈa	0.426
ˈe	ˈɛː	0.146
ˈi	ˈĩ	0.156
ˈi	ˈe	0.176
ˈu	ˈu	0.096
ˈɛ	ˈɛ	0.286
e	-	0.117
n	n	0.67
z	-	0.057
ʤ	ð	0.067
ʧ	ʎ	0.827
ˈa	ˈaː	0.107
ˈi	-	0.187
ˈo	w	0.137
ˈu	ˈo	0.07
ˈɛ	-	0.057
a	-	0.08
e	o	0.078
f	f	0.948
s	-	0.068
t	t	0.598
ɲ	ˈɛ̃	0.248
ʧ	j	0.058
ˈa	j_ˈe	0.058
ˈe	-	0.058
ˈo	ˈɔ̃	0.218
ˈu	w	0.268
ˈy	ˈu	0.798
ˈɔ	ˈø	0.258
ˈɔ	w	0.318
a	a	0.649
l	l	0.879
s	ʃ	0.149
ɡ	ɡ	0.449
ˈa	ˈe	0.069
ˈe	ˈɛ	0.09
ˈe	ˈi	0.319
ˈu	ˈɔ	0.19
ˈɔ	ˈo	0.119
