Emilian	Latin	probability
ˈʌu̯_r	ˈoː_r	1.0
ˈʌ_ŋ	ˈoː_n	1.0
ˈʌ	ˈʊ	1.0
ˈɛː	ˈɛ	1.0
ˈɔː_v	w	1.0
ˈɔː_l	lʲ_i	1.0
ˈa_j	ˈɪ	1.0
ʤ	ɡ_ɫ	1.0
v_e	b_ɛ	1.0
s	s	1.0
r_e	r	1.0
p_j	p_ɫ	1.0
p	p	1.0
o	-	1.0
n_a	ãː	1.0
n	n	1.0
m	m	1.0
k_ˈɛ	k_ˈa	1.0
k_w	kʷ	1.0
k_r	k_r	1.0
k_a	k_a	1.0
j_ˈa	ɫ_ˈa	1.0
i_n	ĩː	1.0
b	b	1.0
f	f	0.961
r	r	0.911
ˈɔ	ˈɔ	0.869
ð	ɡ	0.841
ˈe	ˈiː	0.833
ˈɔː	ˈɔ	0.79
ˈæ	ˈɛ	0.75
t	t	0.737
ʧ	k_ʊ	0.721
ɡ	k	0.689
v	w	0.649
ˈaː	ˈa	0.646
a	ãː	0.645
ŋ	n	0.626
d	t	0.62
ˈuː	ˈuː	0.608
e	ɛ	0.605
e_r	r	0.583
z	s_i	0.568
ˈo	ˈuː	0.563
i	ɪ	0.554
ˈɛ	ˈaː	0.549
k	k	0.53
l	ɫ	0.524
ˈʌu̯	ˈʊ	0.506
ˈi	ˈɛ̃ː	0.5
ˈi	ˈe	0.5
i	iː	0.446
z	s	0.432
ˈiː	ˈiː_r	0.426
e_r	r_ʊ̃ː	0.417
u	ɔ	0.408
ˈuː	ˈɔ	0.392
ɲ	n	0.387
θ	k	0.372
ɲ	n_i	0.368
l	lʲː	0.352
k	kː	0.308
ˈʌu̯	ˈoː	0.304
ŋ	ŋ	0.281
ʧ	ɫ	0.279
ˈɛ	ˈɛ	0.265
v	p	0.263
d	d	0.263
ˈæ	-	0.25
ɲ	ɡ_n	0.245
ɡ	ɡ	0.244
j	-	0.243
ˈa	ˈa	0.24
ˈaː	ˈaː	0.238
ˈa	ˈɪ	0.235
u	ʊ	0.231
j	ɫ	0.231
ˈa	ˈaː	0.223
ˈiː	ˈeː	0.217
ˈɔː	ˈau̯	0.21
a	a	0.205
j	i	0.193
ˈʌu̯	ˈu	0.19
u	-	0.184
u	oː	0.177
j	lʲ_i	0.174
ˈo	ˈɔ	0.17
ˈɛ	ˈa	0.168
ˈe	-	0.167
k	kʷ	0.162
ð	j	0.159
j	ˈiː	0.159
ˈo	ˈoː	0.155
ˈa	ˈeː	0.155
t	k_t	0.146
ˈiː	ˈɛ	0.139
θ	k_i	0.134
θ	t	0.132
ˈɔ	ˈʊ	0.131
l	lʲ	0.124
t	tː	0.117
ˈaː	-	0.116
ˈo	ˈʊ	0.112
e	ɔ	0.112
e	r	0.112
e	k_ɛ	0.112
θ	t_ɪ	0.091
θ	t_i	0.091
θ	k_ɪ	0.09
ˈiː	ˈɪ	0.09
ˈiː	ˈiː	0.09
θ	kʷ	0.089
a	aː	0.089
v	-	0.088
ˈa	ˈɛ	0.076
ɡ	ɡʷ	0.067
d	-	0.06
e	e	0.059
d	tʰ	0.057
r	ɛ_r	0.055
ŋ	m	0.053
