Campidanese	Aragonese	probability
d	d	1.0
f	f	1.0
nː	ɲ	1.0
p	p	1.0
s	s	1.0
v	-	1.0
ŋ	ŋ	1.0
ʃː	ʃ	1.0
ʣ	ʎ	1.0
ʦ	θ	1.0
β	β	1.0
j	ˈe	0.11
j	ʎ	0.661
l	l	0.991
r	l	0.151
r	ɾ	0.751
sː	s	0.31
ð	ð	0.901
ɣ	-	0.11
ˈa	ˈa	0.941
e	e	0.712
i	ˈi	0.082
n	-	0.172
rː	ɾ_n	0.2
w	-	0.232
ɡ	ɡ	0.932
ɣ	k	0.102
ˈe	j_ˈe	0.502
ˈi	e	0.052
ˈu	ˈu	0.722
b	ʧ	0.073
i	e_n	0.053
k	k	0.873
o	o	0.853
rː	r	0.423
t	-	0.053
ˈi	ˈi	0.483
ˈo	w_ˈe	0.553
b	b	0.914
e	i	0.064
e	ˈe	0.224
j	j	0.184
u	o	0.844
ɖː	l	0.404
ʤ	ʧ	0.604
ʧ	θ	0.94
ˈu	ˈe	0.054
ˈu	ˈo	0.224
m	m_b	0.085
m	m	0.915
z	ʝ	0.135
z	s	0.865
ˈi	ˈe	0.435
a	a	0.936
r	-	0.066
u	-	0.116
ɖː	ʎ	0.596
ʤ	-	0.396
ʧ	-	0.06
ˈo	o	0.066
i	-	0.187
i	e	0.597
o	-	0.147
rː	ɾ	0.377
ˈo	ˈo	0.327
i	a	0.068
k	-	0.08
n	n	0.788
t	t	0.718
w	w	0.768
ɡ	ɣ	0.068
ɣ	ɣ	0.788
ˈe	ˈe	0.458
sː	-	0.69
t	j	0.219
ð	-	0.099
