Swabian	Standard German	probability
ˈɪ	ˈɪ	1.0
ˈəi̯_d	ˈaɪ̯_t	1.0
ˈɔː	ˈaː	1.0
ˈɔə̯	ˈuː	1.0
ˈɔe̯	ˈaɪ̯	1.0
ˈɔ	ˈɔ	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈuː	1.0
ˈoː	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈeə̯	n	1.0
ˈao̯	ˈaʊ̯	1.0
ʦ	ʦ	1.0
ʕ	ɐ	1.0
ʌ	ɐ	1.0
ʋ	v	1.0
ʃ_d	s_t	1.0
ʃ	ʃ	1.0
ʁ	ʁ	1.0
ɪ	ɪ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
x	x	1.0
t	t	1.0
s_ʌ	s_ɐ	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
eə̯	eː	1.0
e	ə	1.0
d_a	d_n	1.0
b̥͡f	p͡f	1.0
n	n	0.949
b	b	0.934
ˈa	ˈa	0.922
m	m	0.922
ˈe	ˈɪ	0.897
ˈɛ	ˈɛ	0.805
ˈaː	ˈaː	0.8
a	n	0.755
ˈi	ˈɪ	0.722
ˈəi̯	ˈaɪ̯	0.68
ˈu	ˈʊ	0.625
ɡ	ɡ	0.612
ˈiə̯	ˈiː	0.571
ˈo	ˈɔ	0.559
ˈeː	ˈeː	0.509
ˈɛː	ˈeː	0.504
ˈɛː	ˈɛː	0.496
ˈae̯	ˈɔʏ̯	0.493
ˈeː	ˈøː	0.491
s	z	0.48
ˈo	ˈʊ	0.441
ˈiə̯	ˈyː	0.429
s	s	0.384
d	t	0.377
ˈu	ˈʏ	0.375
ˈae̯	ˈaɪ̯	0.322
ˈəi̯	ˈɔʏ̯	0.32
d	d	0.236
a	ə_n	0.234
d	tʰ	0.227
ɡ	k	0.213
ˈaː	ˈa_n	0.2
ˈɛ	-	0.195
ˈae̯	-	0.186
ˈi	ˈiː	0.167
d	d̥	0.16
s	z̥	0.136
ˈi	ˈyː	0.111
ˈe	ˈœ	0.103
ɡ	ç	0.097
ˈa	ˈaː	0.078
ɡ	ɡ̊	0.078
m	-	0.078
b	p	0.066
n	n_ə	0.051
