Venetian	Campidanese	probability
f	f	1.0
m	m	1.0
p	p	1.0
u	a	1.0
w	w	1.0
a	e	0.111
r	r	0.631
ɲ	n_ʤ	0.171
ˈɔ	ˈo	0.921
j	r	0.702
t	t	0.942
v	b	0.532
ŋ	-	0.102
ɡ	ɣ	0.32
ɡ	-	0.372
ˈi	ˈe	0.082
i	-	0.193
i	i	0.583
l	l_i	0.173
n	n	0.953
s	-	0.053
v	-	0.243
ɰ	l	0.893
ʧ	ʧ	0.093
ˈe	l_ˈi	0.133
ˈe	ˈe	0.633
ˈi	ˈi	0.683
ˈo	ˈo	0.713
ˈu	ˈu	0.873
ˈɛ	ˈe	0.783
b	-	0.14
k	-	0.084
l	-	0.334
o	-	0.064
s	ʃː	0.154
z	ʤ	0.094
z	b	0.364
ɰ	ɖː	0.064
d	-	0.125
e	a	0.065
e	e	0.245
e	i	0.515
i	o_z	0.225
l	r	0.175
o	o	0.075
s	sː	0.075
z	z	0.165
ŋ	n_u	0.185
ʤ	ɡ	0.465
ʤ	ʣ	0.535
b	b	0.86
v	p	0.076
ŋ	ŋ	0.196
ŋ	n	0.316
ˈa	ˈa	0.96
d	ð	0.297
e	-	0.067
r	-	0.137
r	r_i	0.167
s	s	0.537
z	ʒ	0.377
ŋ	n_i	0.17
ʧ	j	0.907
ˈe	ˈi	0.227
ˈi	ˈi_ʣ	0.057
ˈo	ˈu	0.287
ˈu	ˈo	0.127
ˈɛ	ˈe_ɖː	0.217
d	d	0.578
j	-	0.298
k	k	0.88
l	l	0.318
o	u	0.768
t	ð	0.058
ˈi	i	0.178
a	a	0.789
s	ʧ	0.139
v	β	0.149
ɡ	ɡ	0.309
ɲ	nː	0.829
