Neapolitan	Bellunese	probability
a	a	1.0
d	d	1.0
f	f	1.0
kː	k	1.0
l	l	1.0
lː	-	1.0
m	m	1.0
mː	m	1.0
nː	n	1.0
o	o	1.0
r	r	1.0
rː	r	1.0
sː	l	1.0
tː	t	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʎː	j	1.0
ʤ	ð	1.0
ʦ	θ	1.0
ˈo	ˈo	1.0
i	ˈi	0.181
j	-	0.131
ə	e	0.111
ʃ	z	0.31
k	p	0.132
u	o	0.742
w	-	0.342
ʃ	θ	0.422
ˈi	ˈi	0.492
i	i	0.213
n	n	0.803
ə	-	0.193
ɲː	ŋ	0.53
ʃ	s	0.223
ˈe	ˈɛ	0.253
k	ɡ	0.224
k	k	0.644
t	d	0.364
v	v	0.844
ʃː	s	0.614
ˈa	ˈa_r	0.144
p	v	0.205
t	-	0.085
t	t	0.55
ə	o	0.265
ɾ	-	0.315
ɾ	r	0.685
ˈɔ	ˈɔ	0.405
ˈɔ	ˈo	0.595
p	p	0.706
s	s	0.956
v	b	0.156
ʃː	θ	0.386
ˈa	ˈa	0.826
ˈi	ˈe	0.496
ˈɛ	ˈe	0.746
i	-	0.107
ɲː	ɲ	0.47
ˈe	ˈe	0.747
ˈu	ˈu	0.587
ˈɛ	ˈɛ	0.237
w	w	0.658
ˈu	ˈo	0.368
i	e	0.499
j	j	0.869
n	ŋ	0.169
u	-	0.069
u	u	0.189
ə	a	0.39
