Icelandic	English	probability
a	-	0.498
a	ə	0.427
a	əʊ̯	0.075
aːu̯	ˈiː	1.0
b̥	b	0.947
c	-	0.465
c	k	0.41
c	ʧ	0.125
cʰ	ʧ	0.589
cʰ	kʰ	0.411
d̥	d	0.987
f	f	0.985
h	h	1.0
i	ɪ	1.0
j	-	0.478
j	ˈiː	0.273
j	ˈaɪ̯	0.17
k	k	0.665
k	-	0.218
k	ʧ	0.117
kʰ	kʰ	1.0
l	l	0.737
l	ɫ	0.236
l̥	ɫ	0.756
l̥	l	0.186
l̥	-	0.058
m	m	0.924
n	n	0.945
n	-	0.055
nː	n	0.525
nː	θ	0.294
nː	ð	0.181
n̥	n	0.887
n̥	-	0.113
p	p	0.767
p	m	0.198
r	ɹ	0.598
r	-	0.323
rː̥	ˈaɪ̯	1.0
r̥	-	0.952
s	s	0.748
s	ʃ	0.216
sː	s	1.0
t	t	0.832
t	-	0.168
tʰ	tʰ	0.965
u	ˈuː	0.357
u	ɪ	0.321
u	ˈe	0.321
v	w	0.508
v	v	0.267
v	-	0.146
v	f	0.053
ç	h	1.0
ð	d	0.585
ð	ð	0.188
ð	θ	0.112
ð	-	0.081
ŋ	ŋ	0.8
ŋ	-	0.144
ŋ	n	0.056
ɑu̯	ɪ	1.0
ɛ	ˈe	1.0
ɛː	ɪ	1.0
ɟ̊	ɡ	0.64
ɟ̊	-	0.36
ɟ̊ː	-	0.5
ɟ̊ː	ʤ	0.5
ɡ̊	-	0.559
ɡ̊	ɡ	0.316
ɡ̊	j	0.067
ɡ̊	f	0.058
ɡ̊ː	ʤ	0.586
ɡ̊ː	-	0.291
ɡ̊ː	ɡ	0.124
ɣ	-	0.977
ɪ	ə	0.73
ɪ	-	0.252
ɲ	ŋ	1.0
ʏ	-	0.903
ʏ	ə	0.097
ʰc	ʧ	1.0
ʰk	ŋ_k	0.56
ʰk	k	0.44
ʰp	p	1.0
ʰt	t	0.986
ˈa	ˈɑː	0.329
ˈa	ˈæ	0.321
ˈa	ˈɔː	0.18
ˈa	ˈɐ	0.076
ˈai̯	ˈe	0.383
ˈai̯	w	0.323
ˈai̯	ˈiː	0.294
ˈau̯	ˈɛ	0.47
ˈau̯	ˈəʊ̯	0.252
ˈau̯	ˈe	0.173
ˈau̯	ˈɑː	0.105
ˈaː	ˈeɪ̯	0.383
ˈaː	ˈɑː	0.221
ˈaː	ˈæ	0.158
ˈaː	ˈiː	0.073
ˈaː	j	0.071
ˈaː	ˈɒ	0.054
ˈaːi̯	ˈiː	0.495
ˈaːi̯	ˈɑː	0.296
ˈaːi̯	ˈe	0.167
ˈaːu̯	ˈɐ	0.4
ˈaːu̯	ˈeɪ̯	0.346
ˈaːu̯	ˈəʊ̯	0.254
ˈeːi̯	ˈiː	0.549
ˈeːi̯	ˈəʊ̯	0.451
ˈi	ˈɪ	0.912
ˈi	ˈəʊ̯	0.088
ˈiː	ˈaɪ̯	0.46
ˈiː	ˈɪ	0.199
ˈiː	ˈaʊ̯	0.124
ˈiː	ˈiː	0.092
ˈiː	j	0.082
ˈou̯	ˈɪ	0.428
ˈou̯	ˈəʊ̯	0.366
ˈou̯	ˈe	0.206
ˈoːu̯	-	0.69
ˈoːu̯	ˈuː	0.152
ˈoːu̯	ˈɐ	0.094
ˈoːu̯	ˈʊ	0.064
ˈu	ˈɐ	0.81
ˈu	w	0.082
ˈu	ˈʊ	0.073
ˈuː	ˈaʊ̯	0.364
ˈuː	-	0.268
ˈuː	ˈɪ	0.128
ˈuː	ˈɐ	0.123
ˈuː	ˈaɪ̯	0.066
ˈuː	ˈɒ	0.051
ˈœ	ˈuː	0.27
ˈœ	ˈæ	0.242
ˈœ	ˈɛ	0.239
ˈœ	ˈɜː	0.13
ˈœ	ˈeɪ̯	0.06
ˈœ	ˈiː	0.058
ˈœː	ˈuː	0.655
ˈœː	ˈe	0.345
ˈœːy̯	ˈe	0.561
ˈœːy̯	ˈiː	0.381
ˈœːy̯	ˈaɪ̯	0.058
ˈɑu̯	ˈɒ	0.387
ˈɑu̯	ˈeɪ̯	0.269
ˈɑu̯	ˈɑː	0.217
ˈɑu̯	ˈaɪ̯	0.126
ˈɑːu̯	ˈiː	0.291
ˈɑːu̯	ˈaɪ̯	0.227
ˈɑːu̯	ˈɪ	0.227
ˈɑːu̯	ˈuː	0.177
ˈɑːu̯	ˈəʊ̯	0.051
ˈɔ	ˈɔː	0.438
ˈɔ	ˈɜː	0.354
ˈɔ	w	0.104
ˈɔ	ˈɐ	0.083
ˈɔu̯	ˈɔː	0.434
ˈɔu̯	ˈaɪ̯	0.243
ˈɔu̯	ˈɪ	0.24
ˈɔu̯	ˈuː	0.083
ˈɔː	ˈɐ	0.883
ˈɔː	ˈiː	0.117
ˈɛ	ˈe	0.354
ˈɛ	-	0.196
ˈɛ	ˈɔː	0.183
ˈɛ	ˈæ	0.097
ˈɛ	ˈɪ	0.054
ˈɛi̯	ˈəʊ̯	0.778
ˈɛi̯	ˈɐ	0.222
ˈɛː	-	0.35
ˈɛː	ˈɪ	0.223
ˈɛː	ˈe	0.164
ˈɛː	ˈɛ	0.092
ˈɛː	ˈeɪ̯	0.082
ˈɛːi̯	ˈəʊ̯	0.423
ˈɛːi̯	ˈɪ	0.338
ˈɛːi̯	ˈeɪ̯	0.095
ˈɛːi̯	ˈiː	0.082
ˈɛːi̯	ˈɒ	0.062
ˈɪ	ˈaɪ̯	0.395
ˈɪ	ˈɪ	0.341
ˈɪ	ˈɜː	0.123
ˈɪ	-	0.075
ˈɪː	ˈɪ	0.412
ˈɪː	ˈɔː	0.263
ˈɪː	ˈiː	0.185
ˈɪː	ˈe	0.14
ˈʏ	ˈɐ	0.317
ˈʏ	ˈaʊ̯	0.312
ˈʏ	ˈɪ	0.141
ˈʏ	ɹ	0.105
ˈʏ	ˈʊ	0.072
ˈʏː	ˈɐ	0.541
ˈʏː	ˈaɪ̯	0.263
ˈʏː	ˈɒ	0.119
ˈʏː	ˈe	0.077
θ	θ	0.863
θ	d	0.118
