Latin	Latin	probability
ˈɪ	ˈi	1.0
ˈɛ̃ː	ˈi_ɛ	1.0
ˈɔ_r	ˈɔ_ɾ	1.0
ˈyː	ˈi	1.0
ˈuː	ˈu	1.0
ˈu	ˈu	1.0
ˈoː_r	ˈɔ_ɾ	1.0
ˈoe̯	ˈɛ	1.0
ˈo	-	1.0
ˈĩː	ˈi	1.0
ˈiː	ˈi	1.0
ˈi	ˈi	1.0
ˈe	ˈɛ	1.0
ˈaː_t	ˈa_ð	1.0
ˈau̯	-	1.0
ˈae̯	ˈe	1.0
ˈa	ˈa	1.0
ʊ̃ː	u	1.0
ʊ_ɫ	j	1.0
ɫ_s	ɾ_ʦ	1.0
ɪ̃	i	1.0
ɡ_ˈʊ	b_ˈu	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃	ɛ	1.0
ɛ_r	ɾ	1.0
ŋ_ɡʷ	m_b	1.0
ŋ_k	n	1.0
ŋ	ŋ	1.0
w_ʊ̃ː	u	1.0
w_ɛ̃ː	ɛ	1.0
uː	u	1.0
u	-	1.0
tː	t	1.0
tʰ	ð	1.0
t_ˈaː	ð_ˈa	1.0
t_i	ʦ	1.0
t_ãː	ð_a	1.0
sː_ʊ̃ː	u	1.0
sː	s	1.0
s_t	s_t	1.0
rː	r	1.0
r_ʊ̃ː	ɾ_u	1.0
r_n	r	1.0
r_k	ɾ_k	1.0
r_ãː	ɾ_a	1.0
p_ɫ	p_ɾ	1.0
p_s	s	1.0
o	-	1.0
nː	nː	1.0
n_i	ɲ	1.0
mː	m	1.0
m	m	1.0
lʲ_i	ʣ	1.0
lʲ	l	1.0
kː	k	1.0
kʰ	k	1.0
k_ʊ̃ː	ɣ_u	1.0
k_t	t	1.0
k_r	ɡ_ɾ	1.0
k_a	k_a	1.0
j	ʣ	1.0
ĩː	i	1.0
i_ˈaː	j_ˈa	1.0
fː	f	1.0
f_ɫ	f_ɾ	1.0
f	f	1.0
e	-	1.0
d_ʊ̃ː	u	1.0
d_ɪ	i	1.0
d_ɛ	ɛ	1.0
bː	b	1.0
b_ˈɔ	b_ˈɔ	1.0
b_ɛ	ɛ	1.0
ae̯	-	1.0
a_ɫ	a_l	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
<#_au̯	<#_a	1.0
<#_a	<#_a	1.0
<#	<#_i	1.0
ãː	a	0.968
ɛ̃ː	ɛ	0.959
ˈaː	ˈa	0.923
n	n	0.919
ˈʊ	ˈu	0.895
r	ɾ	0.879
oː	ɔ	0.833
ɛ	ɛ	0.828
aː	a	0.818
ʊ	u	0.812
p	p	0.786
b	b	0.762
ˈoː	ˈɔ	0.737
ˈeː	ˈɛ	0.722
w	b	0.72
ɫ	l	0.692
lʲː	ɖː	0.692
ˈɔ	ˈo	0.68
ˈiː_r	ˈi_ɾ	0.667
s	s	0.621
iː	i	0.6
t	t	0.588
ɪ	i	0.579
kʷ	-	0.571
s_#>	z_ŭ_#>	0.556
i	-	0.556
ˈɛ	ˈɛ	0.513
eː	i	0.5
eː	e	0.5
d_i	ʣ	0.5
d_i	z	0.5
ˈɛ	ˈe	0.487
k	ɣ	0.486
d	-	0.455
s_#>	z_ɔ̆_#>	0.444
i	j	0.444
#>	ɛ_#>	0.444
kʷ	k	0.429
ɔ	ɔ	0.417
iː	-	0.4
d	d	0.364
ˈiː_r	ɾ	0.333
ɡ	b	0.333
ɔ	-	0.333
#>	z_ɔ̆_#>	0.333
k	k	0.324
ˈɔ	ˈɔ	0.32
s	z	0.31
ɡ	ɡ	0.286
w	-	0.28
t	ð	0.265
ˈoː	ˈo	0.263
ɔ	o	0.25
b	-	0.238
ɫ	ɾ	0.231
#>	ɔ_#>	0.222
ɪ	-	0.211
ɡ	ɣ	0.19
ɡ	-	0.19
k	-	0.189
ʊ	-	0.188
d	i	0.182
aː	-	0.182
ˈeː	ˈe	0.167
oː	-	0.167
lʲː	l	0.154
lʲː	-	0.154
p	β	0.119
ˈeː	-	0.111
ɛ	e	0.109
ˈʊ	-	0.105
ɪ	ˈi	0.105
ɪ	ɛ	0.105
p	-	0.095
t	ʦ	0.088
n	nː	0.081
ˈaː	-	0.077
ɫ	j	0.077
s	j	0.069
ɛ	-	0.062
r	ɛ_ɾ	0.061
t	-	0.059
