Standard Mandarin	Standard Mandarin	probability
ʨʰ_ɥ	ʧʰ	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ̩	iː	1.0
ʐ	j	1.0
ʊ	ʊ	1.0
ʂ	s	1.0
ɻ	iː	1.0
ɕ_ɥ	ʃ	1.0
ɕ	s	1.0
ɔ	-	1.0
ŋ	ŋ	1.0
z̩	iː	1.0
x_w	w	1.0
x	h	1.0
w_a	yː	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o	ɐ	1.0
m	m	1.0
l	l	1.0
kʰ	h	1.0
k	k	1.0
j_ɛ	iː	1.0
j_ɑ	iː	1.0
f	f	1.0
e	e	1.0
<#_ɥ	<#_j	1.0
<#_w	<#_m	1.0
<#_a	<#_ɔː	1.0
³⁵	²¹	0.952
⁵⁵	⁵⁵	0.944
n	n	0.85
w	w	0.783
ə	ɐ	0.714
ʈ͡ʂ	ʦ	0.667
ɛ	yː	0.667
a	aː	0.621
ʈ͡ʂʰ	ʦʰ	0.571
j	j	0.571
²¹⁴	³⁵	0.548
⁵¹	²²	0.5
ɑ	ɔː	0.5
<#	<#_m	0.5
<#	<#_j	0.5
ʈ͡ʂʰ	ʧʰ	0.429
y	ɵ	0.429
ʨʰ	h	0.375
ɤ	ɛː	0.375
ɤ	j	0.375
²¹⁴	¹³	0.355
⁵¹	³³	0.333
ʈ͡ʂ	ʧ	0.333
ɛ	yː_t̚	0.333
ə	-	0.286
y	w_ɐ	0.286
y	j_yː	0.286
j	-	0.286
i	ɐ	0.286
i	e_j	0.286
a	ɔː	0.276
ʨʰ	ʦʰ	0.25
ʨʰ	-	0.25
ɤ	-	0.25
ɑ	œː	0.25
ɑ	o	0.25
u	ʊ_k̚	0.25
u	o_w	0.25
u	-	0.25
w	-	0.217
i	ɪ	0.214
i	ɐ_j	0.214
⁵¹	²	0.167
u	ɐ_t̚	0.167
n	m	0.15
j	k̚	0.143
ʨʰ	kʷʰ	0.125
a	-	0.103
²¹⁴	³	0.097
u	ŋ̍	0.083
⁵⁵	t̚_³	0.056
