Bokmål Norwegian	Old English	probability
b	b	1.0
d	d	0.764
d	t	0.106
d	-	0.078
e	e	1.0
f	f	0.94
h	h	1.0
i	iː	0.679
i	i	0.321
j	h	0.215
j	j	0.215
j	ˈeo̯	0.137
j	ɡ	0.124
j	-	0.087
j	ɣ	0.082
j	x	0.059
k	k	0.579
k	ʧ	0.291
k	-	0.07
kʰ	k	0.852
kʰ	ʧ	0.148
kː	ŋ_k	0.434
kː	kː	0.376
kː	ʧː	0.19
l	l	0.794
l	ɫ	0.182
lː	ɫ	0.673
lː	lː	0.126
lː	l	0.092
lː	k	0.055
lː	r	0.054
m	m	0.967
mː	m	0.689
mː	mː	0.311
n	n	0.929
nː	n	0.728
nː	nː	0.168
nː	θ	0.06
p	p	0.724
p	pː	0.276
pʰ	p	1.0
pː	pː	1.0
s	s	0.886
sː	s	1.0
t	t	1.0
tʰ	θ	0.639
tʰ	t	0.291
tː	ç	0.411
tː	x	0.285
tː	t	0.251
tː	tː	0.053
ŋ	j	0.432
ŋ	i	0.357
ŋ	n	0.211
ŋː	ŋ	1.0
ɕ	ʧ	0.826
ɕ	θ	0.161
ə	ɑ	0.406
ə	e	0.212
ə	-	0.135
ə	o	0.093
ɡ	ɡ	0.519
ɡ	ɣ	0.216
ɡ	j	0.17
ɡ	-	0.059
ɡː	ʤ	0.741
ɡː	j	0.259
ɪ	i	0.679
ɪ	e	0.321
ɳ	r	0.9
ɳ	-	0.1
ɾ	r	0.882
ʂ	s	0.545
ʂ	m	0.455
ʃ	ʃ	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	w	0.566
ʋ	v	0.196
ʋ	f	0.141
ʋ	ʍ	0.074
ˈeː	ˈeːo̯	0.224
ˈeː	ˈi	0.186
ˈeː	j	0.163
ˈeː	ˈɑː	0.161
ˈeː	ˈe	0.119
ˈeː	ˈiː	0.052
ˈiː	ˈiː	0.436
ˈiː	ˈi	0.161
ˈiː	ˈeːo̯	0.138
ˈiː	ˈiy̯	0.13
ˈiː	ˈeː	0.066
ˈoː	ˈæː	0.253
ˈoː	ˈoː	0.25
ˈoː	ˈɑː	0.225
ˈoː	ˈæːɑ̯	0.212
ˈoː	ˈo	0.06
ˈuː	ˈoː	0.509
ˈuː	ˈo	0.253
ˈuː	-	0.152
ˈyː	ˈeːo̯	0.648
ˈyː	ˈiːy̯	0.26
ˈyː	ˈæː	0.055
ˈæ	ˈi	0.703
ˈæ	ˈeo̯	0.297
ˈæɪ̯	ˈɑː	0.635
ˈæɪ̯	ˈe_j	0.206
ˈæɪ̯	ˈeː	0.139
ˈæː	ˈeː	0.419
ˈæː	ˈe	0.228
ˈæː	e	0.197
ˈæː	rː	0.155
ˈøː	ˈæːɑ̯	0.591
ˈøː	ˈe	0.155
ˈøː	ˈeː	0.151
ˈøː	ˈɑː	0.052
ˈœ	ˈu	0.194
ˈœ	ˈæːɑ̯	0.194
ˈœ	ˈeː	0.146
ˈœ	ˈi	0.12
ˈœ	ˈiːy̯	0.12
ˈœ	ˈy	0.085
ˈœʏ̯	ˈeː	1.0
ˈɑ	ˈɑ	0.491
ˈɑ	ˈæɑ̯	0.288
ˈɑ	ˈæ	0.094
ˈɑ	ˈoː	0.083
ˈɑː	ˈæ	0.411
ˈɑː	ˈæɑ̯	0.313
ˈɑː	ˈɑ	0.275
ˈɔ	ˈo	0.487
ˈɔ	ˈu	0.238
ˈɔ	ˈæɑ̯	0.134
ˈɔ	ˈiy̯	0.058
ˈɛ	ˈɑː	0.218
ˈɛ	ˈe	0.142
ˈɛ	ˈeo̯	0.116
ˈɛ	ˈeːo̯	0.106
ˈɛ	ˈɛ	0.088
ˈɛ	ˈæ	0.079
ˈɛ	ˈi	0.068
ˈɛ	ˈiy̯	0.054
ˈɛː	ˈeo̯	1.0
ˈɪ	ˈi	0.876
ˈɪ	ˈe	0.067
ˈʉ	ˈu	0.589
ˈʉ	w_ˈu	0.191
ˈʉ	ˈuː	0.171
ˈʉː	ˈuː	0.494
ˈʉː	ˈeːo̯	0.167
ˈʉː	ˈyː	0.116
ˈʉː	ˈeo̯	0.088
ˈʊ	ˈy	0.6
ˈʊ	ˈu	0.4
ˈʏ	ˈy	0.522
ˈʏ	ˈi	0.297
ˈʏ	ˈeːo̯	0.181
