Limburgish	English	probability
b	b	0.952
b	v	0.051
d	d	0.558
d	θ	0.35
d	ð	0.085
f	f	0.67
f	v	0.302
j	-	0.444
j	ɫ	0.208
j	j	0.131
j	ð	0.131
j	t	0.075
k	ʧ	0.246
k	k	0.232
k	-	0.229
k	kʰ	0.197
k	ʤ	0.083
k_ə	k	0.489
l	l	0.623
l	ɫ	0.302
l_ə	ɫ	1.0
m	m	0.987
m_ə	m	1.0
n	n	0.854
n	-	0.121
n_t	θ	1.0
p	p	0.909
p	pʰ	0.085
s	s	0.625
s	ʃ	0.186
s	s_t	0.085
s	z	0.064
t	t	0.427
t	d	0.427
t	tʰ	0.113
t_ə	t	1.0
v	f	0.879
v	v	0.117
v_ə	v	0.489
w	ɫ	0.489
x	-	0.575
x	t	0.333
x	f	0.083
z	s	0.948
z	z	0.055
ŋ	ŋ	0.938
ŋ	-	0.06
ə	-	0.83
ə	əʊ̯	0.053
ə_k	k	1.0
ə_l	ɫ	1.0
ə_m	m	1.0
ə_x	ɪ	1.0
ə_ʀ	ə	1.0
ɡ	-	0.489
ɣ	ɡ	0.624
ɣ	-	0.262
ɣ	j	0.092
ɦ	h	1.0
ɪ	-	0.371
ɪ	ɪ	0.181
ɪː	ˈɪ	1.0
ʀ	ɹ	0.472
ʀ	ə	0.251
ʀ	-	0.201
ʀ	n	0.053
ʀ_t	t	0.489
ʀ_ə	ə	0.239
ʃ	ʃ	1.0
ˈaː	ˈeɪ̯	0.3
ˈaː	ˈɑː	0.256
ˈaː	ˈɒ	0.125
ˈaː	ˈæ	0.118
ˈaː	ˈɔː	0.06
ˈaː	ˈuː	0.059
ˈaː	ˈəʊ̯	0.058
ˈeː	ˈɪ	0.236
ˈeː	ˈiː	0.21
ˈeː	ˈe	0.138
ˈeː	ˈaɪ̯	0.13
ˈeː	ˈeɪ̯	0.108
ˈeː	ˈe_ð	0.08
ˈeː	-	0.054
ˈeː_ɣ	ˈaɪ̯	1.0
ˈeː_ʀ	ˈɔː	1.0
ˈi	ˈiː	0.499
ˈi	ˈaɪ̯	0.245
ˈi	ˈəʊ̯	0.158
ˈi	ˈe	0.069
ˈiː	ˈaɪ̯	0.66
ˈiː	ˈɪ	0.247
ˈiː	ˈiː	0.085
ˈoː	ˈɐ	0.451
ˈoː	ˈʊ	0.22
ˈoː	ˈaʊ̯	0.216
ˈu	ˈe	0.514
ˈu	ˈaɪ̯	0.136
