Middle High German	Swiss German	probability
ˈøː	ˈøː	1.0
ˈøy̯	ˈøi̯	1.0
ˈæː	ˈæː	1.0
ˈyə̯	ˈyə̯	1.0
ˈuː	ˈuː	1.0
ˈu	ˈu	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈau̯	1.0
ˈeː	ˈeː	1.0
ˈei̯_n	ˈæi̯	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʃː	ʃː	1.0
ɡ̊	ɡ̊	1.0
ɛ	æ	1.0
ə_n	ə	1.0
ə_l	l	1.0
ɑ	ˈoː	1.0
ŋ	ŋ	1.0
xː	χː	1.0
v	v̥	1.0
tː	tː	1.0
s̻ː	sː	1.0
s̻_ə	sː	1.0
s_ə	s	1.0
r_ə	r	1.0
r_n	r_n	1.0
r	r	1.0
p͡f	p͡f	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈau̯	1.0
nː	n	1.0
n_ə	n	1.0
n_d̥	ŋ	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː_ə	k͡χ	1.0
kː	ɡ̊ː	1.0
kʰ	ɣ̊	1.0
j	j	1.0
i	i	1.0
fː	fː	1.0
d	d̥	1.0
b̥	b̥	1.0
t	t	0.941
b	b̥	0.939
ʃ	ʒ̊	0.937
ˈi	ˈi	0.906
ɡ	ɡ̊	0.9
ˈiː	ˈiː	0.874
ˈuə̯	ˈuə̯	0.855
w	ʋ	0.845
d̥	d̥	0.835
ˈo	ˈo	0.819
x	χ	0.81
f	f	0.784
h	h	0.767
s	z̥	0.727
ˈyː	ˈyː	0.725
ˈei̯	ˈæi̯	0.687
s̻	z̥	0.682
ˈɛ	ˈæ	0.672
ˈɑ	ˈɒ	0.668
ə	ə	0.661
ˈiə̯	ˈiə̯	0.613
ˈɑː	ˈɒː	0.571
k	ɣ̊	0.555
ˈy	ˈy	0.553
ˈe	ˈæ	0.489
k	k͡χ	0.445
ˈɑː	ˈoː	0.429
ˈiə̯	ˈyː	0.387
ə	-	0.339
ˈe	-	0.326
ˈy	-	0.324
s̻	sː	0.318
ˈei̯	ˈe	0.313
ˈyː	ˈy	0.275
ˈɑ	ˈɒː	0.233
h	-	0.233
f	fː	0.216
x	-	0.19
ˈe	ˈe	0.186
ˈɛ	ˈæː	0.165
d̥	-	0.165
ˈɛ	-	0.163
s	ʃ	0.157
ˈuə̯	ˈyə̯	0.145
ˈiː	-	0.126
ˈy	ˈu	0.123
ˈo	ˈoː	0.109
ɡ	-	0.1
ˈɑ	ˈæ	0.098
ˈi	ˈy	0.094
w	-	0.08
w	ʋ_ˈø	0.074
ˈo	ˈu	0.073
s	s	0.064
ʃ	ʃ	0.063
b	-	0.061
s	-	0.052
