Eastphalian	Eastphalian	probability
ˈʏ	ˈʏ	1.0
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛə̯	ˈa	1.0
ˈɔʏ̯	ˈɔʏ̯	1.0
ˈøː	ˈɔʏ̯	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈeo̯	ˈaʊ̯	1.0
ˈaː	ˈaː	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯	ˈae̯	1.0
ˈa_ɐ	ˈaː	1.0
ˈa	ˈa	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɣ̊	ɣ̊	1.0
ɣ_ə	ç	1.0
ɡ	-	1.0
ɒː	ae̯	1.0
ŋ	ŋ	1.0
ç	ç	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
x	x	1.0
w	w	1.0
v̥	v̥	1.0
v_n	m	1.0
v	v	1.0
t_n	t_n	1.0
r_ə	æ	1.0
r	r	1.0
p	p	1.0
n_ɐ	n_æ	1.0
n_n	n_n	1.0
m_n	m	1.0
m	m	1.0
l	l	1.0
h	h	1.0
b	b	1.0
<#_t	<#_tʰ	1.0
n	n	0.957
ə	-	0.95
d̥	d̥	0.926
t	t	0.919
d	d	0.903
ɣ	ɡ	0.9
ˈɛɪ̯	ˈae̯	0.885
ˈɒː	ˈɒː	0.867
f	f	0.839
ˈɛ	ˈɛ	0.769
ˈɔ	ˈɔ	0.769
ɐ	æ	0.765
s	ʃ	0.667
ˈœ	-	0.6
k	k	0.576
ˈɛː	ˈɛː	0.5
ˈɛː	-	0.5
j	j	0.5
ˈeː	ˈɛː	0.444
k	kʰ	0.424
ˈœ	ˈœ	0.4
ˈoː	ˈœː	0.333
ˈeː	-	0.333
s	s	0.333
j	ɡ	0.25
j	-	0.25
ˈɛ	-	0.231
ˈɔ	-	0.231
ˈoː	ˈɒː	0.222
ˈoː	ˈuː	0.222
ˈoː	-	0.222
ˈeː	ˈiː	0.222
f	v̥	0.161
ˈɒː	ˈoː	0.133
ɐ	ɾ_æ	0.118
ɣ	ɣ	0.1
d	ɾ	0.097
t	-	0.081
ˈɛɪ̯	-	0.077
d̥	-	0.074
ɐ	ˈoː_æ	0.059
ɐ	-	0.059
