Czech	Czech	probability
ʧ	ʧ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʃ	-	1.0
ɟ	d	1.0
ɛː	æ	1.0
z̥	ˈ_z	1.0
z	z	1.0
x_#>	ɡ_ʊ_#>	1.0
x	x	1.0
v_ɛ	v_ɛ	1.0
v	v	1.0
t_iː	t_ʊ	1.0
t_a	t_ɑ	1.0
t	t	1.0
s_ɛ	s_ʊ	1.0
r̩	r_ɪ	1.0
r̝̊	r	1.0
r̝_ɛ	r_æ	1.0
r_iː	r_ʊ	1.0
p	p	1.0
o_#>	ɔ_#>	1.0
o	ɔ	1.0
n	n	1.0
m̩	m_ɪ	1.0
m	m	1.0
l̩	l_ɪ	1.0
l_#>	l_ʊ_#>	1.0
l	l	1.0
j	j	1.0
f	-	1.0
d̥	d_ʊ	1.0
d_l	l	1.0
d	d	1.0
c	t	1.0
b̥	b	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
s	s	0.943
a	ɑ	0.921
ɦ	ɡ	0.889
k	k	0.889
r̝	r	0.8
uː	ɔ_ˈ	0.75
aː	ɑ	0.75
ʦ	ʦ	0.714
j_ɛ	æ	0.714
r	r	0.7
iː	ʊ	0.613
ou̯	ɔ̃	0.6
u	ɔ̃	0.545
#>	ʊ_#>	0.491
ɛ	ɛ	0.49
ɪ	i_ˈ	0.462
ɲ	nʲ	0.4
ɲ	-	0.4
ou̯	-	0.4
ɪ	ɯ	0.385
#>	ɪ_#>	0.358
r	r_ʊ	0.3
ʦ	ʃ	0.286
j_ɛ	ɛ̃	0.286
u	u	0.273
uː	-	0.25
aː	-	0.25
ɲ	lʲ	0.2
r̝	rʲ	0.2
iː	æ_ˈ	0.194
u	ʊ_ˈ	0.182
ɛ	æ	0.163
ɪ	i	0.154
#>	i_#>	0.151
ɦ	-	0.111
k	-	0.111
ɛ	ɪ_ˈ	0.102
iː	ɯ_ˈ	0.097
iː	i	0.097
ɛ	ʊ	0.061
ɛ	-	0.061
s	s_ʊ	0.057
a	ɛ̃_ˈ	0.053
