Bokmål Norwegian	Old English	probability
ˈœʏ̯	ˈeː	1.0
ˈœ_mː	mː	1.0
ˈæ	-	1.0
ʈː	r_t	1.0
ʈ	t	1.0
ɳ	r_n	1.0
ɪ	i	1.0
ɡː_ə	ɑ	1.0
ɡː	ʤ	1.0
ŋː	ŋ_ɡ	1.0
ŋ	-	1.0
ç	k	1.0
tʰ	θ	1.0
t	t	1.0
pː	pː	1.0
pʰ	p	1.0
p	p	1.0
n_ə	n_ɑ	1.0
mː	m	1.0
m	m	1.0
i	iː	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
s	s	0.921
n	n	0.904
ɾ	r	0.892
ˈɪ	ˈi	0.879
kʰ	k	0.843
ˈʉ	ˈu	0.819
l	l	0.809
ˈæɪ̯	ˈɑː	0.785
s_k	ʃ	0.764
ˈyː	ˈeːo̯	0.751
ˈæː	ˈe	0.664
ʋ	w	0.662
ˈʏ	ˈy	0.659
kː	ŋ_k	0.612
ˈiː	ˈiː	0.605
j	-	0.57
k	ʧ	0.557
tː	t	0.547
ˈʊ	ˈy	0.5
ˈʊ	-	0.5
ʂ	ʃ	0.5
ʂ	s	0.5
ˈʉː	ˈuː	0.497
nː	n_d	0.481
ˈeː	-	0.464
lː	ɫ_d	0.423
ə	ɑ	0.422
ˈøː	ˈæːɑ̯	0.402
kː	ʧː	0.388
ˈɑ	ˈɑ	0.384
ˈɔ	-	0.383
ɡ	ɣ	0.382
ˈɑː	ˈɑ	0.379
ˈuː	ˈo	0.357
ˈoː	ˈæː	0.349
ˈɑ	ˈæɑ̯	0.347
lː	ɫ	0.346
ˈøː	-	0.345
ˈʏ	ˈeːo̯	0.341
ˈuː	ˈoː	0.339
ˈæː	-	0.336
ɡ	ɣ̊	0.309
ɡ	j	0.309
ˈɔ	ˈu	0.308
ˈɔ	ˈo	0.308
ə	e	0.307
j	h	0.291
ˈœ	ˈu	0.272
ˈœ	-	0.272
nː	nː	0.265
ˈœ	ˈiːy̯	0.256
ˈeː	ˈɑː	0.254
ˈyː	-	0.249
ˈoː	ˈæːɑ̯	0.246
tː	tː	0.244
ˈɑː	ˈæɑ̯	0.243
k	k	0.241
ˈiː	ˈi	0.236
s_k	ʃː	0.236
lː	ɫː	0.231
ˈoː	ˈoː	0.226
ˈæɪ̯	ˈe_j	0.215
tː	x_t	0.209
k	ç	0.201
ˈœ	ˈeː	0.2
ˈɑː	ˈæ	0.193
l	ɫ	0.191
ˈeː	ˈeːo̯_w	0.188
ˈɑː	ˈæ_d	0.186
ˈɛ	ˈe	0.183
ˈʉ	-	0.181
ˈɛ	-	0.178
ˈɛ	ˈɑː	0.172
ˈʉː	-	0.167
ʋ	v	0.16
ˈiː	ˈeːo̯	0.159
ˈuː	-	0.157
kʰ	ʧ	0.157
ˈɑ	-	0.148
ˈuː	ˈoː_d	0.147
ˈoː	ˈɑː	0.144
ˈɛ	ˈeo̯	0.142
j	ˈeo̯	0.14
ə	-	0.134
nː	n	0.131
ˈøː	ˈeː	0.128
ˈøː	ˈæːɑ̯_d	0.125
nː	n_e	0.123
ˈɛ	ˈeːo̯	0.122
ˈɪ	-	0.121
ˈɑ	ˈæ	0.121
ə	o	0.12
ˈʉː	ˈyː	0.113
ˈʉː	ˈo	0.113
ˈʉː	ˈeo̯	0.11
ʋ	-	0.098
n	-	0.096
ˈeː	dː	0.094
ˈɛ	ˈɛ	0.088
ʋ	h_w	0.081
s	z	0.079
ˈɛ	ˈæ	0.059
ˈɛ	ˈi	0.056
ɾ	e_r	0.055
