Polish	Polish	probability
ʦ	ʦ	1.0
ʑ	z	1.0
ʐ̊	r̝̊	1.0
ʂ	ʃ	1.0
ɡ̊	x	1.0
ɡ_j	ɦ	1.0
ɡ	ɦ	1.0
ɛ_ɲ	ɛ	1.0
ɛ_ŋ	u	1.0
ɛ_w̃	a	1.0
ɛ_v	ɛ_v	1.0
ɛ_r	r̩	1.0
ɛ_m	m̩	1.0
ɛ_l	ɛ_l	1.0
ɛ_k	ɛ_k	1.0
ɕ	s	1.0
ɔ_n	ɛ_n	1.0
ɔ_m	u	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
w̃_ʐ̊	ʒ̊	1.0
w̃	-	1.0
w_ɔ	l_a	1.0
v_j	v	1.0
v	v	1.0
u_r	ɛ_r	1.0
t_ɔ	t_o	1.0
t_a	t_a	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
m_j	m	1.0
m	m	1.0
l	l	1.0
k_ɔ	k_uː	1.0
k	k	1.0
j_a	iː	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
a_ʨ	a_t	1.0
a_w	ɛ_l	1.0
a_r	r̩	1.0
<#_ɔ	<#_o	1.0
r	r	0.913
w	l	0.905
p	p	0.846
n	n	0.833
ʨ	t	0.762
ɛ	ɛ	0.762
ɨ	iː	0.75
ʈ͡ʂ	ʧ	0.714
a	a	0.702
ɔ	o	0.69
j	j	0.682
ʥ	d	0.667
f	v	0.667
ɲ	n	0.625
ʐ	r̝	0.583
i	iː	0.583
ʐ	ʒ	0.417
i	ɪ	0.417
ɲ	ɲ	0.375
ʥ	ɟ	0.333
f	f	0.333
ʈ͡ʂ	c	0.286
ɨ	ɪ	0.25
ʨ	c	0.238
u	uː	0.227
j	-	0.227
a	ɛ	0.17
n	-	0.167
p	-	0.154
u	ɛ	0.136
u	u	0.136
u	ou̯	0.136
u	o	0.136
u	-	0.136
a	aː	0.128
ɛ	ɛː	0.119
w	l̩	0.095
u	aː	0.091
j	ɲ	0.091
r	r̩	0.087
ɛ	iː	0.071
ɔ	ɛ	0.071
ɔ	ou̯	0.071
ɔ	-	0.071
