Neapolitan	Neapolitan	probability
ˈɛ_n	ˈɛ̃	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈu_p	ˈy	1.0
ˈu_n	ˈɔ̃	1.0
ˈu_j	ˈo	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_ŋ_k_ə_#>	ˈĩ_#>	1.0
ˈi_n	ˈĩ	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_#>	ˈɛː_#>	1.0
ˈa_#>	ˈa_#>	1.0
ʧ	w_ˈɛ	1.0
ʦ	s	1.0
ʎː_ə	ʎ	1.0
ʎː	ʎ	1.0
ʃ_ə	ʃ	1.0
ɾ_t	ʁ	1.0
ɲː_ə	ˈɛ̃	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ə_ɾ	ʁ	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z	z	1.0
w_ˈɔ	ˈɔ	1.0
w_ə	a	1.0
v_ə	f	1.0
t_ɾ	ð	1.0
sː	-	1.0
s_t	t	1.0
rː	-	1.0
nː	-	1.0
n_ə	n_a	1.0
mː	-	1.0
lː	l	1.0
l	l	1.0
kː_j	ʎ	1.0
k_w	k	1.0
k_j	p_l	1.0
j_ˈɛ	ˈe	1.0
j_ə	ʃ	1.0
fː	f	1.0
f	f	1.0
dː	ˈɛː	1.0
b	b	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
a_l	a_l	1.0
a_bː	y	1.0
<#_ˈɔ	<#_w	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ʒ	1.0
<#_a	<#_a	1.0
i	-	0.929
m	m	0.905
s	s	0.875
d	d	0.833
r	ʁ	0.818
ˈa_n	ˈɑ̃	0.75
p	p	0.75
ʤ	ð	0.714
a	a	0.7
v	v	0.679
ʦː	-	0.667
ʃː	s	0.667
ˈe	ˈɛː	0.636
tː	-	0.636
t	-	0.615
o	-	0.6
j	j	0.6
e	-	0.6
ɾ	ʁ	0.58
w	w	0.538
ˈɔ	ˈoː	0.529
k	k	0.529
ˈɔ_k	ˈe	0.5
ˈɔ_k	ˈa	0.5
ə_n	ə_n	0.5
ə_n	n	0.5
kː	ʃ	0.5
kː	t	0.5
ˈi	ˈi	0.48
n	-	0.455
ʃ	s	0.45
u	-	0.444
k	ʃ	0.412
o	ɔ	0.4
j	-	0.4
e	ɛ	0.4
ˈɛ	ˈe	0.389
n	n	0.364
ə	ə	0.348
ˈo	w	0.333
ˈo	-	0.333
ʦː	ʦ	0.333
ʃː	-	0.333
u	o	0.333
ˈa	ˈa	0.326
ə	a	0.319
w	-	0.308
t	t	0.308
a	-	0.3
ʤ	-	0.286
ˈu	ˈu	0.28
ˈɛ	ˈɛ	0.278
ɾ	-	0.26
ˈa_n	ˈɛ̃	0.25
ˈu	w	0.24
ˈɔ	ˈø	0.235
ˈɛ	-	0.222
u	u	0.222
ˈi	ˈe	0.2
ˈi	-	0.2
ʃ	e	0.2
ˈe	ˈɛ	0.182
ˈe	-	0.182
tː	t_ʁ	0.182
tː	t	0.182
r	-	0.182
n	ˈɛ̃	0.182
v	b	0.179
ˈa	ˈaː	0.174
ˈo	ˈɔ̃	0.167
ˈo	ˈɔ	0.167
d	-	0.167
ˈu	ˈo	0.16
ə	o	0.159
w	ˈoː	0.154
ʃ	-	0.15
v	-	0.143
p	v	0.143
s	-	0.125
ˈu	ˈoː	0.12
ˈu	w_ˈɛː	0.12
ˈi	ˈɛ	0.12
ɾ	ð	0.12
ˈɔ	ˈɔ	0.118
ˈɔ	-	0.118
ˈɛ	ˈɛː_ʁ	0.111
ˈa	ˈe	0.109
p	-	0.107
ʃ	ʃ	0.1
ʃ	f_l	0.1
m	-	0.095
ˈa	ˈɑ̃	0.087
ˈa	ˈɑː	0.087
ˈa	-	0.087
ˈu	-	0.08
t	ð	0.077
i	ɛ̃	0.071
ˈa	ˈɛː	0.065
ˈa	j_ˈe	0.065
k	-	0.059
ə	i	0.058
ə	-	0.058
