Old French	Old French	probability
ˈɛ_f	w	1.0
ˈỹ	ˈu	1.0
ˈi	ˈi	1.0
ˈẽ	ˈi	1.0
ˈã_n	ˈa_n	1.0
ˈã_j	ˈɔ	1.0
ˈã	ˈɔ	1.0
ʧ	k	1.0
ʦ	ʦ	1.0
ə_n	i_n	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
v	v	1.0
s_#>	#>	1.0
r_#>	r_i_#>	1.0
p	p	1.0
n_ə	n_ə	1.0
n_#>	n_#>	1.0
n	n	1.0
m_#>	m_i_#>	1.0
m	m	1.0
j_ˈɛ	ˈa	1.0
j_t	p_t	1.0
i	-	1.0
e_s	s	1.0
d	d	1.0
b	b	1.0
<#_p	<#	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#	<#_w	1.0
r	r	0.939
t	t	0.857
ˈa	ˈa	0.833
<#_n	<#_n	0.818
s	s	0.812
k	k	0.714
f	f	0.714
ə	ə	0.679
ˈɔ	ˈo	0.667
ˈũ	ˈu	0.667
ʎ	ʎ	0.667
<#_t	<#_t	0.667
ˈu	ˈu	0.625
ɡ	ɡ	0.625
ˈɔ_j	e̯ˈa	0.6
ˈe	ˈa	0.571
ˈy	ˈu	0.5
ˈy	o̯ˈa	0.5
ʤ	z	0.5
ʤ	-	0.5
ˈe	e̯ˈa	0.429
ˈɛ	ˈa	0.409
ˈɔ_j	ˈe	0.4
#>	ə_#>	0.385
#>	u_#>	0.385
ˈu	ˈo	0.375
l	l	0.368
j	j	0.364
ˈɔ	-	0.333
ˈũ	-	0.333
ʎ	k_ʎ	0.333
<#_t	<#_ʦ	0.333
l	ʎ	0.316
k	-	0.286
f	-	0.286
j	k	0.273
ɡ	-	0.25
#>	k_#>	0.231
ə	i	0.214
w	l	0.214
w	-	0.214
l	r	0.211
s	ə	0.188
j	ˈe	0.182
j	-	0.182
<#_n	<#	0.182
ˈa	-	0.167
w	ˈo	0.143
w	w	0.143
w	o̯ˈa	0.143
w	k	0.143
t	d	0.143
ˈɛ	ˈo	0.136
ˈɛ	ˈe	0.136
ˈɛ	-	0.136
ɡ	ʤ	0.125
ə	u	0.107
l	-	0.105
ˈɛ	ˈa_p	0.091
ˈɛ	e̯ˈa	0.091
r	t	0.061
