Pennsylvania German	Pennsylvania German	probability
ˈɔɪ̯	ˈɛ_ɡ̊ː	1.0
ˈa_x	ˈɑu̯	1.0
ʃ_#>	s_k_ʏ_r̥_#>	1.0
ɡ	ɟ̊	1.0
ə_#>	#>	1.0
ŋ_k	ʰk	1.0
ç_#>	#>	1.0
s_ɑ	ʰt͡n̥	1.0
s_#>	#>	1.0
p	-	1.0
n_#>	t͡n̥_#>	1.0
m	m	1.0
j	-	1.0
f_ˈɔ	f	1.0
f_#>	#>	1.0
eː	aːu̯	1.0
b̥	v_ʏ	1.0
<#_ʋ	<#	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_d̥	1.0
b	b̥	0.955
ɾ	r	0.917
h	h	0.9
ŋ	ŋ	0.889
ʋ	v	0.778
ə	a	0.756
ˈaʊ̯	ˈuː	0.75
ʃ	s	0.731
<#_ɾ	<#_r	0.714
ʦ	tʰ	0.7
d	θ	0.667
d̥	ð	0.654
f	f	0.643
ˈuː	ˈoːu̯	0.636
ˈaɪ̯	ˈiː	0.636
s	s	0.619
t	t	0.615
d_ɑ	ð_ɪ	0.6
l	l	0.575
ɡ̊	-	0.571
ˈɔ	-	0.556
ɪ	ɡ̊_ʏ	0.5
ɣ	ɡ̊	0.5
ɣ	-	0.5
x	k	0.5
x	-	0.5
d̥_#>	ʏ_r̥_#>	0.5
d̥_#>	#>	0.5
ˈɔ	ˈʏ	0.444
ˈɛː	ˈɛ	0.429
ˈaː	ˈɔ	0.429
ɡ̊	ɣ	0.429
#>	ʏ_r̥_#>	0.408
d_ɑ	ɪ	0.4
t	ʰt	0.385
s	t	0.381
ˈɪ	ˈɪ	0.379
ˈʊ	ˈʏ	0.375
ˈeː	-	0.375
ˈɔː	-	0.368
ˈuː	-	0.364
ˈɛ	ˈɛ	0.333
ɪ	-	0.333
#>	r̥_#>	0.327
n	n	0.324
ˈa	ˈa	0.31
ˈoː	ˈɑːu̯	0.308
ˈoː	ˈœːy̯	0.308
ˈiː	j_ˈuː	0.308
ˈiː	j_ˈoːu̯	0.308
ç	r̥	0.308
ʦ	-	0.3
ˈeː	ˈɛːi̯	0.292
ˈɛː	j	0.286
ˈɛː	-	0.286
ˈaː	ˈɔ_r	0.286
ˈaː	-	0.286
k	ɡ̊ː	0.286
k	k	0.286
k	-	0.286
<#_ɾ	<#_r̥	0.286
ˈaʊ̯	-	0.25
f	p	0.25
d	ð	0.25
ˈa	ˈaː	0.241
ˈoː	ˈɔː	0.231
ˈiː	ˈɛː	0.231
ç	-	0.231
ˈaɪ̯	-	0.227
l	t͡l̥	0.225
ˈɔː	ˈœːy̯	0.211
ˈɔː	ˈaː	0.211
ˈɔː	ˈa	0.211
ˈeː	j	0.208
ˈa	-	0.207
ɑ	r̥	0.207
n	nː	0.206
n	-	0.206
l	l̥	0.2
d̥	d̥_ʏ	0.192
ˈʊ	ˈu	0.188
ˈʊ	ˈoːu̯	0.188
ˈɪ	ˈi	0.172
ˈɪ	-	0.172
ɪ	ɑu̯	0.167
ˈoː	-	0.154
ˈiː	ˈaːi̯	0.154
ʃ	s_c	0.154
ç	x	0.154
ç	k_ʏ	0.154
ç	k	0.154
d̥	d̥	0.154
ˈɛ	ˈɛː	0.143
ˈɛ	j	0.143
k	ʰc	0.143
ˈɪ	ˈɪː	0.138
ˈɪ	j	0.138
ɑ	ʏ	0.138
ˈaɪ̯	ˈɛ	0.136
ə	-	0.133
ˈʊ	ˈɔː	0.125
ˈʊ	-	0.125
ˈeː	ˈɛi̯	0.125
n	n_d̥	0.118
ʃ	s_k	0.115
ʋ	kʰ_v	0.111
ʋ	-	0.111
ŋ	ɲ	0.111
f	v	0.107
ˈa	ˈɑu̯	0.103
ɑ	ɪ	0.103
ɑ	r_ɪ	0.103
ɑ	r	0.103
#>	a_#>	0.102
h	ç	0.1
ˈɛ	ˈɪː	0.095
ˈɛ	ˈau̯	0.095
ˈɛ	ˈa	0.095
ˈɛ	-	0.095
n	t͡n̥	0.088
ɾ	r̥	0.083
d	-	0.083
ˈa	ˈɛ	0.069
ˈa	ˈœ	0.069
ɑ	ˈɛː_r̥	0.069
ɑ	ˈœ_r	0.069
ɑ	ɡ̊_ʏ	0.069
ɑ	r_a	0.069
ɑ	a_r̥	0.069
ə	n̥	0.067
n	j	0.059
