Scots	Swedish	probability
b	b	1.0
d	d	0.837
d	-	0.153
e	j	0.629
e	-	0.361
f	f	0.818
f	v	0.175
h	h	0.972
h	-	0.036
i	-	0.473
j	-	0.187
j	j	0.187
j	ɡ	0.187
j	ˈyː	0.187
j	ˈoː	0.177
k	k	0.714
k	ɕ	0.11
k	kː	0.08
k	kʰ	0.079
kʰ	kʰ	1.0
l	l	0.85
l	ɛ_l	0.051
l	-	0.037
l	l_ɛ	0.034
l	lː	0.034
m	m	0.74
m	mː	0.179
m	ɧ	0.076
n	n	0.682
n	-	0.1
n	nː	0.099
n	ʊ	0.053
n	ɳː	0.031
p	p	0.514
p	v	0.182
p	r	0.119
p	pː	0.086
pʰ	pʰ	0.224
r	r	0.856
r	-	0.12
r_d	ɖ	1.0
r_n	ɳ	1.0
s	s	0.881
s	ɧ	0.071
s	sː	0.043
t	t	0.631
t	-	0.194
t	tː	0.076
t	d	0.043
t	ʈː	0.043
tʰ	tʰ	0.889
tʰ	ɕ	0.095
v	v	0.605
v	m	0.219
v	-	0.137
w	v	0.661
w	-	0.268
w	ˈʊ	0.058
w_ˈɔ	ˈɵ	0.473
x	tː	0.617
x	-	0.165
x	ɡ	0.103
x	k	0.07
z	s	1.0
ç	j	0.473
ð	d	0.53
ð	-	0.175
ð	nː	0.109
ŋ	ŋː	0.797
ŋ	ŋ	0.195
ŋ_k	kː	1.0
ə	ɛ	0.481
ə	-	0.38
ə	a	0.076
ə	ˈɛ	0.05
əi̯	ɪ	0.594
əi̯	ɵ	0.201
əi̯	ɛ	0.064
ɡ	ɡ	0.465
ɡ	-	0.274
ɡ	ɡː	0.239
ɪ	ɪ	0.265
ɪ	e	0.231
ɪ	-	0.126
ɫ	l	0.644
ɫ	lː	0.231
ɹ	r	0.473
ʃ	s_k	0.549
ʃ	ɧ	0.192
ʃ	f	0.134
ʍ	v	0.822
ʍ	j	0.103
ʧ	k	0.312
ʧ	ɕ	0.312
ˈa	ˈɔ	1.0
ˈaːɪ̯	ˈɛ	0.5
ˈaːɪ̯	ˈʉː	0.5
ˈe	ˈeː	0.248
ˈe	ˈɑː	0.199
ˈe	ˈɛ	0.123
ˈe	ˈøː	0.084
ˈe	ˈʉː	0.084
ˈei̯	ˈøː	0.365
ˈei̯	ˈʉː	0.166
ˈei̯	ˈœː	0.123
ˈei̯	ˈɛː	0.107
ˈei̯	-	0.057
ˈeː	ˈɑː	0.561
ˈeː	ˈoː	0.201
ˈeː	jː	0.064
ˈi	ˈøː	0.361
ˈi	ˈœ	0.126
ˈi	ˈæː	0.116
ˈi	ˈɪ	0.116
ˈiː	ˈøː	0.265
ˈiː	ˈoː	0.124
ˈiː	ˈeː	0.108
ˈiː	ˈiː	0.108
ˈiː	ˈyː	0.094
ˈoe̯	ˈæ	0.473
ˈø	ˈuː	0.555
ˈø	ˈoː	0.171
ˈø	ˈʊ	0.149
ˈø	ˈa	0.097
ˈɑ	ˈa	0.494
ˈɑ	ˈɛ	0.132
ˈɑ	ˈɑː	0.125
ˈɑ	ˈoː	0.095
ˈɑ	ˈeː	0.09
ˈɑː	ˈa	0.477
ˈɑː	ˈa_l	0.165
ˈɑː	ˈeː	0.109
ˈɑː	ˈɑː	0.082
ˈɑː	ˈøː	0.08
ˈɔ	ˈœ	0.2
ˈɔ	ˈuː	0.189
ˈɔ	ˈɔ	0.165
ˈɔ	ˈoː	0.1
ˈɔ	ˈɛː	0.1
ˈəi̯	ˈiː	0.737
ˈəi̯	ˈɪ	0.082
ˈəi̯	ˈyː	0.08
ˈəi̯	ˈɛː	0.078
ˈɛ	ˈa	0.14
ˈɛ	ˈɛ	0.14
ˈɛ	ˈʉː	0.119
ˈɛ	ˈɛː	0.104
ˈɛ	ˈʉː_ɡ	0.104
ˈɪ	ˈɪ	0.247
ˈɪ	ˈʏ	0.139
ˈɪ	ˈɵ	0.099
ˈɪ	ˈiː	0.086
ˈɪ	ˈuː	0.078
ˈɪ_ð	ˈuː	1.0
ˈʉ	ˈʉː	0.36
ˈʉ	ˈɵ	0.317
ˈʉ	ˈuː	0.152
ˈʉ	-	0.115
ˈʉ	ˈoː	0.047
ˈʌ	ˈʊ	0.384
ˈʌ	ˈoː	0.158
ˈʌ	ˈɛ	0.158
ˈʌ	ˈɔ	0.149
ˈʌʉ̯	ˈyː	0.231
ˈʌʉ̯	ˈɔ	0.213
ˈʌʉ̯	ˈøː	0.126
ˈʌʉ̯	ˈɵ	0.068
θ	tʰ	0.383
θ	d	0.231
θ	ɕ	0.171
θ	nː	0.074
θ	t	0.072
