Scots	Swedish	probability
b	b	0.938
b	tʰ	0.062
d	d	0.903
d	-	0.086
e	j	0.762
e	-	0.238
f	f	0.789
f	v	0.178
h	h	0.86
h	j	0.126
i	-	1.0
iː	ɔ	1.0
j	ɡ	0.282
j	ˈyː	0.225
j	n	0.215
j	ˈoː	0.137
j	j	0.123
k	k	0.748
k	kː	0.148
k	kʰ	0.057
kʰ	kʰ	1.0
l	l	0.86
l	j	0.074
m	m	0.738
m	mː	0.152
m	ɧ	0.056
m	-	0.054
n	n	0.718
n	nː	0.159
p	p	0.584
p	pː	0.225
p	v	0.118
p	-	0.073
pʰ	pʰ	1.0
r	r	0.809
r	ɳ	0.123
r	-	0.067
s	s	0.821
s	ɧ	0.153
t	t	0.657
t	tː	0.163
t	-	0.106
t	d	0.052
tʰ	tʰ	0.918
tʰ	ɕ	0.082
v	v	0.509
v	m	0.333
v	-	0.158
w	v	0.623
w	-	0.249
w	ˈʊ	0.065
w	ˈʉː	0.063
x	tː	0.607
x	-	0.202
x	k	0.107
x	ɡ	0.084
z	s	1.0
ç	j	1.0
ð	-	0.442
ð	d	0.44
ð	nː	0.118
ŋ	ŋː	0.776
ŋ	ŋ	0.224
ə	ɛ	0.6
ə	-	0.294
ə	a	0.086
əi̯	ɪ	0.463
əi̯	ɵ	0.305
əi̯	ɛ	0.233
ɡ	ɡ	0.579
ɡ	ɡː	0.23
ɡ	j	0.123
ɡ	-	0.069
ɪ	ɪ	0.597
ɪ	e	0.301
ɪ	-	0.102
ɫ	l	0.811
ɫ	lː	0.189
ɹ	ˈiː	1.0
ʃ	ɧ	0.528
ʃ	s	0.408
ʃ	f	0.065
ʍ	v	0.759
ʍ	j	0.241
ʧ	ɕ	0.794
ʧ	k	0.206
ˈa	ˈɔ	1.0
ˈaːɪ̯	ˈɛ	0.5
ˈaːɪ̯	ˈʉː	0.5
ˈe	ˈeː	0.209
ˈe	ˈɑː	0.147
ˈe	ˈɛ	0.142
ˈe	ˈoː	0.118
ˈe	ˈa	0.1
ˈe	-	0.061
ˈe	ˈyː	0.06
ˈe	j	0.054
ˈei̯	ˈøː	0.416
ˈei̯	ˈʉː	0.131
ˈei̯	ˈɛː	0.127
ˈei̯	ˈɪ	0.124
ˈei̯	ˈœː	0.085
ˈeː	ˈoː	0.461
ˈeː	ˈɑː	0.392
ˈeː	jː	0.147
ˈi	ˈœ	0.38
ˈi	ˈøː	0.233
ˈi	ˈɪ	0.195
ˈi	ˈæː	0.122
ˈi	ˈʉː	0.071
ˈiː	ˈøː	0.283
ˈiː	ˈiː	0.214
ˈiː	ˈeː	0.087
ˈiː	ˈɛ	0.084
ˈiː	ˈʉː	0.077
ˈiː	ˈyː	0.071
ˈiː	ˈoː	0.067
ˈiː	ˈɛː	0.066
ˈiː	ˈœ	0.051
ˈoe̯	ˈæ	1.0
ˈø	ˈuː	0.43
ˈø	ˈoː	0.295
ˈø	ˈʊ	0.129
ˈø	ˈa	0.073
ˈø	ˈʉː	0.073
ˈɑ	ˈa	0.618
ˈɑ	ˈoː	0.157
ˈɑ	ˈɑː	0.114
ˈɑ	ˈɛ	0.065
ˈɑː	ˈa	0.724
ˈɑː	ˈɑː	0.093
ˈɑː	ˈøː	0.088
ˈɑː	ˈeː	0.052
ˈɔ	ˈuː	0.246
ˈɔ	ˈɔ	0.199
ˈɔ	ˈoː	0.187
ˈɔ	ˈœ	0.141
ˈɔ	ˈœː	0.104
ˈəi̯	ˈiː	0.509
ˈəi̯	ˈɪ	0.32
ˈəi̯	ˈyː	0.087
ˈəi̯	ˈɛː	0.057
ˈɛ	ˈa	0.192
ˈɛ	ʊ	0.131
ˈɛ	ˈɛ	0.11
ˈɛ	ˈɑː	0.103
ˈɛ	-	0.084
ˈɛ	ˈʉː	0.066
ˈɛ	ˈæ	0.065
ˈɛ	ˈæː	0.065
ˈɪ	ˈɪ	0.309
ˈɪ	ˈɵ	0.13
ˈɪ	ˈʏ	0.101
ˈɪ	ˈuː	0.101
ˈɪ	ˈɛ	0.067
ˈɪ	ˈœ	0.053
ˈɪ	-	0.05
ˈʉ	ˈʉː	0.353
ˈʉ	ˈɵ	0.321
ˈʉ	-	0.168
ˈʉ	ˈuː	0.08
ˈʉː	ˈʉː	1.0
ˈʌ	ˈɵ	0.394
ˈʌ	ˈʊ	0.337
ˈʌ	ˈɔ	0.129
ˈʌ	ˈoː	0.112
ˈʌʉ̯	ˈɵ	0.33
ˈʌʉ̯	ˈɔ	0.288
ˈʌʉ̯	ˈøː	0.22
ˈʌʉ̯	ˈyː	0.163
θ	d	0.343
θ	tʰ	0.322
θ	ɕ	0.187
θ	t	0.087
