Saterland Frisian	Bavarian	probability
i	eɐ̯	1.0
ŋ	ŋ	1.0
ɡ	ɡ̊	1.0
ˈeːu̯	ˈeː	1.0
ˈiːu̯	ˈeː	1.0
ˈyː	ˈai̯	1.0
ˈøː	ˈau̯	1.0
ˈœː	ˈi	1.0
ˈɔːɪ̯	ˈoɐ̯	1.0
j	ˈi	0.1
j	ˈiɐ̯	0.281
ə	-	0.181
ɣ	ŋ	0.101
ˈaː	ˈo	0.101
ˈaː	ˈaː	0.111
ˈaːu̯	ˈɔ	0.361
ˈeː	ˈɛː	0.1
ˈoː	ˈɛː	0.061
ˈoː	ˈaː	0.181
ˈɔ	ˈa	0.121
ˈɔ	ˈɒː	0.301
ˈɛɪ̯	ˈu	0.051
ˈɪ	ˈa	0.101
ˈʊ	ˈe	0.141
h	-	0.052
k	-	0.302
l	l	0.482
p	p͡f	0.242
t	d̥	0.162
w	-	0.192
x	ɡ̊	0.412
ˈa	ˈe	0.472
ˈaː	ˈe	0.192
ˈaːu̯	ˈaː	0.232
ˈeː	ˈoɐ̯	0.442
ˈiː	ˈɒː	0.072
ˈiː	ˈɛ	0.082
ˈiː	ˈe	0.082
ˈu	ˈuɐ̯	0.472
ˈuː	ˈo	0.062
ˈɔː	ˈi	0.072
ˈɔː	ˈɒ	0.12
ˈɛ	ˈo	0.122
ˈɛ	ˈɒ	0.182
ˈɛɪ̯	ˈeː	0.052
ˈʊ	ˈɛ	0.052
j	j	0.063
k	x	0.193
p	f	0.733
ˈi	ˈeː	0.233
ˈoːu̯	ˈoː	0.113
ˈɔː	ˈu	0.183
b	-	0.074
d	-	0.074
f	f	0.954
k	ç	0.174
v	m	0.064
x	f	0.114
x	k	0.114
ɣ	ɡ̊	0.794
ɪ	-	0.594
ˈa	ˈaː	0.104
ˈi	ˈoɐ̯	0.054
ˈiː	ˈoɐ̯	0.164
ˈoː	-	0.364
ˈoːu̯	ˈo	0.254
ˈuː	ˈy	0.074
ˈuː	ˈau̯	0.14
ˈɔː	ˈoː	0.104
ˈɛɪ̯	ˈau̯	0.064
ˈɛɪ̯	ˈoː	0.064
ˈʊ	-	0.294
a	n	0.475
a	ˈiː	0.525
d	d̥	0.765
k	k	0.075
l	j	0.505
m	m	0.895
n	ŋ	0.085
r	a	0.115
t	t	0.205
t	ʦ	0.285
ə	ə	0.085
ə	n	0.345
ˈa	ˈɔ	0.135
ˈaː	ˈai̯	0.335
ˈaːi̯	ˈoː	0.345
ˈaːi̯	ˈɛ	0.655
ˈoːu̯	ˈoɐ̯	0.075
ˈoːu̯	ˈeɐ̯	0.125
ˈoːu̯	ˈɔ	0.15
ˈuː	ˈai̯	0.25
ˈɔ	ˈɔ	0.175
ˈɔː	ˈuɐ̯	0.105
ˈɛ	ˈɒː	0.055
ˈɛɪ̯	ˈe	0.125
ˈɛɪ̯	ˈai̯	0.15
ˈɛː	-	0.095
b	b̥	0.926
j	-	0.256
n	n	0.86
r	ɐ	0.266
s	kʰ	0.066
x	x	0.36
z	ɡ̊	0.286
z	s	0.606
ɪ	i	0.406
ˈaː	ˈoɐ̯	0.26
ˈaːu̯	ˈi	0.406
ˈeː	ˈe	0.246
ˈiː	ˈeɐ̯	0.06
ˈiː	ˈi	0.316
ˈoːu̯	ˈa	0.066
ˈuː	ˈaː	0.06
ˈuː	ˈuɐ̯	0.086
ˈɛ	ˈai̯	0.316
ˈɛː	ˈiː	0.056
ˈɛː	ˈe	0.06
ˈɛː	ˈa	0.286
ˈʊ	ˈu	0.416
d	t	0.137
r	d̥_a	0.087
s	ʃ	0.417
t	s	0.347
ɣ	-	0.067
ˈeː	ˈɛ	0.087
ˈi	-	0.067
ˈi	ˈi	0.257
ˈi	ˈai̯	0.307
ˈoː	ˈou̯	0.087
ˈɛ	ˈoː	0.117
ˈɛɪ̯	ˈiɐ̯	0.097
ˈɛɪ̯	ˈuɐ̯	0.097
ˈɛː	ˈʏ	0.177
h	h	0.948
m	n	0.088
s	s	0.518
w	ˈʏ	0.808
z	r	0.108
ə	a	0.38
ˈiː	ˈai̯	0.068
ˈoː	ˈoɐ̯	0.088
ˈoːu̯	ˈuɐ̯	0.218
ˈu	ˈau̯	0.528
ˈuː	ˈɛ	0.088
ˈuː	ˈu	0.218
ˈɔ	ˈo	0.18
ˈɔ	ˈʏ	0.18
ˈɛː	ˈu	0.188
j	ɡ̊	0.199
k	kʰ	0.209
r	r	0.529
v	b̥	0.09
v	ʋ	0.789
ˈa	ˈo	0.289
ˈiː	ˈɑː	0.059
ˈiː	-	0.059
ˈɔː	ˈɛ	0.29
ˈɛ	ˈe	0.209
ˈɛɪ̯	r	0.109
ˈɛː	ˈi	0.139
ˈɪ	ˈi	0.869
ˈʊ	ˈo	0.069
