Asturian	Asturian	probability
θ_ˈe	ʃ	1.0
β_u	p	1.0
β_e	w	1.0
β_a	β_ə	1.0
ˈo_n	ˈɔ	1.0
ˈi_ɾ_#>	ˈi_#>	1.0
ˈe_θ	w	1.0
ˈe_β	w	1.0
ˈe_ʧ	ˈi_t	1.0
ˈe_ʝ	ʎ	1.0
ˈe_ɾ	r	1.0
ˈe_u	k	1.0
ˈe_#>	w_#>	1.0
ˈa_n	ˈa	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ʝ	ʎ	1.0
ʎ_e	ʎ_ə	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_u	ɾ_ə	1.0
ɾ_#>	#>	1.0
ɲ	ɲ	1.0
ɣ_u_#>	k_#>	1.0
ɡ	ɡ	1.0
ŋ_ɡ	ŋ	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
ð_ɾ	ɾ	1.0
w_ˈe	ˈɔ	1.0
w_ˈa	w_ˈa	1.0
w_a	w_ə	1.0
u_#>	#>	1.0
t_u_#>	#>	1.0
t_a	t_ə	1.0
s_u_#>	s_#>	1.0
s_a	z_ə	1.0
s_#>	s_#>	1.0
r	r	1.0
p_u	s	1.0
p	p	1.0
n_u_#>	#>	1.0
m	m	1.0
l_m	mː	1.0
l_#>	#>	1.0
k	k	1.0
f	f	1.0
e_ɾ	ə_r	1.0
e_#>	#>	1.0
b_e	b_ə	1.0
b	b	1.0
a_ʝ	ə_ʒ	1.0
<#_θ	<#_s	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ_w	<#_ˈu	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_e	<#_ə	1.0
<#	<#_ʒ	1.0
a	ə	0.944
l	l	0.917
ˈu	ˈu	0.895
w	ˈɔ	0.857
ð	ð	0.846
n	n	0.842
ˈi	ˈi	0.84
ʎ	ʎ	0.828
d	d	0.812
t	t	0.81
s	s	0.762
j_ˈe	ˈe	0.706
u	u	0.7
ʃ	ʒ	0.692
β	β	0.636
ɣ	ɣ	0.636
ɾ_u_#>	r_#>	0.6
o	u	0.565
ɾ	ɾ	0.542
ˈo	ˈo	0.524
e	ə	0.517
i	i	0.5
i	-	0.5
#>	w_#>	0.5
#>	l_#>	0.5
θ	-	0.467
ˈe	ˈɛ	0.412
ɾ_u_#>	#>	0.4
ɣ	-	0.364
ˈe	ˈe	0.333
ˈo	ˈɔ	0.31
u	-	0.3
j_ˈe	ˈɛ	0.294
j	ˈɛ	0.286
j	j	0.286
j	-	0.286
θ	w	0.267
θ	s	0.267
o	-	0.217
t	-	0.19
d	-	0.188
β	w	0.182
β	-	0.182
e	u	0.172
ˈi	-	0.16
ʃ	ʃ	0.154
ʃ	-	0.154
ð	t	0.154
w	ˈu	0.143
s	z	0.143
j	ˈe	0.143
e	ˈɛ	0.138
o	ə	0.13
ɾ	-	0.125
ˈu	-	0.105
ɾ	ə	0.104
ɾ	r	0.104
ʎ	p_l	0.103
e	i	0.103
s	-	0.095
o	ˈɔ	0.087
ɾ	ɾ_ə	0.083
l	-	0.083
n	n_d	0.079
n	-	0.079
ˈe	ˈi	0.078
ˈo	-	0.071
ʎ	k_l	0.069
e	ɾ_ə	0.069
ˈe	ɾ	0.059
