Gan	Gan	probability
⁵	-	1.0
⁴²	˦	1.0
ʔ	k̚	1.0
ɕ	s	1.0
ŋ̍	ŋ_u	1.0
¹¹	˥˩	1.0
²⁴	˦	1.0
²	-	1.0
t̚_⁵	t̚	1.0
t̚	k̚	1.0
t	t	1.0
s_ɛ	ʃ	1.0
s_z̩	sˠ	1.0
o	ɑ	1.0
k	k	1.0
j_ɛ	e	1.0
j_a	e	1.0
e	ʌ	1.0
a_w	ɑ_u	1.0
a_t̚	p̚	1.0
a_j	ʌ_i	1.0
<#_nʲ	<#_ŋ	1.0
³⁵	˦	0.917
ŋ	ŋ	0.862
²¹³	˧˥	0.857
u	u	0.818
w	u	0.8
n	n	0.786
l	l	0.778
nʲ	ȵ	0.75
pʰ	bˠ	0.667
kʰ	kʰ	0.667
ɥ	i_u	0.6
z̩	ɨ	0.6
y	ɨ	0.6
p	p	0.6
i	ɪ	0.6
ɛ	ə	0.583
tʰ	d	0.556
<#	<#_ɦ	0.545
ʨ	k	0.5
ʨ	-	0.5
m	mˠ	0.5
m	m	0.5
h	h	0.5
f	p	0.5
j	i	0.476
tʰ	tʰ	0.444
ɨ	u	0.429
ɛ	e	0.417
ɔ	ɑ	0.417
ɔ	ɐ	0.417
ʦʰ	ʨʰ	0.4
ɵ	ɛ	0.4
ɥ	ʉ	0.4
z̩	e	0.4
y	ɨ_ʌ	0.4
p	pˠ	0.4
j	ɨ	0.381
a	a	0.381
ʦ	ʦ	0.375
pʰ	pʰˠ	0.333
kʰ	kʰˠ	0.333
h	ɦ	0.333
ʦʰ	ʦʰ	0.3
s	ʥ	0.3
s	ɕ	0.3
ʨʰ	ʦʰ	0.286
ʨʰ	ʣ	0.286
ʨʰ	ɡ	0.286
ɨ	ɨ_u	0.286
ɨ	ɨ	0.286
<#	<#_m_ɨ	0.273
ʦ	ʨ	0.25
ʦ	ʈ	0.25
nʲ	ɳ	0.25
l	n	0.222
n	m	0.214
ʦʰ	ɖ	0.2
ɵ	ɑ	0.2
ɵ	ɐ	0.2
ɵ	u_ɑ	0.2
w	-	0.2
i	ɨ	0.2
i	e_i	0.2
f	ɦ	0.2
f	b	0.2
u	o	0.182
<#	<#_h	0.182
ɔ	ʌ	0.167
h	ɦˠ	0.167
ʨʰ	ɡˠ	0.143
²¹³	˥˩	0.143
j	-	0.143
a	ɑ	0.143
a	æ	0.143
a	e	0.143
ʦ	ʈˠ	0.125
ŋ	ʔ	0.103
ʦʰ	ɖˠ	0.1
s	ʤ	0.1
s	ʑ	0.1
s	ʃˠ	0.1
s	ɕˠ	0.1
f	hˠ	0.1
a	ʌ	0.095
a	ɛ	0.095
³⁵	˥˩	0.083
