Eastern Lombard	Megleno-Romanian	probability
ˈy	ˈu	1.0
ˈe_r	e̯ˈa_r	1.0
ˈe_l	ˈe_r	1.0
ʤ	ʤ	1.0
ʋ	-	1.0
ɲ	-	1.0
ŋ	-	1.0
ø	o̯ˈa	1.0
w	-	1.0
n	n	1.0
m	m	1.0
k	k	1.0
i	i	1.0
b	b	1.0
r	r	0.946
a	ə	0.78
ˈi	ˈi	0.736
d	t	0.718
ˈa	ˈa	0.692
t	t	0.69
ˈo	ˈa	0.607
p	p	0.594
ʧ	k_ʎ	0.584
z	z	0.555
j	-	0.551
o	u	0.539
f	f	0.534
e	i	0.508
s	s	0.484
ˈu	ˈu	0.461
o	-	0.461
j	l	0.449
z	ʒ	0.445
ˈu	o̯ˈa	0.426
ɡ	ɡ	0.425
l	ʎ	0.418
ɡ	k	0.406
ˈo	ˈu	0.393
ˈɔ	ˈo	0.378
ˈø	ˈo	0.377
ˈɔ	ˈu	0.359
ˈe	ˈi_n	0.345
ˈø	ˈu	0.339
f	-	0.322
ˈɛ	ˈe	0.32
s	ʦ	0.298
ˈɛ	ˈa	0.29
d	z	0.282
ˈe	ˈe	0.277
ˈi	-	0.264
l	l	0.264
e	r	0.264
ˈɔ	w_ˈo	0.263
t	p_t	0.253
ˈe	ˈi	0.249
ʧ	-	0.235
e	-	0.228
ˈɛ	-	0.223
a	-	0.22
ˈa	ˈɔ	0.193
ˈø	-	0.19
ʧ	p_t	0.182
ɡ	p	0.168
ˈɛ	e̯ˈa	0.167
l	-	0.15
f	w	0.144
p	p_i	0.135
p	kʲ	0.135
p	-	0.135
ˈe	ˈu	0.129
s	ʃ	0.126
ˈa	ˈɔ_n	0.115
ˈu	-	0.113
ˈø	o̯ˈa	0.094
s	-	0.091
l	r	0.087
l	r_i	0.081
t	d	0.058
r	u	0.054
