Italian	Friulian	probability
a	e	0.726
a	a	0.168
a	-	0.053
b	b	0.7
b	-	0.164
b	v	0.086
d	d	0.795
d	-	0.122
d	t	0.083
e	-	0.741
e	i	0.113
e	e	0.092
f	f	1.0
i	i	0.575
i	e	0.176
i	j	0.118
i	-	0.112
j	l	0.631
j	-	0.231
j	ˈeː	0.069
j	j	0.069
k	c	0.363
k	k	0.254
k	-	0.252
k	ɡ	0.103
l	l	0.725
l	-	0.149
l	ˈɛ	0.094
m	m	0.914
m	-	0.075
n	n	0.87
n	ɲ	0.062
o	-	0.697
o	i	0.167
o	o	0.072
p	p	0.789
p	v	0.107
p	f	0.062
r	r	0.686
r	-	0.298
s	s	0.892
s	-	0.108
t	t	0.503
t	d	0.243
t	-	0.162
u	a	0.535
u	u	0.465
v	v	0.729
v	v_j	0.128
v	-	0.111
w	w	0.516
w	-	0.41
z	z	0.892
z	s	0.108
ŋ	ŋ	0.905
ŋ	n	0.095
ɡ	ɡ	0.508
ɡ	-	0.255
ɡ	ɟ	0.135
ɡ	k	0.077
ɲ	-	0.464
ɲ	ʤ	0.201
ɲ	n	0.179
ɲ	ɲ	0.156
ʃ	-	0.513
ʃ	s	0.487
ʎ	-	0.379
ʎ	ˈu	0.251
ʎ	j	0.244
ʎ	l	0.114
ʣ	-	0.564
ʣ	ʧ	0.436
ʤ	-	0.49
ʤ	ʤ	0.434
ʦ	-	0.477
ʦ	ʧ	0.311
ʦ	z	0.212
ʧ	ʧ	0.403
ʧ	s	0.305
ʧ	-	0.278
ˈa	ˈa	0.744
ˈa	ˈaː	0.25
ˈe	ˈe	0.608
ˈe	ˈeː	0.092
ˈe	-	0.077
ˈe	ˈɛ	0.075
ˈe	i	0.062
ˈi	ˈi	0.79
ˈi	ˈe	0.068
ˈi	ˈiː	0.051
ˈo	ˈo	0.433
ˈo	ˈoː	0.27
ˈo	ˈɔ	0.091
ˈo	w	0.084
ˈu	ˈu	0.592
ˈu	ˈuː	0.234
ˈu	ˈo	0.091
ˈɔ	w_ˈa	0.188
ˈɔ	ˈuː	0.147
ˈɔ	ˈa_w	0.123
ˈɔ	ˈɔ	0.115
ˈɔ	ˈi	0.101
ˈɔ	w	0.1
ˈɔ	ˈu	0.058
ˈɛ	ˈɛ	0.298
ˈɛ	j	0.211
ˈɛ	ˈi	0.198
ˈɛ	ˈiː	0.155
ˈɛ	ˈe	0.108
