English	English	probability
θ	d̥	1.0
ˈɛ	-	1.0
ˈɑː_θ	ˈɑː_d̥	1.0
ˈɐ_n	ˈõː	1.0
ˈuː	-	1.0
ˈiː_n	ˈĩː	1.0
ˈiː_#>	ˈaɪ̯_#>	1.0
ˈe_ɡ	ˈɑːɪ̯	1.0
ˈaɪ̯_n	ˈɑ̃ɪ̯	1.0
ʤ	ɡ̊	1.0
ʃ	ʃ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɡ	ɡ̊	1.0
ɜː	ˈaɪ̯	1.0
ə_n	ə	1.0
ə	ɐ	1.0
ŋ_ɡ	ŋ	1.0
z	s	1.0
w_ˈiː	ˈiː	1.0
w	β	1.0
tʰ	ʣ̥	1.0
s_t	ʃ_d̥	1.0
pʰ	pʰ	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l_əʊ̯	l	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
b	b̥	1.0
<#_ˈeɪ̯	<#_ˈɑ	1.0
d	d̥	0.93
ɹ	r	0.92
ŋ	ŋ	0.778
ˈæ	ˈɑ	0.75
ð	r	0.714
s	s	0.7
n_d	n	0.667
ˈɪ	ˈɪ	0.618
ˈaʊ̯	ˈau̯	0.615
ˈɜː	ˈɔ_ɐ	0.6
ˈɐ	ˈu	0.6
ʧ	kʰ	0.6
v	β	0.6
p	f	0.583
ˈɔː	ɐ	0.545
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuː	0.5
ˈeɪ̯	ˈɑː	0.5
j	ɡ̊	0.5
j	j	0.5
#>	ə_#>	0.5
ˈaɪ̯	ˈaɪ̯	0.448
ˈɒ	ˈɑ	0.429
t	s	0.424
ˈɜː	ˈɛ_ɐ	0.4
ʧ	-	0.4
ˈe	ˈɛ	0.36
ˈɑː	ˈɛ_ɐ	0.333
ˈɑː	ˈɑː_ɐ	0.333
ˈɑː	ˈɑ_l	0.333
n_d	n_ə	0.333
ˈəʊ̯	ˈeː	0.312
ˈɒ	ˈɔ	0.286
ˈɒ	-	0.286
ð	-	0.286
k	ʃ	0.278
k	ɡ̊	0.278
k	x	0.278
ˈɔː	ˈɔ_ɐ	0.273
ˈiː	ˈiː	0.259
ˈəʊ̯	ˈɛː	0.25
ˈæ	ˈɛ	0.25
p	f_ə	0.25
ˈaɪ̯	ˈɪ	0.241
ˈaʊ̯	-	0.231
#>	ʃ_#>	0.225
ŋ	-	0.222
t	ʣ̥	0.212
v	f	0.2
v	-	0.2
s	ʃ	0.2
ˈəʊ̯	-	0.188
ˈiː	ˈɑː	0.185
ˈɔː	ˈɑ	0.182
ˈeɪ̯	ˈɛː	0.167
ˈeɪ̯	ˈɑ	0.167
ˈeɪ̯	-	0.167
p	b̥	0.167
k	ɡ̊_ə	0.167
ˈe	ˈoː	0.16
ˈaʊ̯	ˈuː	0.154
ˈɐ	ˈoː	0.15
ˈɐ	ˈau̯	0.15
ˈiː	ˈoː	0.148
ˈiː	ˈeː	0.148
ˈəʊ̯	ˈɛ̃ː	0.125
ˈəʊ̯	ˈɑ	0.125
t	ʃ_d̥	0.121
ˈe	ˈɛː	0.12
ˈe	ˈɑ	0.12
ˈe	-	0.12
ˈɪ	ˈɛ	0.118
ˈɪ	ˈiː	0.118
ˈiː	-	0.111
ˈaɪ̯	-	0.103
ˈɐ	ˈuː	0.1
#>	n_#>	0.1
t	s_ə	0.091
t	d̥	0.091
ˈɪ	ˈeː	0.088
ˈe	ˈɪ	0.08
ɹ	-	0.08
#>	ɐ_#>	0.075
ˈiː	ˈuː	0.074
d	r_ə	0.07
ˈaɪ̯	ˈɑ_x	0.069
ˈaɪ̯	ə	0.069
t	x_d̥	0.061
ˈɪ	ˈoː	0.059
